Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.992636
C=C(C)OC,Frag_2,-232.179041
C=CC,Frag_3,-117.734468
C1=CCCC1,Frag_4,-195.065430
C=C(C)C#N,Frag_5,-209.945098
c1cc[nH]c1,Frag_6,-209.958416
C=C(C)N,Frag_7,-173.052022
C=CN,Frag_8,-133.790617
C=C(C)C(=C)C,Frag_9,-234.308979
c1ccncc1,Frag_10,-248.043512
C=C(C)C(=O)O,Frag_11,-306.237229
C=C(C)C(N)=O,Frag_12,-286.347322
C=C(C)C(C)=O,Frag_13,-270.268903
CC(=O)C(C)=O,Frag_14,-306.228597
CC(C)=O,Frag_15,-192.958308
C1CCCC1,Frag_16,-196.260879
CC(C)C#N,Frag_17,-211.143469
CCC,Frag_18,-118.936075
C1CC1,Frag_19,-117.720636
C=C(C)C1CC1,Frag_20,-234.290445
C=C(C)NC,Frag_21,-212.295023
CNC,Frag_22,-134.971753
COC,Frag_23,-154.851225
C=C(C)CC,Frag_24,-196.247258
NC(N)[N+](=O)[O-],Frag_25,-355.488764
NC(N)N,Frag_26,-206.344773
C1NCNCN1,Frag_27,-283.659839
CN(C)[N+](=O)[O-],Frag_28,-339.406272
CC[N+](=O)[O-],Frag_29,-284.122160
CCCN,Frag_30,-174.236689
CCN,Frag_31,-134.982879
CC(C)[N+](=O)[O-],Frag_32,-323.381713
CO[N+](=O)[O-],Frag_33,-320.018771
CCON,Frag_34,-210.114979
CCCO,Frag_35,-194.121440
CON,Frag_36,-170.860268
CCO,Frag_37,-154.866813
CC(C)ON,Frag_38,-249.380570
c1ccoc1,Frag_39,-229.828641
C=C(O)[N+](=O)[O-],Frag_40,-358.120932
C=CO,Frag_41,-153.670629
C1NCNCNCN1,Frag_42,-378.205953
CCCC,Frag_43,-158.188932
CC(C)(C)[N+](=O)[O-],Frag_44,-362.640258
CCN(C)N,Frag_45,-229.507800
CN(C)N,Frag_46,-190.245921
NC[N+](=O)[O-],Frag_47,-300.176019
NCN,Frag_48,-151.033952
CC(C)(C)CO,Frag_49,-272.635276
CC(C)(C)C,Frag_50,-197.449647
C1CCNCC1,Frag_51,-251.565013
CN(C)N=O,Frag_52,-264.245809
C=C(C)O,Frag_53,-192.937026
C=C(C)[N+](=O)[O-],Frag_54,-322.179332
C=C(C)C,Frag_55,-156.994630
C[N+](=O)[O-],Frag_56,-244.863257
C=C(C)CN,Frag_57,-212.294426
C=C[N+](=O)[O-],Frag_58,-282.916548
CC(O)CO,Frag_59,-269.311863
CC(C)O,Frag_60,-194.127612
CC(N)[N+](=O)[O-],Frag_61,-339.437018
CCC(N)N,Frag_62,-229.549190
CC(N)N,Frag_63,-190.294445
C1CCNC1,Frag_64,-212.302948
CC(N)C(=O)O,Frag_65,-323.482352
COC(C)=O,Frag_66,-268.166197
CC(=O)O,Frag_67,-228.915824
C1CCC1,Frag_68,-156.976527
CC(C)C(=O)O,Frag_69,-307.433887
C1OCOCO1,Frag_70,-343.314411
CC(O)O,Frag_71,-230.068128
OCO,Frag_72,-190.809360
CC(C)=C(C)C,Frag_73,-235.504385
C/N=[N+](/C)[O-],Frag_74,-264.240705
C=C(C)N=N,Frag_75,-227.135769
C=C(C)[N+](=N)[O-],Frag_76,-302.287687
C[N+](=N)[O-],Frag_77,-224.974053
CN=N,Frag_78,-149.809996
CC(=O)N(C)C,Frag_79,-287.528771
CN(C)C,Frag_80,-174.222387
C=CCC,Frag_81,-156.988224
CC=C(C)C,Frag_82,-196.250446
C=NC,Frag_83,-133.783410
CC=N,Frag_84,-133.796465
C=CC(=C)C,Frag_85,-195.047433
C/C=C\C,Frag_86,-156.991039
C=CC=C,Frag_87,-155.793083
C/C(N)=C(\C)N,Frag_88,-267.617555
C=CC(=C)N,Frag_89,-211.108431
C/C=C(\C)N,Frag_90,-212.305801
C/C(O)=C(\C)O,Frag_91,-307.387838
C=CC(=C)O,Frag_92,-230.990473
C=C(N)C(=C)O,Frag_93,-286.306326
C/C=C(\C)O,Frag_94,-232.188299
C=C(N)O,Frag_95,-208.992263
CC(C)=C(C)N,Frag_96,-251.561743
COC(C)O,Frag_97,-269.316041
CN(N)CN,Frag_98,-245.552282
CC(C)C,Frag_99,-158.192439
CNC(C)C,Frag_100,-213.485895
CCNC,Frag_101,-174.229182
CCC(C)N,Frag_102,-213.495799
C/C=N\C,Frag_103,-173.041302
C=CN=C,Frag_104,-171.840866
C=C(C)C=N,Frag_105,-211.111807
C/C=C\N,Frag_106,-173.046749
C=C(N)OC,Frag_107,-248.235690
C=COC,Frag_108,-192.912706
C/C=C(/N)O,Frag_109,-248.248529
C/C=C\O,Frag_110,-192.929752
CC(C)N,Frag_111,-174.241522
C/C=C(/C)N,Frag_112,-212.308113
CCC(C)C,Frag_113,-197.445261
CC1CCC1,Frag_114,-196.234902
CN=[N+](C)[O-],Frag_115,-264.240705
C1CNC1,Frag_116,-173.018501
CC(C)(N)[N+](=O)[O-],Frag_117,-378.690643
CN(C)C=O,Frag_118,-248.269581
C1C2CC3CC2CC13,Frag_119,-311.624919
CNC(C)=O,Frag_120,-248.279718
CCC(N)=O,Frag_121,-248.290651
CC(N)=O,Frag_122,-209.035627
C=C(C)N(C)C,Frag_123,-251.542698
CC(=N)N,Frag_124,-189.126244
c1c[nH]cn1,Frag_125,-226.021800
C=C(N)[N+](=O)[O-],Frag_126,-338.235703
CCN(C)C,Frag_127,-213.477649
N=CN,Frag_128,-149.861840
N=C1NCCN1,Frag_129,-282.507243
C=N[N+](=O)[O-],Frag_130,-298.951684
C=N,Frag_131,-94.531189
CC(=O)NN,Frag_132,-264.299962
N=C(N)[N+](=O)[O-],Frag_133,-354.303399
c1cn[nH]c1,Frag_134,-226.004950
c1nnn[nH]1,Frag_135,-258.089580
CC(=N)N(C)N,Frag_136,-283.642455
CNN,Frag_137,-150.998437
C=C1NCCN1,Frag_138,-266.427149
CC(N)O,Frag_139,-210.183670
C12C3C4C1C1C2C3C41,Frag_140,-309.115655
c1nc[nH]n1,Frag_141,-242.070908
C=C(N)C#N,Frag_142,-225.998648
c1cnccn1,Frag_143,-264.090884
CC(=N)[N+](=O)[O-],Frag_144,-338.236890
C=C(N)N,Frag_145,-189.110174
C=C1CCCN1,Frag_146,-250.375667
C=C,Frag_147,-78.474970
C=NNC,Frag_148,-189.068548
CC(C)=NN,Frag_149,-228.343080
C=C(C)NN,Frag_150,-228.321111
C=NN,Frag_151,-149.819944
CC(C)(N)CO,Frag_152,-288.691402
CN(C)C(C)(C)C,Frag_153,-291.985499
[O-][n+]1ccccc1,Frag_154,-323.182684
C1=C\C=C/C=C\C=C/1,Frag_155,-309.244639
CC(C)C(=N)N,Frag_156,-267.634653
C1COC1,Frag_157,-192.902346
C=C(C)N(C)N,Frag_158,-267.569362
O=c1cccc[nH]1,Frag_159,-323.256144
COC(N)=O,Frag_160,-284.236549
CNC(=O)O,Frag_161,-284.231399
NC(=O)O,Frag_162,-244.996001
c1ccc2c(c1)CN2,Frag_163,-325.329623
CNC(=N)N,Frag_164,-244.432386
N=C1NCNCN1,Frag_165,-337.809900
C=C(C)C(C)=N,Frag_166,-250.372148
O=[N+]([O-])C1CC1,Frag_167,-322.166031
C/C=C/N,Frag_168,-173.047011
C=CN(C)C,Frag_169,-212.286141
C1Cn2nnnc2N1,Frag_170,-390.716595
N=C1CCCC1,Frag_171,-250.386275
C=NO,Frag_172,-169.682449
N=c1cccc[nH]1,Frag_173,-303.345735
CN(C)O,Frag_174,-210.117875
CN[N+](=O)[O-],Frag_175,-300.156251
CC(=N)NN,Frag_176,-244.394096
C1CN1,Frag_177,-133.762146
C=C(C)C1CN1,Frag_178,-250.333670
OCC1CN1,Frag_179,-248.206851
CC(C)=N,Frag_180,-173.059182
c1cn2c(n1)OCC2,Frag_181,-378.527176
NN=C(N)N,Frag_182,-260.466139
CN(N)C(=N)N,Frag_183,-299.712301
N=C(N)N,Frag_184,-205.189237
c1cn[nH]n1,Frag_185,-242.051097
NN(N)N,Frag_186,-222.309388
NNN,Frag_187,-167.027896
CC(=O)N=N,Frag_188,-263.093985
CN=[N+]=[N-],Frag_189,-203.946073
C=C1C=CC=CC1=O,Frag_190,-345.228519
C=CNC,Frag_191,-173.036141
CN(N)[N+](=O)[O-],Frag_192,-355.428116
O=C1NCCN1,Frag_193,-302.422906
C1=CC2CC1C1CC21,Frag_194,-310.414204
N#CC1(N)CC1,Frag_195,-265.238023
CC1([N+](=O)[O-])CC1,Frag_196,-361.426734
NC1CC1,Frag_197,-173.023569
CC1CC1,Frag_198,-156.978061
C1CC12CC2,Frag_199,-195.010561
C/N=N/N,Frag_200,-205.121331
CN(C)N=N,Frag_201,-244.368738
N=NN,Frag_202,-165.867628
CNC(C)=N,Frag_203,-228.368407
CN(N)C#N,Frag_204,-243.197336
CCOC,Frag_205,-194.108709
CC(N)CO,Frag_206,-249.426805
C/C(N)=C\N,Frag_207,-228.355228
NCCN,Frag_208,-190.282611
c1ncon1,Frag_209,-261.924928
c1cnon1,Frag_210,-261.885502
CC(=N)C(=N)N,Frag_211,-282.499755
N=C(N)O,Frag_212,-225.066851
N=CO,Frag_213,-169.746407
C=C(N)NN,Frag_214,-244.378806
O=c1cc[nH][nH]1,Frag_215,-301.195131
C1CNCNC1,Frag_216,-267.610452
C1CCNCNC1,Frag_217,-306.859419
C=C1NCCCCN1,Frag_218,-344.937739
NCC(=O)O,Frag_219,-284.225437
O=c1cc[nH]c(=O)[nH]1,Frag_220,-414.549688
CCC#N,Frag_221,-171.887715
CC(N)C(C)O,Frag_222,-288.686900
C=C(C)C(C)O,Frag_223,-271.436687
CC(O)C(C)(C)N,Frag_224,-327.944463
CC(C)(C)N,Frag_225,-213.500466
[O-][n+]1ccno1,Frag_226,-337.021939
N=C1NCCCCN1,Frag_227,-361.009511
NCCO,Frag_228,-210.169087
O=[N+]1C=CC(=[N+]([O-])[O-])C=C1,Frag_229,-527.624971
C1CNCN1,Frag_230,-228.348393
N=c1[nH]cn[nH]1,Frag_231,-297.369062
N=NC(=N)N,Frag_232,-259.258362
C/C=N/O,Frag_233,-208.952269
C=C(C)CO,Frag_234,-232.177146
C/C=[N+](/C)[O-],Frag_235,-248.194171
C1COCOC1,Frag_236,-307.370812
CC(C)(N)N=O,Frag_237,-303.500288
CC(C)(O)O,Frag_238,-269.331618
C#CCN,Frag_239,-171.815205
C=CN(C)N,Frag_240,-228.311881
C/C=N/N,Frag_241,-189.082145
CC(C)(C)ON,Frag_242,-288.639746
CCC(C)(C)O,Frag_243,-272.640744
C1=NOCC1,Frag_244,-247.019201
CC(C)(O)[N+](=O)[O-],Frag_245,-398.582595
CC(N)(O)C#N,Frag_246,-302.387382
CC(=N)C#N,Frag_247,-226.000382
O=c1[nH]cn[nH]1,Frag_248,-317.287248
CNC=O,Frag_249,-209.019684
c1c[nH]nn1,Frag_250,-242.044645
C1CCOC1,Frag_251,-232.187617
CC(C)CN,Frag_252,-213.493136
c1nn[nH]n1,Frag_253,-258.093337
NCN(N)N,Frag_254,-261.583305
c1cnoc1,Frag_255,-245.857404
CC(=N)C(=O)O,Frag_256,-322.299727
C/C=N\O,Frag_257,-208.951530
C=C(O)C=N,Frag_258,-247.048739
N=C(N)CO,Frag_259,-264.310697
CC(=O)C=N,Frag_260,-247.068192
CC=[N+]=[N-],Frag_261,-187.890139
C1=CC1,Frag_262,-116.479978
C=C(C)C1=CC1,Frag_263,-233.062464
CC1([N+](=O)[O-])C=C1,Frag_264,-360.191710
N#CC1(N)C=C1,Frag_265,-264.000333
CC1C=C1,Frag_266,-155.738298
NC1C=C1,Frag_267,-171.789562
CN(N)N,Frag_268,-206.277379
O=C1CNC(=O)CN1,Frag_269,-415.705817
CC1(C)CC1,Frag_270,-196.236684
NC(=O)C1(N)CC1,Frag_271,-341.642442
CC(O)CN,Frag_272,-249.428150
CN(C)C=N,Frag_273,-228.356627
C/N=C/N,Frag_274,-189.113013
C=NC(=C)C,Frag_275,-211.102250
NNC(N)=O,Frag_276,-280.368044
CC(=O)CN,Frag_277,-248.257414
C1NCC2CC12,Frag_278,-250.351636
CC(C)C(C)N,Frag_279,-252.749816
CC(=O)NO,Frag_280,-284.169937
CN=C=O,Frag_281,-207.841789
C/C(N)=N/O,Frag_282,-264.279209
C=C(C)C(=N)N,Frag_283,-266.438916
[O-][n+]1ccn[nH]1,Frag_284,-317.175408
C1CNCCN1,Frag_285,-267.595696
C=C(N)C(=N)N,Frag_286,-282.497838
CC(N)C(C)N,Frag_287,-268.801983
C=CC(=N)N,Frag_288,-227.179926
CC(C)(N)C#N,Frag_289,-266.450638
CC(C)C(C)(C)N,Frag_290,-292.005470
CC(C)C(C)C,Frag_291,-236.698496
CC(N)C(C)(C)C,Frag_292,-292.004548
C=C(C)C(C)(C)N,Frag_293,-290.808382
C=CC(C)(C)N,Frag_294,-251.551143
CC(C)(C)C(C)(C)C,Frag_295,-315.204066
CC(C)(C)C(C)(C)N,Frag_296,-331.258168
CC(C)(N)C(N)=O,Frag_297,-342.853536
CCC(C)(C)N,Frag_298,-252.753253
CC(N)(N)CN,Frag_299,-284.859487
CC(C)(N)N,Frag_300,-229.554602
C/N=C(\C)N,Frag_301,-228.370866
C=C(N)N(C)C,Frag_302,-267.601716
CC(=N)N(C)C,Frag_303,-267.615327
NC=C(N)N,Frag_304,-244.416739
C/N=C(/C)N,Frag_305,-228.373178
C/C(N)=C(\C)O,Frag_306,-287.506521
C=NC(=C)N,Frag_307,-227.160350
CN=C(N)N,Frag_308,-244.435801
C=C(C)C(=C)N,Frag_309,-250.365805
C/C(N)=N\N,Frag_310,-244.401960
CN(N)C=N,Frag_311,-244.384494
N/N=N\N,Frag_312,-221.159077
N/C=N\N,Frag_313,-205.144114
C=NN=N,Frag_314,-203.914546
C=CNN,Frag_315,-189.064920
CNC(C)O,Frag_316,-249.421011
NC(O)C(N)O,Frag_317,-340.684915
C=C(N)NC,Frag_318,-228.356468
NC(N)=C(N)N,Frag_319,-299.730370
N=CNN,Frag_320,-205.138596
C/N=C\N,Frag_321,-189.109396
C=NC(=N)N,Frag_322,-243.236279
CC(N)=C(N)N,Frag_323,-283.671549
N=C(N)C(=N)N,Frag_324,-298.569207
C=C(N)C(=C)N,Frag_325,-266.424110
C=NN(C)C,Frag_326,-228.318863
C=C(N)C=N,Frag_327,-227.164283
C/C=N\N,Frag_328,-189.080768
C=C(N)CC,Frag_329,-212.304985
CC(C)(N)CN,Frag_330,-268.801018
C/C=[N+](\C)[O-],Frag_331,-248.185823
C=C[N+](=C)[O-],Frag_332,-246.984611
CC(C)=CN,Frag_333,-212.304821
C=[N+](C)[O-],Frag_334,-208.929765
C=C(C)C(=C)O,Frag_335,-270.248525
C=CC(N)=O,Frag_336,-247.086739
C/C(N)=C(/C)N,Frag_337,-267.612825
N=C(N)NN,Frag_338,-260.459670
CNCN,Frag_339,-190.280204
C=CC(C)=N,Frag_340,-211.111295
C=C(C)[N+](=C)[O-],Frag_341,-286.242718
C=CC=N,Frag_342,-171.848461
C=C(O)N(C)C,Frag_343,-287.486969
NC(N)=C(N)O,Frag_344,-319.609214
CC(=N)C(C)(N)N,Frag_345,-322.931041
CCC(C)(N)N,Frag_346,-268.807983
CC(C)=NO,Frag_347,-248.205536
CCC(C)=N,Frag_348,-212.311591
CNC=N,Frag_349,-189.107137
CC(=N)N(C)O,Frag_350,-303.509131
C=CN(C)O,Frag_351,-248.178726
C/C(N)=[N+](\C)[O-],Frag_352,-303.512001
C=C(C)C(C)N,Frag_353,-251.551573
C=C(N)C(C)=N,Frag_354,-266.427098
C/N=C(\N)O,Frag_355,-264.325927
COC(=N)N,Frag_356,-264.319242
CN(C)C(=N)O,Frag_357,-303.565657
C=C(N)C(N)=O,Frag_358,-302.405850
C=NN(N)N,Frag_359,-260.381093
C=CC(C)=O,Frag_360,-231.011400
C=CN(N)N,Frag_361,-244.345246
C=NN(C)N,Frag_362,-244.349950
CN(N)C(N)=O,Frag_363,-319.624756
NC(N)=O,Frag_364,-225.104756
C=CC(C)C,Frag_365,-196.243304
CCC(C)(C)C,Frag_366,-236.700894
CC(C)N(C)C,Frag_367,-252.731904
C=NC(C)=N,Frag_368,-227.170646
C=NOC,Frag_369,-208.925518
C/N=C(/N)O,Frag_370,-264.319152
N=C(N)ON,Frag_371,-280.326331
C=NON,Frag_372,-224.944189
C/C(N)=N\O,Frag_373,-264.273040
NON,Frag_374,-186.868241
C=C(N)N(C)N,Frag_375,-283.627220
CNNC,Frag_376,-190.242413
CNC(N)=O,Frag_377,-264.351282
CN(C)C(N)=O,Frag_378,-303.597346
CC(C)=[N+]([O-])O,Frag_379,-323.360969
C=[N+]([O-])ON,Frag_380,-300.088188
C=[N+]([O-])O,Frag_381,-244.838660
C=NNN,Frag_382,-205.097337
C/C(N)=C(\N)O,Frag_383,-303.556688
C=C(O)NC,Frag_384,-248.238636
CC(N)(N)CO,Frag_385,-304.745570
COC(C)(C)O,Frag_386,-308.572076
CC(C)(O)CN,Frag_387,-288.690036
CC(C)(C)O,Frag_388,-233.388153
CC(C)(N)ON,Frag_389,-304.693818
CC(C)(C)C(C)(N)O,Frag_390,-367.206896
CC(=N)C(C)(C)C,Frag_391,-290.822408
CC(C)(N)O,Frag_392,-249.445011
CNN=N,Frag_393,-205.108647
C=C(N)N=N,Frag_394,-243.183536
C/N=N\N,Frag_395,-205.110883
CC(C)CO,Frag_396,-233.378010
CN(N)N=N,Frag_397,-260.380461
C=C(N)ON,Frag_398,-264.241167
C/C=C(/C)O,Frag_399,-232.193090
C=NC(=C)O,Frag_400,-247.044438
CC(C)=[N+](C)[O-],Frag_401,-287.449185
N=C(N)N(N)N,Frag_402,-315.745662
CC(=O)N(C)N,Frag_403,-303.557826
NCC(N)=O,Frag_404,-264.340502
CN(C)C(=N)N,Frag_405,-283.679961
N/C=C\N,Frag_406,-189.098686
CC(N)C(C)(C)N,Frag_407,-308.058564
CC(O)C(C)(N)N,Frag_408,-344.005355
CC(O)C(O)O,Frag_409,-344.515124
CN(C)CN,Frag_410,-229.529116
C/C(N)=[N+](\N)[O-],Frag_411,-319.548582
C=[N+]([O-])N(C)N,Frag_412,-319.490820
C=[N+](N)[O-],Frag_413,-224.963844
CC(N)CN,Frag_414,-229.544545
C=C(C)C(C)C,Frag_415,-235.502042
