Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.914189
C=C(C)OC,Frag_2,-232.098682
C=CC,Frag_3,-117.691341
C1=CCCC1,Frag_4,-194.998236
C=C(C)C#N,Frag_5,-209.873338
c1cc[nH]c1,Frag_6,-209.890087
C=C(C)N,Frag_7,-172.995340
C=CN,Frag_8,-133.747998
C=C(C)C(=C)C,Frag_9,-234.226948
c1ccncc1,Frag_10,-247.962507
C=C(C)C(=O)O,Frag_11,-306.137403
C=C(C)C(N)=O,Frag_12,-286.255027
C=C(C)C(C)=O,Frag_13,-270.177761
CC(=O)C(C)=O,Frag_14,-306.128577
CC(C)=O,Frag_15,-192.893505
C1CCCC1,Frag_16,-196.192547
CC(C)C#N,Frag_17,-211.070683
CCC,Frag_18,-118.890873
C1CC1,Frag_19,-117.677725
C=C(C)C1CC1,Frag_20,-234.208594
C=C(C)NC,Frag_21,-212.222890
CNC,Frag_22,-134.926349
COC,Frag_23,-154.798616
C=C(C)CC,Frag_24,-196.177061
NC(N)[N+](=O)[O-],Frag_25,-355.387852
NC(N)N,Frag_26,-206.288872
C1NCNCN1,Frag_27,-283.574005
CN(C)[N+](=O)[O-],Frag_28,-339.300575
CC[N+](=O)[O-],Frag_29,-284.035329
CCCN,Frag_30,-174.179040
CCN,Frag_31,-134.939015
CC(C)[N+](=O)[O-],Frag_32,-323.280868
CO[N+](=O)[O-],Frag_33,-319.920574
CCON,Frag_34,-210.049114
CCCO,Frag_35,-194.058517
CON,Frag_36,-170.808841
CCO,Frag_37,-154.818162
CC(C)ON,Frag_38,-249.301065
c1ccoc1,Frag_39,-229.751671
C=C(O)[N+](=O)[O-],Frag_40,-358.012396
C=CO,Frag_41,-153.622517
C1NCNCNCN1,Frag_42,-378.090802
CCCC,Frag_43,-158.130362
CC(C)(C)[N+](=O)[O-],Frag_44,-362.525582
CCN(C)N,Frag_45,-229.433196
CN(C)N,Frag_46,-190.186401
NC[N+](=O)[O-],Frag_47,-300.089399
NCN,Frag_48,-150.991629
CC(C)(C)CO,Frag_49,-272.545303
CC(C)(C)C,Frag_50,-197.378241
C1CCNCC1,Frag_51,-251.482188
CN(C)N=O,Frag_52,-264.163730
C=C(C)O,Frag_53,-192.873826
C=C(C)[N+](=O)[O-],Frag_54,-322.078823
C=C(C)C,Frag_55,-156.937828
C[N+](=O)[O-],Frag_56,-244.790994
C=C(C)CN,Frag_57,-212.224994
C=C[N+](=O)[O-],Frag_58,-282.830609
CC(O)CO,Frag_59,-269.231418
CC(C)O,Frag_60,-194.064717
CC(N)[N+](=O)[O-],Frag_61,-339.336207
CCC(N)N,Frag_62,-229.478606
CC(N)N,Frag_63,-190.237991
C1CCNC1,Frag_64,-212.233978
CC(N)C(=O)O,Frag_65,-323.382390
COC(C)=O,Frag_66,-268.076535
CC(=O)O,Frag_67,-228.843966
C1CCC1,Frag_68,-156.921433
CC(C)C(=O)O,Frag_69,-307.333371
C1OCOCO1,Frag_70,-343.205203
CC(O)O,Frag_71,-230.000058
OCO,Frag_72,-190.755829
CC(C)=C(C)C,Frag_73,-235.420081
C/N=[N+](/C)[O-],Frag_74,-264.159020
C=C(C)N=N,Frag_75,-227.065116
