Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.925436
C=C(C)OC,Frag_2,-232.107274
C=CC,Frag_3,-117.696021
C1=CCCC1,Frag_4,-195.008286
C=C(C)C#N,Frag_5,-209.880674
c1cc[nH]c1,Frag_6,-209.897843
C=C(C)N,Frag_7,-173.002267
C=CN,Frag_8,-133.751975
C=C(C)C(=C)C,Frag_9,-234.240462
c1ccncc1,Frag_10,-247.972679
C=C(C)C(=O)O,Frag_11,-306.146412
C=C(C)C(N)=O,Frag_12,-286.265272
C=C(C)C(C)=O,Frag_13,-270.188886
CC(=O)C(C)=O,Frag_14,-306.137305
CC(C)=O,Frag_15,-192.899286
C1CCCC1,Frag_16,-196.203939
CC(C)C#N,Frag_17,-211.079304
CCC,Frag_18,-118.896614
C1CC1,Frag_19,-117.682217
C=C(C)C1CC1,Frag_20,-234.221406
C=C(C)NC,Frag_21,-212.232905
CNC,Frag_22,-134.931284
COC,Frag_23,-154.802527
C=C(C)CC,Frag_24,-196.188057
NC(N)[N+](=O)[O-],Frag_25,-355.395556
NC(N)N,Frag_26,-206.295377
C1NCNCN1,Frag_27,-283.586382
CN(C)[N+](=O)[O-],Frag_28,-339.309003
CC[N+](=O)[O-],Frag_29,-284.041403
CCCN,Frag_30,-174.187102
CCN,Frag_31,-134.944044
CC(C)[N+](=O)[O-],Frag_32,-323.290359
CO[N+](=O)[O-],Frag_33,-319.924761
CCON,Frag_34,-210.055179
CCCO,Frag_35,-194.065457
CON,Frag_36,-170.812031
CCO,Frag_37,-154.822256
CC(C)ON,Frag_38,-249.309968
c1ccoc1,Frag_39,-229.758219
C=C(O)[N+](=O)[O-],Frag_40,-358.018656
C=CO,Frag_41,-153.625610
C1NCNCNCN1,Frag_42,-378.109716
CCCC,Frag_43,-158.139193
CC(C)(C)[N+](=O)[O-],Frag_44,-362.539137
CCN(C)N,Frag_45,-229.443445
CN(C)N,Frag_46,-190.193638
NC[N+](=O)[O-],Frag_47,-300.094746
NCN,Frag_48,-150.995904
CC(C)(C)CO,Frag_49,-272.559926
CC(C)(C)C,Frag_50,-197.391331
C1CCNCC1,Frag_51,-251.496520
CN(C)N=O,Frag_52,-264.170808
C=C(C)O,Frag_53,-192.879664
C=C(C)[N+](=O)[O-],Frag_54,-322.086966
C=C(C)C,Frag_55,-156.945583
C[N+](=O)[O-],Frag_56,-244.794366
C=C(C)CN,Frag_57,-212.235197
C=C[N+](=O)[O-],Frag_58,-282.835627
CC(O)CO,Frag_59,-269.239565
CC(C)O,Frag_60,-194.071796
CC(N)[N+](=O)[O-],Frag_61,-339.344819
CCC(N)N,Frag_62,-229.488984
