Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.712179
C=C(C)OC,Frag_2,-231.885983
C=CC,Frag_3,-117.588175
C1=CCCC1,Frag_4,-194.828178
C=C(C)C#N,Frag_5,-209.682631
c1cc[nH]c1,Frag_6,-209.701965
C=C(C)N,Frag_7,-172.835129
C=CN,Frag_8,-133.621490
C=C(C)C(=C)C,Frag_9,-234.021066
c1ccncc1,Frag_10,-247.739900
C=C(C)C(=O)O,Frag_11,-305.849538
C=C(C)C(N)=O,Frag_12,-285.987541
C=C(C)C(C)=O,Frag_13,-269.931807
CC(=O)C(C)=O,Frag_14,-305.841677
CC(C)=O,Frag_15,-192.714266
C1CCCC1,Frag_16,-196.022501
CC(C)C#N,Frag_17,-210.879747
CCC,Frag_18,-118.788947
C1CC1,Frag_19,-117.576451
C=C(C)C1CC1,Frag_20,-234.005149
C=C(C)NC,Frag_21,-212.031587
CNC,Frag_22,-134.801618
COC,Frag_23,-154.652388
C=C(C)CC,Frag_24,-196.006049
NC(N)[N+](=O)[O-],Frag_25,-355.030843
NC(N)N,Frag_26,-206.079372
C1NCNCN1,Frag_27,-283.305963
CN(C)[N+](=O)[O-],Frag_28,-338.972060
CC[N+](=O)[O-],Frag_29,-283.757153
CCCN,Frag_30,-174.018549
CCN,Frag_31,-134.811898
CC(C)[N+](=O)[O-],Frag_32,-322.969138
CO[N+](=O)[O-],Frag_33,-319.601325
CCON,Frag_34,-209.843502
CCCO,Frag_35,-193.875286
CON,Frag_36,-170.636787
CCO,Frag_37,-154.667709
CC(C)ON,Frag_38,-249.062034
c1ccoc1,Frag_39,-229.542367
C=C(O)[N+](=O)[O-],Frag_40,-357.658232
C=CO,Frag_41,-153.472976
C1NCNCNCN1,Frag_42,-377.736247
CCCC,Frag_43,-157.994557
CC(C)(C)[N+](=O)[O-],Frag_44,-362.180719
CCN(C)N,Frag_45,-229.219058
CN(C)N,Frag_46,-190.003624
NC[N+](=O)[O-],Frag_47,-299.788280
NCN,Frag_48,-150.839533
CC(C)(C)CO,Frag_49,-272.294042
CC(C)(C)C,Frag_50,-197.207244
C1CCNCC1,Frag_51,-251.257643
CN(C)N=O,Frag_52,-263.910228
C=C(C)O,Frag_53,-192.691855
C=C(C)[N+](=O)[O-],Frag_54,-321.767544
C=C(C)C,Frag_55,-156.800772
C[N+](=O)[O-],Frag_56,-244.545447
C=C(C)CN,Frag_57,-212.029371
C=C[N+](=O)[O-],Frag_58,-282.551977
CC(O)CO,Frag_59,-268.966589
CC(C)O,Frag_60,-193.881001
CC(N)[N+](=O)[O-],Frag_61,-339.001909
CCC(N)N,Frag_62,-229.260287
CC(N)N,Frag_63,-190.052418
C1CCNC1,Frag_64,-212.040796
CC(N)C(=O)O,Frag_65,-323.070079
COC(C)=O,Frag_66,-267.823675
CC(=O)O,Frag_67,-228.620694
C1CCC1,Frag_68,-156.785462
CC(C)C(=O)O,Frag_69,-307.044875
C1OCOCO1,Frag_70,-342.873133
CC(O)O,Frag_71,-229.770468
OCO,Frag_72,-190.559055
CC(C)=C(C)C,Frag_73,-235.216178
C/N=[N+](/C)[O-],Frag_74,-263.902901
C=C(C)N=N,Frag_75,-226.849455
C=C(C)[N+](=N)[O-],Frag_76,-301.902018
C[N+](=N)[O-],Frag_77,-224.682784
CN=N,Frag_78,-149.616681
CC(=O)N(C)C,Frag_79,-287.168568
CN(C)C,Frag_80,-174.004996
C=CCC,Frag_81,-156.794465
CC=C(C)C,Frag_82,-196.009624
C=NC,Frag_83,-133.614206
CC=N,Frag_84,-133.627532
C=CC(=C)C,Frag_85,-194.807250
C/C=C\C,Frag_86,-156.797716
C=CC=C,Frag_87,-155.600313
C/C(N)=C(\C)N,Frag_88,-267.282460
C=CC(=C)N,Frag_89,-210.845079
C/C=C(\C)N,Frag_90,-212.041983
C/C(O)=C(\C)O,Frag_91,-306.996971
C=CC(=C)O,Frag_92,-230.698371
C=C(N)C(=C)O,Frag_93,-285.944720
C/C=C(\C)O,Frag_94,-231.895655
C=C(N)O,Frag_95,-208.723865
CC(C)=C(C)N,Frag_96,-251.250496
COC(C)O,Frag_97,-268.971093
CN(N)CN,Frag_98,-245.239690
CC(C)C,Frag_99,-157.997758
CNC(C)C,Frag_100,-213.220923
CCNC,Frag_101,-174.011610
CCC(C)N,Frag_102,-213.230255
C/C=N\C,Frag_103,-172.824339
C=CN=C,Frag_104,-171.625537
C=C(C)C=N,Frag_105,-210.848279
C/C=C\N,Frag_106,-172.830470
C=C(N)OC,Frag_107,-247.919933
C=COC,Frag_108,-192.667192
C/C=C(/N)O,Frag_109,-247.933776
C/C=C\O,Frag_110,-192.685228
CC(C)N,Frag_111,-174.023053
C/C=C(/C)N,Frag_112,-212.044132
CCC(C)C,Frag_113,-197.203281
CC1CCC1,Frag_114,-195.996756
CN=[N+](C)[O-],Frag_115,-263.902901
C1CNC1,Frag_116,-172.803674
CC(C)(N)[N+](=O)[O-],Frag_117,-378.207760
CN(C)C=O,Frag_118,-247.957544
C1C2CC3CC2CC13,Frag_119,-311.250801
CNC(C)=O,Frag_120,-247.966827
CCC(N)=O,Frag_121,-247.977418
CC(N)=O,Frag_122,-208.769360
C=C(C)N(C)C,Frag_123,-251.231775
CC(=N)N,Frag_124,-188.886536
c1c[nH]cn1,Frag_125,-225.742053
C=C(N)[N+](=O)[O-],Frag_126,-337.801465
CCN(C)C,Frag_127,-213.212686
N=CN,Frag_128,-149.669680
N=C1NCCN1,Frag_129,-282.154720
C=N[N+](=O)[O-],Frag_130,-298.564091
C=N,Frag_131,-94.409590
CC(=O)NN,Frag_132,-263.963554
N=C(N)[N+](=O)[O-],Frag_133,-353.847558
c1cn[nH]c1,Frag_134,-225.724678
c1nnn[nH]1,Frag_135,-257.759528
CC(=N)N(C)N,Frag_136,-283.285609
CNN,Frag_137,-150.804251
C=C1NCCN1,Frag_138,-266.097330
CC(N)O,Frag_139,-209.913905
C12C3C4C1C1C2C3C41,Frag_140,-308.749036
c1nc[nH]n1,Frag_141,-241.767234
C=C(N)C#N,Frag_142,-225.713359
c1cnccn1,Frag_143,-263.764450
CC(=N)[N+](=O)[O-],Frag_144,-337.803116
C=C(N)N,Frag_145,-188.870213
C=C1CCCN1,Frag_146,-250.068800
C=C,Frag_147,-78.375930
C=NNC,Frag_148,-188.830490
CC(C)=NN,Frag_149,-228.055865
C=C(C)NN,Frag_150,-228.033976
C=NN,Frag_151,-149.628259
CC(C)(N)CO,Frag_152,-288.327469
CN(C)C(C)(C)C,Frag_153,-291.625520
[O-][n+]1ccccc1,Frag_154,-322.778745
C1=C\C=C/C=C\C=C/1,Frag_155,-308.869791
CC(C)C(=N)N,Frag_156,-267.300552
C1COC1,Frag_157,-192.658451
C=C(C)N(C)N,Frag_158,-267.234545
O=c1cccc[nH]1,Frag_159,-322.855489
COC(N)=O,Frag_160,-283.872068
CNC(=O)O,Frag_161,-283.867205
NC(=O)O,Frag_162,-244.679618
c1ccc2c(c1)CN2,Frag_163,-324.934040
CNC(=N)N,Frag_164,-244.123132
N=C1NCNCN1,Frag_165,-337.387728
C=C(C)C(C)=N,Frag_166,-250.061162
O=[N+]([O-])C1CC1,Frag_167,-321.756625
C/C=C/N,Frag_168,-172.830829
C=CN(C)C,Frag_169,-212.023136
C1Cn2nnnc2N1,Frag_170,-390.225360
