Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.009660
C=C(C)OC,Frag_2,-232.198260
C=CC,Frag_3,-117.742993
C1=CCCC1,Frag_4,-195.078894
C=C(C)C#N,Frag_5,-209.960617
c1cc[nH]c1,Frag_6,-209.975370
C=C(C)N,Frag_7,-173.066614
C=CN,Frag_8,-133.802922
C=C(C)C(=C)C,Frag_9,-234.325127
c1ccncc1,Frag_10,-248.062450
C=C(C)C(=O)O,Frag_11,-306.264116
C=C(C)C(N)=O,Frag_12,-286.372137
C=C(C)C(C)=O,Frag_13,-270.290254
CC(=O)C(C)=O,Frag_14,-306.255505
CC(C)=O,Frag_15,-192.975253
C1CCCC1,Frag_16,-196.274567
CC(C)C#N,Frag_17,-211.158862
CCC,Frag_18,-118.943765
C1CC1,Frag_19,-117.729054
C=C(C)C1CC1,Frag_20,-234.306543
C=C(C)NC,Frag_21,-212.311315
CNC,Frag_22,-134.983156
COC,Frag_23,-154.866287
C=C(C)CC,Frag_24,-196.260506
NC(N)[N+](=O)[O-],Frag_25,-355.526718
NC(N)N,Frag_26,-206.366245
C1NCNCN1,Frag_27,-283.684290
CN(C)[N+](=O)[O-],Frag_28,-339.438560
CC[N+](=O)[O-],Frag_29,-284.150850
CCCN,Frag_30,-174.250568
CCN,Frag_31,-134.994493
CC(C)[N+](=O)[O-],Frag_32,-323.412427
CO[N+](=O)[O-],Frag_33,-320.052690
CCON,Frag_34,-210.134922
CCCO,Frag_35,-194.139106
CON,Frag_36,-170.878273
CCO,Frag_37,-154.882662
CC(C)ON,Frag_38,-249.402546
c1ccoc1,Frag_39,-229.848152
C=C(O)[N+](=O)[O-],Frag_40,-358.156769
C=CO,Frag_41,-153.686402
C1NCNCNCN1,Frag_42,-378.237139
CCCC,Frag_43,-158.199050
CC(C)(C)[N+](=O)[O-],Frag_44,-362.672540
CCN(C)N,Frag_45,-229.525892
CN(C)N,Frag_46,-190.262541
NC[N+](=O)[O-],Frag_47,-300.208453
NCN,Frag_48,-151.049831
CC(C)(C)CO,Frag_49,-272.657189
CC(C)(C)C,Frag_50,-197.462215
C1CCNCC1,Frag_51,-251.583194
CN(C)N=O,Frag_52,-264.270318
C=C(C)O,Frag_53,-192.954559
C=C(C)[N+](=O)[O-],Frag_54,-322.209617
C=C(C)C,Frag_55,-157.005524
C[N+](=O)[O-],Frag_56,-244.890419
C=C(C)CN,Frag_57,-212.311381
C=C[N+](=O)[O-],Frag_58,-282.945325
CC(O)CO,Frag_59,-269.339690
CC(C)O,Frag_60,-194.145328
CC(N)[N+](=O)[O-],Frag_61,-339.471361
CCC(N)N,Frag_62,-229.568975
CC(N)N,Frag_63,-190.312466
C1CCNC1,Frag_64,-212.319243
CC(N)C(=O)O,Frag_65,-323.513132
COC(C)=O,Frag_66,-268.191016
CC(=O)O,Frag_67,-228.939308
C1CCC1,Frag_68,-156.986920
CC(C)C(=O)O,Frag_69,-307.460987
C1OCOCO1,Frag_70,-343.348869
CC(O)O,Frag_71,-230.093361
OCO,Frag_72,-190.832881
CC(C)=C(C)C,Frag_73,-235.519798
C/N=[N+](/C)[O-],Frag_74,-264.265375
C=C(C)N=N,Frag_75,-227.154803
C=C(C)[N+](=N)[O-],Frag_76,-302.315293
C[N+](=N)[O-],Frag_77,-224.998246
CN=N,Frag_78,-149.823919
CC(=O)N(C)C,Frag_79,-287.552242
CN(C)C,Frag_80,-174.235597
C=CCC,Frag_81,-156.999168
CC=C(C)C,Frag_82,-196.263577
C=NC,Frag_83,-133.794507
CC=N,Frag_84,-133.808391
C=CC(=C)C,Frag_85,-195.061187
C/C=C\C,Frag_86,-157.001909
C=CC=C,Frag_87,-155.804582
C/C(N)=C(\C)N,Frag_88,-267.639787
C=CC(=C)N,Frag_89,-211.125577
C/C=C(\C)N,Frag_90,-212.322454
C/C(O)=C(\C)O,Frag_91,-307.416573
C=CC(=C)O,Frag_92,-231.010569
C=C(N)C(=C)O,Frag_93,-286.331442
C/C=C(\C)O,Frag_94,-232.208130
C=C(N)O,Frag_95,-209.013175
CC(C)=C(C)N,Frag_96,-251.580744
COC(C)O,Frag_97,-269.341976
CN(N)CN,Frag_98,-245.574882
CC(C)C,Frag_99,-158.202576
CNC(C)C,Frag_100,-213.501550
CCNC,Frag_101,-174.242872
CCC(C)N,Frag_102,-213.511547
C/C=N\C,Frag_103,-173.054801
C=CN=C,Frag_104,-171.854697
C=C(C)C=N,Frag_105,-211.128564
C/C=C\N,Frag_106,-173.061490
C=C(N)OC,Frag_107,-248.258403
C=COC,Frag_108,-192.930004
C/C=C(/N)O,Frag_109,-248.271449
C/C=C\O,Frag_110,-192.947330
CC(C)N,Frag_111,-174.255398
C/C=C(/C)N,Frag_112,-212.325049
CCC(C)C,Frag_113,-197.457817
CC1CCC1,Frag_114,-196.247672
CN=[N+](C)[O-],Frag_115,-264.265383
C1CNC1,Frag_116,-173.032409
CC(C)(N)[N+](=O)[O-],Frag_117,-378.726486
CN(C)C=O,Frag_118,-248.291132
C1C2CC3CC2CC13,Frag_119,-311.645013
CNC(C)=O,Frag_120,-248.302010
CCC(N)=O,Frag_121,-248.312976
CC(N)=O,Frag_122,-209.056297
C=C(C)N(C)C,Frag_123,-251.560894
CC(=N)N,Frag_124,-189.144279
c1c[nH]cn1,Frag_125,-226.040903
C=C(N)[N+](=O)[O-],Frag_126,-338.269088
CCN(C)C,Frag_127,-213.493094
N=CN,Frag_128,-149.877139
N=C1NCCN1,Frag_129,-282.531966
C=N[N+](=O)[O-],Frag_130,-298.982459
C=N,Frag_131,-94.540548
CC(=O)NN,Frag_132,-264.325943
N=C(N)[N+](=O)[O-],Frag_133,-354.339451
c1cn[nH]c1,Frag_134,-226.024042
c1nnn[nH]1,Frag_135,-258.113240
CC(=N)N(C)N,Frag_136,-283.665906
CNN,Frag_137,-151.013416
C=C1NCCN1,Frag_138,-266.448637
CC(N)O,Frag_139,-210.205265
C12C3C4C1C1C2C3C41,Frag_140,-309.136418
c1nc[nH]n1,Frag_141,-242.092186
C=C(N)C#N,Frag_142,-226.017442
c1cnccn1,Frag_143,-264.112074
CC(=N)[N+](=O)[O-],Frag_144,-338.270155
C=C(N)N,Frag_145,-189.128222
C=C1CCCN1,Frag_146,-250.394354
C=C,Frag_147,-78.481097
C=NNC,Frag_148,-189.085063
CC(C)=NN,Frag_149,-228.361975
C=C(C)NN,Frag_150,-228.340450
C=NN,Frag_151,-149.834357
CC(C)(N)CO,Frag_152,-288.716383
CN(C)C(C)(C)C,Frag_153,-292.005260
[O-][n+]1ccccc1,Frag_154,-323.210475
C1=C\C=C/C=C\C=C/1,Frag_155,-309.266653
CC(C)C(=N)N,Frag_156,-267.656828
C1COC1,Frag_157,-192.920089
C=C(C)N(C)N,Frag_158,-267.590125
O=c1cccc[nH]1,Frag_159,-323.283596
COC(N)=O,Frag_160,-284.264697
CNC(=O)O,Frag_161,-284.259555
NC(=O)O,Frag_162,-245.022594
c1ccc2c(c1)CN2,Frag_163,-325.353857
CNC(=N)N,Frag_164,-244.455098
N=C1NCNCN1,Frag_165,-337.839790
C=C(C)C(C)=N,Frag_166,-250.391059
O=[N+]([O-])C1CC1,Frag_167,-322.196811
C/C=C/N,Frag_168,-173.061412
C=CN(C)C,Frag_169,-212.302190
C1Cn2nnnc2N1,Frag_170,-390.749541
N=C1CCCC1,Frag_171,-250.405367
C=NO,Frag_172,-169.699971
N=c1cccc[nH]1,Frag_173,-303.370500
CN(C)O,Frag_174,-210.137456
CN[N+](=O)[O-],Frag_175,-300.187380
CC(=N)NN,Frag_176,-244.416345
C1CN1,Frag_177,-133.773795
C=C(C)C1CN1,Frag_178,-250.352750
OCC1CN1,Frag_179,-248.230808
CC(C)=N,Frag_180,-173.073277
c1cn2c(n1)OCC2,Frag_181,-378.558341
NN=C(N)N,Frag_182,-260.491905
CN(N)C(=N)N,Frag_183,-299.739082
N=C(N)N,Frag_184,-205.210390
c1cn[nH]n1,Frag_185,-242.072293
NN(N)N,Frag_186,-222.331456
NNN,Frag_187,-167.046389
CC(=O)N=N,Frag_188,-263.117814
CN=[N+]=[N-],Frag_189,-203.964321
C=C1C=CC=CC1=O,Frag_190,-345.255708
C=CNC,Frag_191,-173.050186
CN(N)[N+](=O)[O-],Frag_192,-355.463567
O=C1NCCN1,Frag_193,-302.450379
C1=CC2CC1C1CC21,Frag_194,-310.434856
N#CC1(N)CC1,Frag_195,-265.259144
CC1([N+](=O)[O-])CC1,Frag_196,-361.459045
NC1CC1,Frag_197,-173.038164
CC1CC1,Frag_198,-156.988771
C1CC12CC2,Frag_199,-195.023807
C/N=N/N,Frag_200,-205.140985
CN(C)N=N,Frag_201,-244.390380
N=NN,Frag_202,-165.885827
