Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.159233
C=C(C)OC,Frag_2,-232.337202
C=CC,Frag_3,-117.834055
C1=CCCC1,Frag_4,-195.220468
C=C(C)C#N,Frag_5,-210.081022
c1cc[nH]c1,Frag_6,-210.096857
C=C(C)N,Frag_7,-173.179592
C=CN,Frag_8,-133.885082
C=C(C)C(=C)C,Frag_9,-234.497272
c1ccncc1,Frag_10,-248.206710
C=C(C)C(=O)O,Frag_11,-306.405564
C=C(C)C(N)=O,Frag_12,-286.520348
C=C(C)C(C)=O,Frag_13,-270.448351
CC(=O)C(C)=O,Frag_14,-306.398389
CC(C)=O,Frag_15,-193.082026
C1CCCC1,Frag_16,-196.426659
CC(C)C#N,Frag_17,-211.288871
CCC,Frag_18,-119.046978
C1CC1,Frag_19,-117.820516
C=C(C)C1CC1,Frag_20,-234.478411
C=C(C)NC,Frag_21,-212.457132
CNC,Frag_22,-135.079264
COC,Frag_23,-154.955099
C=C(C)CC,Frag_24,-196.413124
NC(N)[N+](=O)[O-],Frag_25,-355.654737
NC(N)N,Frag_26,-206.471692
C1NCNCN1,Frag_27,-283.845148
CN(C)[N+](=O)[O-],Frag_28,-339.581387
CC[N+](=O)[O-],Frag_29,-284.266619
CCCN,Frag_30,-174.375383
CCN,Frag_31,-135.088699
CC(C)[N+](=O)[O-],Frag_32,-323.557971
CO[N+](=O)[O-],Frag_33,-320.156733
CCON,Frag_34,-210.247179
CCCO,Frag_35,-194.255397
CON,Frag_36,-170.958943
CCO,Frag_37,-154.967863
CC(C)ON,Frag_38,-249.544007
c1ccoc1,Frag_39,-229.964466
C=C(O)[N+](=O)[O-],Frag_40,-358.280101
C=CO,Frag_41,-153.760654
C1NCNCNCN1,Frag_42,-378.452541
CCCC,Frag_43,-158.332786
CC(C)(C)[N+](=O)[O-],Frag_44,-362.848232
CCN(C)N,Frag_45,-229.675659
CN(C)N,Frag_46,-190.380875
NC[N+](=O)[O-],Frag_47,-300.315350
NCN,Frag_48,-151.134178
CC(C)(C)CO,Frag_49,-272.832726
CC(C)(C)C,Frag_50,-197.624396
C1CCNCC1,Frag_51,-251.759764
CN(C)N=O,Frag_52,-264.396415
C=C(C)O,Frag_53,-193.060080
C=C(C)[N+](=O)[O-],Frag_54,-322.346665
C=C(C)C,Frag_55,-157.127738
C[N+](=O)[O-],Frag_56,-244.974603
C=C(C)CN,Frag_57,-212.455118
C=C[N+](=O)[O-],Frag_58,-283.050490
CC(O)CO,Frag_59,-269.467761
CC(C)O,Frag_60,-194.260924
CC(N)[N+](=O)[O-],Frag_61,-339.608317
CCC(N)N,Frag_62,-229.713908
CC(N)N,Frag_63,-190.426590
C1CCNC1,Frag_64,-212.465050
CC(N)C(=O)O,Frag_65,-323.654995
COC(C)=O,Frag_66,-268.314090
CC(=O)O,Frag_67,-229.029316
C1CCC1,Frag_68,-157.110365
CC(C)C(=O)O,Frag_69,-307.611835
C1OCOCO1,Frag_70,-343.489358
CC(O)O,Frag_71,-230.191539
OCO,Frag_72,-190.899916
CC(C)=C(C)C,Frag_73,-235.704240
C/N=[N+](/C)[O-],Frag_74,-264.389464
C=C(C)N=N,Frag_75,-227.282675
C=C(C)[N+](=N)[O-],Frag_76,-302.459511
C[N+](=N)[O-],Frag_77,-225.090517
CN=N,Frag_78,-149.902524
CC(=O)N(C)C,Frag_79,-287.715198
CN(C)C,Frag_80,-174.363248
C=CCC,Frag_81,-157.120816
CC=C(C)C,Frag_82,-196.417355
C=NC,Frag_83,-133.879594
CC=N,Frag_84,-133.891338
C=CC(=C)C,Frag_85,-195.202627
C/C=C\C,Frag_86,-157.124597
C=CC=C,Frag_87,-155.915183
C/C(N)=C(\C)N,Frag_88,-267.806292
C=CC(=C)N,Frag_89,-211.258303
C/C=C(\C)N,Frag_90,-212.467354
C/C(O)=C(\C)O,Frag_91,-307.568395
C=CC(=C)O,Frag_92,-231.136291
C=C(N)C(=C)O,Frag_93,-286.479767
C/C=C(\C)O,Frag_94,-232.345702
C=C(N)O,Frag_95,-209.110023
CC(C)=C(C)N,Frag_96,-251.756007
COC(C)O,Frag_97,-269.474218
CN(N)CN,Frag_98,-245.715651
CC(C)C,Frag_99,-158.335658
CNC(C)C,Frag_100,-213.658123
CCNC,Frag_101,-174.369368
CCC(C)N,Frag_102,-213.666349
C/C=N\C,Frag_103,-173.171649
C=CN=C,Frag_104,-171.959138
C=C(C)C=N,Frag_105,-211.262619
C/C=C\N,Frag_106,-173.174948
C=C(N)OC,Frag_107,-248.388498
C=COC,Frag_108,-193.038333
C/C=C(/N)O,Frag_109,-248.400077
C/C=C\O,Frag_110,-193.053642
CC(C)N,Frag_111,-174.379344
C/C=C(/C)N,Frag_112,-212.469200
CCC(C)C,Frag_113,-197.621380
CC1CCC1,Frag_114,-196.401509
CN=[N+](C)[O-],Frag_115,-264.389465
C1CNC1,Frag_116,-173.148640
CC(C)(N)[N+](=O)[O-],Frag_117,-378.893097
CN(C)C=O,Frag_118,-248.423366
C1C2CC3CC2CC13,Frag_119,-311.864600
CNC(C)=O,Frag_120,-248.432093
CCC(N)=O,Frag_121,-248.441017
CC(N)=O,Frag_122,-209.153069
C=C(C)N(C)C,Frag_123,-251.737972
CC(=N)N,Frag_124,-189.248901
c1c[nH]cn1,Frag_125,-226.156136
C=C(N)[N+](=O)[O-],Frag_126,-338.398306
CCN(C)C,Frag_127,-213.650890
N=CN,Frag_128,-149.951476
N=C1NCCN1,Frag_129,-282.682887
C=N[N+](=O)[O-],Frag_130,-299.081665
C=N,Frag_131,-94.592504
CC(=O)NN,Frag_132,-264.447780
N=C(N)[N+](=O)[O-],Frag_133,-354.459984
c1cn[nH]c1,Frag_134,-226.139687
c1nnn[nH]1,Frag_135,-258.216272
CC(=N)N(C)N,Frag_136,-283.828140
CNN,Frag_137,-151.095509
C=C1NCCN1,Frag_138,-266.607524
CC(N)O,Frag_139,-210.311207
C12C3C4C1C1C2C3C41,Frag_140,-309.342493
c1nc[nH]n1,Frag_141,-242.201130
C=C(N)C#N,Frag_142,-226.129278
c1cnccn1,Frag_143,-264.250483
CC(=N)[N+](=O)[O-],Frag_144,-338.398553
C=C(N)N,Frag_145,-189.232148
C=C1CCCN1,Frag_146,-250.560134
C=C,Frag_147,-78.540427
C=NNC,Frag_148,-189.194672
CC(C)=NN,Frag_149,-228.500786
C=C(C)NN,Frag_150,-228.478016
C=NN,Frag_151,-149.911599
CC(C)(N)CO,Frag_152,-288.883384
CN(C)C(C)(C)C,Frag_153,-292.221908
[O-][n+]1ccccc1,Frag_154,-323.371623
C1=C\C=C/C=C\C=C/1,Frag_155,-309.466215
CC(C)C(=N)N,Frag_156,-267.822296
C1COC1,Frag_157,-193.029026
C=C(C)N(C)N,Frag_158,-267.759507
O=c1cccc[nH]1,Frag_159,-323.442753
COC(N)=O,Frag_160,-284.378399
CNC(=O)O,Frag_161,-284.373576
