Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.178076
C=C(C)OC,Frag_2,-232.351700
C=CC,Frag_3,-117.842058
C1=CCCC1,Frag_4,-195.237412
C=C(C)C#N,Frag_5,-210.093354
c1cc[nH]c1,Frag_6,-210.109958
C=C(C)N,Frag_7,-173.191370
C=CN,Frag_8,-133.891924
C=C(C)C(=C)C,Frag_9,-234.519886
c1ccncc1,Frag_10,-248.223804
C=C(C)C(=O)O,Frag_11,-306.420724
C=C(C)C(N)=O,Frag_12,-286.537580
C=C(C)C(C)=O,Frag_13,-270.466998
CC(=O)C(C)=O,Frag_14,-306.413121
CC(C)=O,Frag_15,-193.091874
C1CCCC1,Frag_16,-196.445885
CC(C)C#N,Frag_17,-211.303383
CCC,Frag_18,-119.056821
C1CC1,Frag_19,-117.828259
C=C(C)C1CC1,Frag_20,-234.499799
C=C(C)NC,Frag_21,-212.473994
CNC,Frag_22,-135.087744
COC,Frag_23,-154.961842
C=C(C)CC,Frag_24,-196.431544
NC(N)[N+](=O)[O-],Frag_25,-355.667893
NC(N)N,Frag_26,-206.482894
C1NCNCN1,Frag_27,-283.866173
CN(C)[N+](=O)[O-],Frag_28,-339.595643
CC[N+](=O)[O-],Frag_29,-284.277017
CCCN,Frag_30,-174.389113
CCN,Frag_31,-135.097380
CC(C)[N+](=O)[O-],Frag_32,-323.574016
CO[N+](=O)[O-],Frag_33,-320.163929
CCON,Frag_34,-210.257565
CCCO,Frag_35,-194.267274
CON,Frag_36,-170.964457
CCO,Frag_37,-154.974950
CC(C)ON,Frag_38,-249.559024
c1ccoc1,Frag_39,-229.975497
C=C(O)[N+](=O)[O-],Frag_40,-358.290766
C=CO,Frag_41,-153.765981
C1NCNCNCN1,Frag_42,-378.484117
CCCC,Frag_43,-158.347706
CC(C)(C)[N+](=O)[O-],Frag_44,-362.870943
CCN(C)N,Frag_45,-229.692997
CN(C)N,Frag_46,-190.393234
NC[N+](=O)[O-],Frag_47,-300.324557
NCN,Frag_48,-151.141595
CC(C)(C)CO,Frag_49,-272.857234
CC(C)(C)C,Frag_50,-197.646152
C1CCNCC1,Frag_51,-251.783903
CN(C)N=O,Frag_52,-264.408889
C=C(C)O,Frag_53,-193.070025
C=C(C)[N+](=O)[O-],Frag_54,-322.360459
C=C(C)C,Frag_55,-157.140849
C[N+](=O)[O-],Frag_56,-244.980447
C=C(C)CN,Frag_57,-212.472301
C=C[N+](=O)[O-],Frag_58,-283.059072
CC(O)CO,Frag_59,-269.481613
CC(C)O,Frag_60,-194.273003
CC(N)[N+](=O)[O-],Frag_61,-339.622936
CCC(N)N,Frag_62,-229.731493
CC(N)N,Frag_63,-190.439120
C1CCNC1,Frag_64,-212.482703
CC(N)C(=O)O,Frag_65,-323.670885
COC(C)=O,Frag_66,-268.325036
CC(=O)O,Frag_67,-229.036461
C1CCC1,Frag_68,-157.123534
CC(C)C(=O)O,Frag_69,-307.629306
C1OCOCO1,Frag_70,-343.503413
