Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.169247
C=C(C)OC,Frag_2,-232.346321
C=CC,Frag_3,-117.836708
C1=CCCC1,Frag_4,-195.225984
C=C(C)C#N,Frag_5,-210.091280
c1cc[nH]c1,Frag_6,-210.111057
C=C(C)N,Frag_7,-173.191116
C=CN,Frag_8,-133.897033
C=C(C)C(=C)C,Frag_9,-234.502621
c1ccncc1,Frag_10,-248.220569
C=C(C)C(=O)O,Frag_11,-306.427229
C=C(C)C(N)=O,Frag_12,-286.541227
C=C(C)C(C)=O,Frag_13,-270.460638
CC(=O)C(C)=O,Frag_14,-306.418212
CC(C)=O,Frag_15,-193.092430
CCC,Frag_18,-119.045562
C1CC1,Frag_19,-117.822656
C=C(C)NC,Frag_21,-212.466013
CNC,Frag_22,-135.084776
COC,Frag_23,-154.961824
C=C(C)CC,Frag_24,-196.415774
C1NCNCN1,Frag_27,-283.867415
CN(C)[N+](=O)[O-],Frag_28,-339.608517
CC[N+](=O)[O-],Frag_29,-284.290822
CCCN,Frag_30,-174.383685
CCN,Frag_31,-135.096764
CC(C)[N+](=O)[O-],Frag_32,-323.582598
CO[N+](=O)[O-],Frag_33,-320.185844
CCON,Frag_34,-210.263279
CCCO,Frag_35,-194.267492
CON,Frag_36,-170.975875
CCO,Frag_37,-154.980191
CC(C)ON,Frag_38,-249.561257
c1ccoc1,Frag_39,-229.977492
C=C(O)[N+](=O)[O-],Frag_40,-358.314193
C=CO,Frag_41,-153.775524
CCCC,Frag_43,-158.331923
CC(C)(C)[N+](=O)[O-],Frag_44,-362.872251
CCN(C)N,Frag_45,-229.688582
CN(C)N,Frag_46,-190.394632
NC[N+](=O)[O-],Frag_47,-300.348652
NCN,Frag_48,-151.152305
CC(C)(C)CO,Frag_49,-272.845141
CC(C)(C)C,Frag_50,-197.624235
CN(C)N=O,Frag_52,-264.417037
C=C(C)O,Frag_53,-193.073725
C=C(C)[N+](=O)[O-],Frag_54,-322.372110
