Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.157363
C=C(C)OC,Frag_2,-232.326519
C=CC,Frag_3,-117.827536
C1=CCCC1,Frag_4,-195.213372
C=C(C)C#N,Frag_5,-210.077249
c1cc[nH]c1,Frag_6,-210.095899
C=C(C)N,Frag_7,-173.171977
C=CN,Frag_8,-133.880412
C=C(C)C(=C)C,Frag_9,-234.486166
c1ccncc1,Frag_10,-248.205819
C=C(C)C(=O)O,Frag_11,-306.400736
C=C(C)C(N)=O,Frag_12,-286.514123
C=C(C)C(C)=O,Frag_13,-270.440400
CC(=O)C(C)=O,Frag_14,-306.393645
CC(C)=O,Frag_15,-193.075056
C1CCCC1,Frag_16,-196.415618
CC(C)C#N,Frag_17,-211.281934
CCC,Frag_18,-119.035972
C1CC1,Frag_19,-117.812970
C=C(C)C1CC1,Frag_20,-234.467243
C=C(C)NC,Frag_21,-212.446786
CNC,Frag_22,-135.069513
COC,Frag_23,-154.945243
C=C(C)CC,Frag_24,-196.401042
NC(N)[N+](=O)[O-],Frag_25,-355.652887
NC(N)N,Frag_26,-206.464456
C1NCNCN1,Frag_27,-283.837244
CN(C)[N+](=O)[O-],Frag_28,-339.576655
CC[N+](=O)[O-],Frag_29,-284.262583
CCCN,Frag_30,-174.364093
CCN,Frag_31,-135.079483
CC(C)[N+](=O)[O-],Frag_32,-323.551644
CO[N+](=O)[O-],Frag_33,-320.154619
CCON,Frag_34,-210.238510
CCCO,Frag_35,-194.244947
CON,Frag_36,-170.952572
CCO,Frag_37,-154.959338
CC(C)ON,Frag_38,-249.533621
c1ccoc1,Frag_39,-229.962604
C=C(O)[N+](=O)[O-],Frag_40,-358.279320
C=CO,Frag_41,-153.756341
C1NCNCNCN1,Frag_42,-378.441981
CCCC,Frag_43,-158.319555
CC(C)(C)[N+](=O)[O-],Frag_44,-362.839585
CCN(C)N,Frag_45,-229.664639
CN(C)N,Frag_46,-190.371951
NC[N+](=O)[O-],Frag_47,-300.313565
NCN,Frag_48,-151.126772
CC(C)(C)CO,Frag_49,-272.817360
CC(C)(C)C,Frag_50,-197.608275
C1CCNCC1,Frag_51,-251.748290
CN(C)N=O,Frag_52,-264.391942
C=C(C)O,Frag_53,-193.053455
C=C(C)[N+](=O)[O-],Frag_54,-322.343476
C=C(C)C,Frag_55,-157.118115
C[N+](=O)[O-],Frag_56,-244.972432
C=C(C)CN,Frag_57,-212.445057
C=C[N+](=O)[O-],Frag_58,-283.050033
CC(O)CO,Frag_59,-269.457649
CC(C)O,Frag_60,-194.250706
CC(N)[N+](=O)[O-],Frag_61,-339.604503
CCC(N)N,Frag_62,-229.702898
CC(N)N,Frag_63,-190.417189
C1CCNC1,Frag_64,-212.455307
CC(N)C(=O)O,Frag_65,-323.648221
COC(C)=O,Frag_66,-268.305716
CC(=O)O,Frag_67,-229.024232
C1CCC1,Frag_68,-157.101375
CC(C)C(=O)O,Frag_69,-307.602969
C1OCOCO1,Frag_70,-343.479671
CC(O)O,Frag_71,-230.183779
OCO,Frag_72,-190.893840
CC(C)=C(C)C,Frag_73,-235.688786
C/N=[N+](/C)[O-],Frag_74,-264.384904
C=C(C)N=N,Frag_75,-227.279368
C=C(C)[N+](=N)[O-],Frag_76,-302.454720
C[N+](=N)[O-],Frag_77,-225.086771
CN=N,Frag_78,-149.900006
CC(=O)N(C)C,Frag_79,-287.703497
CN(C)C,Frag_80,-174.351017
C=CCC,Frag_81,-157.111914
CC=C(C)C,Frag_82,-196.404971
C=NC,Frag_83,-133.874216
CC=N,Frag_84,-133.886270
C=CC(=C)C,Frag_85,-195.194550
C/C=C\C,Frag_86,-157.115411
C=CC=C,Frag_87,-155.910496
C/C(N)=C(\C)N,Frag_88,-267.794915
C=CC(=C)N,Frag_89,-211.252509
C/C=C(\C)N,Frag_90,-212.456921
C/C(O)=C(\C)O,Frag_91,-307.558935
C=CC(=C)O,Frag_92,-231.131215
C=C(N)C(=C)O,Frag_93,-286.473988
C/C=C(\C)O,Frag_94,-232.335854
C=C(N)O,Frag_95,-209.105032
CC(C)=C(C)N,Frag_96,-251.742612
COC(C)O,Frag_97,-269.463371
CN(N)CN,Frag_98,-245.705392
CC(C)C,Frag_99,-158.322345
CNC(C)C,Frag_100,-213.644217
CCNC,Frag_101,-174.357608
CCC(C)N,Frag_102,-213.653223
C/C=N\C,Frag_103,-173.163418
C=CN=C,Frag_104,-171.955521
C=C(C)C=N,Frag_105,-211.256110
C/C=C\N,Frag_106,-173.167602
C=C(N)OC,Frag_107,-248.379660
C=COC,Frag_108,-193.030421
C/C=C(/N)O,Frag_109,-248.392732
C/C=C\O,Frag_110,-193.045604
CC(C)N,Frag_111,-174.368149
C/C=C(/C)N,Frag_112,-212.458875
CCC(C)C,Frag_113,-197.605754
CC1CCC1,Frag_114,-196.390240
CN=[N+](C)[O-],Frag_115,-264.384904
