Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.250724
C=C(C)OC,Frag_2,-232.429162
C=CC,Frag_3,-117.881271
C1=CCCC1,Frag_4,-195.296917
C=C(C)C#N,Frag_5,-210.162728
c1cc[nH]c1,Frag_6,-210.179335
C=C(C)N,Frag_7,-173.251219
C=CN,Frag_8,-133.941046
C=C(C)C(=C)C,Frag_9,-234.592415
c1ccncc1,Frag_10,-248.302294
C=C(C)C(=O)O,Frag_11,-306.527197
C=C(C)C(N)=O,Frag_12,-286.636625
C=C(C)C(C)=O,Frag_13,-270.555544
CC(=O)C(C)=O,Frag_14,-306.518381
CC(C)=O,Frag_15,-193.158482
C1CCCC1,Frag_16,-196.503595
CC(C)C#N,Frag_17,-211.372251
CCC,Frag_18,-119.093629
C1CC1,Frag_19,-117.865790
C=C(C)C1CC1,Frag_20,-234.571775
C=C(C)NC,Frag_21,-212.543130
CNC,Frag_22,-135.132716
COC,Frag_23,-155.015805
C=C(C)CC,Frag_24,-196.492262
NC(N)[N+](=O)[O-],Frag_25,-355.799222
NC(N)N,Frag_26,-206.559911
C1NCNCN1,Frag_27,-283.959421
CN(C)[N+](=O)[O-],Frag_28,-339.713919
CC[N+](=O)[O-],Frag_29,-284.378483
CCCN,Frag_30,-174.446568
CCN,Frag_31,-135.143728
CC(C)[N+](=O)[O-],Frag_32,-323.686435
CO[N+](=O)[O-],Frag_33,-320.280543
CCON,Frag_34,-210.331544
CCCO,Frag_35,-194.334697
CON,Frag_36,-171.027935
CCO,Frag_37,-155.031723
CC(C)ON,Frag_38,-249.644741
c1ccoc1,Frag_39,-230.051771
C=C(O)[N+](=O)[O-],Frag_40,-358.419184
C=CO,Frag_41,-153.824027
C1NCNCNCN1,Frag_42,-378.607073
CCCC,Frag_43,-158.395691
CC(C)(C)[N+](=O)[O-],Frag_44,-362.993228
CCN(C)N,Frag_45,-229.768356
CN(C)N,Frag_46,-190.457957
NC[N+](=O)[O-],Frag_47,-300.435632
NCN,Frag_48,-151.198185
CC(C)(C)CO,Frag_49,-272.946095
CC(C)(C)C,Frag_50,-197.705190
C1CCNCC1,Frag_51,-251.860207
CN(C)N=O,Frag_52,-264.499445
C=C(C)O,Frag_53,-193.138511
C=C(C)[N+](=O)[O-],Frag_54,-322.472506
C=C(C)C,Frag_55,-157.190525
C[N+](=O)[O-],Frag_56,-245.071519
C=C(C)CN,Frag_57,-212.542523
C=C[N+](=O)[O-],Frag_58,-283.161389
CC(O)CO,Frag_59,-269.580460
CC(C)O,Frag_60,-194.340704
CC(N)[N+](=O)[O-],Frag_61,-339.744837
CCC(N)N,Frag_62,-229.810162
CC(N)N,Frag_63,-190.506974
C1CCNC1,Frag_64,-212.548565
CC(N)C(=O)O,Frag_65,-323.786817
COC(C)=O,Frag_66,-268.419063
CC(=O)O,Frag_67,-229.121055
C1CCC1,Frag_68,-157.170191
CC(C)C(=O)O,Frag_69,-307.735510
C1OCOCO1,Frag_70,-343.622573
CC(O)O,Frag_71,-230.287453
OCO,Frag_72,-190.980676
CC(C)=C(C)C,Frag_73,-235.798826
C/N=[N+](/C)[O-],Frag_74,-264.492987
C=C(C)N=N,Frag_75,-227.372588
C=C(C)[N+](=N)[O-],Frag_76,-302.579332
C[N+](=N)[O-],Frag_77,-225.180347
CN=N,Frag_78,-149.960519
CC(=O)N(C)C,Frag_79,-287.828964
CN(C)C,Frag_80,-174.431761
C=CCC,Frag_81,-157.183872
CC=C(C)C,Frag_82,-196.495498
C=NC,Frag_83,-133.931636
CC=N,Frag_84,-133.945259
C=CC(=C)C,Frag_85,-195.281293
C/C=C\C,Frag_86,-157.187126
C=CC=C,Frag_87,-155.977988
C/C(N)=C(\C)N,Frag_88,-267.917389
C=CC(=C)N,Frag_89,-211.345468
C/C=C(\C)N,Frag_90,-212.553896
C/C(O)=C(\C)O,Frag_91,-307.693399
C=CC(=C)O,Frag_92,-231.230120
C=C(N)C(=C)O,Frag_93,-286.596981
C/C=C(\C)O,Frag_94,-232.439257
C=C(N)O,Frag_95,-209.196643
CC(C)=C(C)N,Frag_96,-251.859209
COC(C)O,Frag_97,-269.582668
CN(N)CN,Frag_98,-245.816547
CC(C)C,Frag_99,-158.398976
CNC(C)C,Frag_100,-213.744300
CCNC,Frag_101,-174.438745
CCC(C)N,Frag_102,-213.753816
C/C=N\C,Frag_103,-173.239127
C=CN=C,Frag_104,-172.027006
C=C(C)C=N,Frag_105,-211.347544
C/C=C\N,Frag_106,-173.246332
C=C(N)OC,Frag_107,-248.488833
C=COC,Frag_108,-193.114355
C/C=C(/N)O,Frag_109,-248.501666
C/C=C\O,Frag_110,-193.131705
CC(C)N,Frag_111,-174.450979
C/C=C(/C)N,Frag_112,-212.556450
CCC(C)C,Frag_113,-197.701063
CC1CCC1,Frag_114,-196.477587
CN=[N+](C)[O-],Frag_115,-264.492987
