Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.107840
C=C(C)OC,Frag_2,-232.290484
C=CC,Frag_3,-117.810567
C1=CCCC1,Frag_4,-195.183952
C=C(C)C#N,Frag_5,-210.033277
c1cc[nH]c1,Frag_6,-210.056902
C=C(C)N,Frag_7,-173.148571
C=CN,Frag_8,-133.861808
C=C(C)C(=C)C,Frag_9,-234.447278
c1ccncc1,Frag_10,-248.151444
C=C(C)C(=O)O,Frag_11,-306.347659
C=C(C)C(N)=O,Frag_12,-286.466858
C=C(C)C(C)=O,Frag_13,-270.393551
CC(=O)C(C)=O,Frag_14,-306.338837
CC(C)=O,Frag_15,-193.045843
C1CCCC1,Frag_16,-196.393009
CC(C)C#N,Frag_17,-211.245552
CCC,Frag_18,-119.026206
C1CC1,Frag_19,-117.801400
C=C(C)C1CC1,Frag_20,-234.433795
C=C(C)NC,Frag_21,-212.416645
CNC,Frag_22,-135.055527
COC,Frag_23,-154.925259
C=C(C)CC,Frag_24,-196.374524
NC(N)[N+](=O)[O-],Frag_25,-355.597307
NC(N)N,Frag_26,-206.442685
C1NCNCN1,Frag_27,-283.798167
CN(C)[N+](=O)[O-],Frag_28,-339.520538
CC[N+](=O)[O-],Frag_29,-284.216336
CCCN,Frag_30,-174.346899
CCN,Frag_31,-135.067243
CC(C)[N+](=O)[O-],Frag_32,-323.500654
CO[N+](=O)[O-],Frag_33,-320.098322
CCON,Frag_34,-210.210062
CCCO,Frag_35,-194.223476
CON,Frag_36,-170.929596
CCO,Frag_37,-154.943099
CC(C)ON,Frag_38,-249.500791
c1ccoc1,Frag_39,-229.917162
C=C(O)[N+](=O)[O-],Frag_40,-358.212915
C=CO,Frag_41,-153.732997
C1NCNCNCN1,Frag_42,-378.388651
CCCC,Frag_43,-158.304837
CC(C)(C)[N+](=O)[O-],Frag_44,-362.783860
CCN(C)N,Frag_45,-229.636494
CN(C)N,Frag_46,-190.348437
NC[N+](=O)[O-],Frag_47,-300.265265
NCN,Frag_48,-151.112615
CC(C)(C)CO,Frag_49,-272.786862
CC(C)(C)C,Frag_50,-197.589411
C1CCNCC1,Frag_51,-251.716050
CN(C)N=O,Frag_52,-264.347760
C=C(C)O,Frag_53,-193.025195
C=C(C)[N+](=O)[O-],Frag_54,-322.284424
C=C(C)C,Frag_55,-157.096375
C[N+](=O)[O-],Frag_56,-244.931620
C=C(C)CN,Frag_57,-212.416031
C=C[N+](=O)[O-],Frag_58,-282.995939
CC(O)CO,Frag_59,-269.424898
CC(C)O,Frag_60,-194.229266
CC(N)[N+](=O)[O-],Frag_61,-339.551036
CCC(N)N,Frag_62,-229.678563
CC(N)N,Frag_63,-190.398116
C1CCNC1,Frag_64,-212.428722
CC(N)C(=O)O,Frag_65,-323.600889
COC(C)=O,Frag_66,-268.263217
CC(=O)O,Frag_67,-228.989037
C1CCC1,Frag_68,-157.083777
CC(C)C(=O)O,Frag_69,-307.558064
C1OCOCO1,Frag_70,-343.423724
CC(O)O,Frag_71,-230.156024
OCO,Frag_72,-190.871640
CC(C)=C(C)C,Frag_73,-235.657913
C/N=[N+](/C)[O-],Frag_74,-264.341380
C=C(C)N=N,Frag_75,-227.236331
C=C(C)[N+](=N)[O-],Frag_76,-302.400297
C[N+](=N)[O-],Frag_77,-225.049816
CN=N,Frag_78,-149.872645
CC(=O)N(C)C,Frag_79,-287.661054
CN(C)C,Frag_80,-174.330483
C=CCC,Frag_81,-157.090037
CC=C(C)C,Frag_82,-196.378601
C=NC,Frag_83,-133.851914
CC=N,Frag_84,-133.866133
C=CC(=C)C,Frag_85,-195.160562
C/C=C\C,Frag_86,-157.093751
C=CC=C,Frag_87,-155.880840
C/C(N)=C(\C)N,Frag_88,-267.760114
C=CC(=C)N,Frag_89,-211.216273
C/C=C(\C)N,Frag_90,-212.428577
C/C(O)=C(\C)O,Frag_91,-307.503187
C=CC(=C)O,Frag_92,-231.090002
C=C(N)C(=C)O,Frag_93,-286.425930
C/C=C(\C)O,Frag_94,-232.302667
C=C(N)O,Frag_95,-209.077237
CC(C)=C(C)N,Frag_96,-251.709895
COC(C)O,Frag_97,-269.427278
CN(N)CN,Frag_98,-245.675126
CC(C)C,Frag_99,-158.307696
CNC(C)C,Frag_100,-213.620530
CCNC,Frag_101,-174.338709
CCC(C)N,Frag_102,-213.630890
C/C=N\C,Frag_103,-173.136774
C=CN=C,Frag_104,-171.921454
C=C(C)C=N,Frag_105,-211.218496
C/C=C\N,Frag_106,-173.144260
C=C(N)OC,Frag_107,-248.336881
C=COC,Frag_108,-193.001984
C/C=C(/N)O,Frag_109,-248.357695
C/C=C\O,Frag_110,-193.017427
CC(C)N,Frag_111,-174.350973
C/C=C(/C)N,Frag_112,-212.430877
CCC(C)C,Frag_113,-197.586182
CC1CCC1,Frag_114,-196.367704
CN=[N+](C)[O-],Frag_115,-264.341380
