Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.113662
C=C(C)OC,Frag_2,-232.298133
C=CC,Frag_3,-117.813575
C1=CCCC1,Frag_4,-195.191477
C=C(C)C#N,Frag_5,-210.038294
c1cc[nH]c1,Frag_6,-210.061084
C=C(C)N,Frag_7,-173.153815
C=CN,Frag_8,-133.864205
C=C(C)C(=C)C,Frag_9,-234.458375
c1ccncc1,Frag_10,-248.156627
C=C(C)C(=O)O,Frag_11,-306.355438
C=C(C)C(N)=O,Frag_12,-286.475587
C=C(C)C(C)=O,Frag_13,-270.403322
CC(=O)C(C)=O,Frag_14,-306.347092
CC(C)=O,Frag_15,-193.050801
C1CCCC1,Frag_16,-196.403022
CC(C)C#N,Frag_17,-211.252952
CCC,Frag_18,-119.031064
C1CC1,Frag_19,-117.804379
C=C(C)C1CC1,Frag_20,-234.444532
C=C(C)NC,Frag_21,-212.425051
CNC,Frag_22,-135.059407
COC,Frag_23,-154.928879
C=C(C)CC,Frag_24,-196.384059
NC(N)[N+](=O)[O-],Frag_25,-355.605259
NC(N)N,Frag_26,-206.448551
C1NCNCN1,Frag_27,-283.809686
CN(C)[N+](=O)[O-],Frag_28,-339.528508
CC[N+](=O)[O-],Frag_29,-284.222311
CCCN,Frag_30,-174.354653
CCN,Frag_31,-135.071486
CC(C)[N+](=O)[O-],Frag_32,-323.510657
CO[N+](=O)[O-],Frag_33,-320.102010
CCON,Frag_34,-210.216269
CCCO,Frag_35,-194.230546
CON,Frag_36,-170.932323
CCO,Frag_37,-154.946881
CC(C)ON,Frag_38,-249.510059
c1ccoc1,Frag_39,-229.920704
C=C(O)[N+](=O)[O-],Frag_40,-358.217754
C=CO,Frag_41,-153.734972
C1NCNCNCN1,Frag_42,-378.407960
CCCC,Frag_43,-158.313085
CC(C)(C)[N+](=O)[O-],Frag_44,-362.799054
CCN(C)N,Frag_45,-229.646244
CN(C)N,Frag_46,-190.354719
NC[N+](=O)[O-],Frag_47,-300.270566
NCN,Frag_48,-151.115948
CC(C)(C)CO,Frag_49,-272.803403
CC(C)(C)C,Frag_50,-197.602911
C1CCNCC1,Frag_51,-251.729568
CN(C)N=O,Frag_52,-264.354011
C=C(C)O,Frag_53,-193.029844
C=C(C)[N+](=O)[O-],Frag_54,-322.291409
C=C(C)C,Frag_55,-157.102432
C[N+](=O)[O-],Frag_56,-244.934451
C=C(C)CN,Frag_57,-212.425065
C=C[N+](=O)[O-],Frag_58,-282.999669
CC(O)CO,Frag_59,-269.434079
CC(C)O,Frag_60,-194.236585
CC(N)[N+](=O)[O-],Frag_61,-339.560231
CCC(N)N,Frag_62,-229.688701
CC(N)N,Frag_63,-190.404887
C1CCNC1,Frag_64,-212.437611
CC(N)C(=O)O,Frag_65,-323.610211
COC(C)=O,Frag_66,-268.269374
CC(=O)O,Frag_67,-228.992511
C1CCC1,Frag_68,-157.090234
CC(C)C(=O)O,Frag_69,-307.568703
C1OCOCO1,Frag_70,-343.432116
CC(O)O,Frag_71,-230.161673
OCO,Frag_72,-190.874258
CC(C)=C(C)C,Frag_73,-235.670416
C/N=[N+](/C)[O-],Frag_74,-264.347106
C=C(C)N=N,Frag_75,-227.242014
C=C(C)[N+](=N)[O-],Frag_76,-302.407968
C[N+](=N)[O-],Frag_77,-225.053233
CN=N,Frag_78,-149.874411
CC(=O)N(C)C,Frag_79,-287.671455
CN(C)C,Frag_80,-174.337855
C=CCC,Frag_81,-157.095899
CC=C(C)C,Frag_82,-196.387327
C=NC,Frag_83,-133.854148
CC=N,Frag_84,-133.868455
C=CC(=C)C,Frag_85,-195.167914
C/C=C\C,Frag_86,-157.099287
C=CC=C,Frag_87,-155.884852
C/C(N)=C(\C)N,Frag_88,-267.770887
C=CC(=C)N,Frag_89,-211.222808
C/C=C(\C)N,Frag_90,-212.436455
C/C(O)=C(\C)O,Frag_91,-307.523401
C=CC(=C)O,Frag_92,-231.095928
C=C(N)C(=C)O,Frag_93,-286.434342
C/C=C(\C)O,Frag_94,-232.310020
C=C(N)O,Frag_95,-209.081100
CC(C)=C(C)N,Frag_96,-251.721640
COC(C)O,Frag_97,-269.435953
CN(N)CN,Frag_98,-245.683683
CC(C)C,Frag_99,-158.316418
CNC(C)C,Frag_100,-213.631551
CCNC,Frag_101,-174.345327
CCC(C)N,Frag_102,-213.642195
C/C=N\C,Frag_103,-173.141047
C=CN=C,Frag_104,-171.925045
C=C(C)C=N,Frag_105,-211.225506
C/C=C\N,Frag_106,-173.149336
C=C(N)OC,Frag_107,-248.348811
C=COC,Frag_108,-193.003011
C/C=C(/N)O,Frag_109,-248.364233
C/C=C\O,Frag_110,-193.023384
CC(C)N,Frag_111,-174.358836
C/C=C(/C)N,Frag_112,-212.439000
CCC(C)C,Frag_113,-197.598471
CC1CCC1,Frag_114,-196.377554
CN=[N+](C)[O-],Frag_115,-264.347106
