Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.078739
C=C(C)OC,Frag_2,-232.257189
C=CC,Frag_3,-117.790882
C1=CCCC1,Frag_4,-195.156351
C=C(C)C#N,Frag_5,-210.004568
c1cc[nH]c1,Frag_6,-210.032432
C=C(C)N,Frag_7,-173.125469
C=CN,Frag_8,-133.844705
C=C(C)C(=C)C,Frag_9,-234.412814
c1ccncc1,Frag_10,-248.123244
C=C(C)C(=O)O,Frag_11,-306.307760
C=C(C)C(N)=O,Frag_12,-286.430275
C=C(C)C(C)=O,Frag_13,-270.355814
CC(=O)C(C)=O,Frag_14,-306.298402
CC(C)=O,Frag_15,-193.018511
CCC,Frag_18,-119.003601
C1CC1,Frag_19,-117.782497
C=C(C)NC,Frag_21,-212.386450
CNC,Frag_22,-135.035407
COC,Frag_23,-154.902736
C=C(C)CC,Frag_24,-196.342994
C1NCNCN1,Frag_27,-283.765897
CN(C)[N+](=O)[O-],Frag_28,-339.482594
CC[N+](=O)[O-],Frag_29,-284.184417
CCCN,Frag_30,-174.321186
CCN,Frag_31,-135.047812
CC(C)[N+](=O)[O-],Frag_32,-323.462657
CO[N+](=O)[O-],Frag_33,-320.064829
CCON,Frag_34,-210.184082
CCCO,Frag_35,-194.196022
CON,Frag_36,-170.909933
CCO,Frag_37,-154.922347
CC(C)ON,Frag_38,-249.468029
c1ccoc1,Frag_39,-229.889222
C=C(O)[N+](=O)[O-],Frag_40,-358.176791
C=CO,Frag_41,-153.714456
CCCC,Frag_43,-158.276350
CC(C)(C)[N+](=O)[O-],Frag_44,-362.738899
CCN(C)N,Frag_45,-229.604937
CN(C)N,Frag_46,-190.324153
NC[N+](=O)[O-],Frag_47,-300.235664
NCN,Frag_48,-151.096388
CC(C)(C)CO,Frag_49,-272.746675
CC(C)(C)C,Frag_50,-197.554951
CN(C)N=O,Frag_52,-264.317204
C=C(C)O,Frag_53,-192.999473
C=C(C)[N+](=O)[O-],Frag_54,-322.248889
C=C(C)C,Frag_55,-157.070854
C=C(C)CN,Frag_57,-212.387195
C=C[N+](=O)[O-],Frag_58,-282.967056
CC(O)CO,Frag_59,-269.392817
CC(C)O,Frag_60,-194.201683
C1CCNC1,Frag_64,-212.400931
CC(N)C(=O)O,Frag_65,-323.561651
COC(C)=O,Frag_66,-268.226689
CC(=O)O,Frag_67,-228.961342
CC(O)O,Frag_71,-230.128945
CC(C)=C(C)C,Frag_73,-235.620377
C/N=[N+](/C)[O-],Frag_74,-264.311767
C=C(C)N=N,Frag_75,-227.210840
C=C(C)[N+](=N)[O-],Frag_76,-302.369136
C[N+](=N)[O-],Frag_77,-225.029555
CN=N,Frag_78,-149.857186
CC(=O)N(C)C,Frag_79,-287.620788
CN(C)C,Frag_80,-174.303190
C=CCC,Frag_81,-157.064365
CC=C(C)C,Frag_82,-196.346844
C=NC,Frag_83,-133.833495
CC=N,Frag_84,-133.848727
C=CC(=C)C,Frag_85,-195.136417
C/C=C\C,Frag_86,-157.067784
C=CC=C,Frag_87,-155.857987
C/C(N)=C(\C)N,Frag_88,-267.726871
C=CC(=C)N,Frag_89,-211.189631
C/C=C(\C)N,Frag_90,-212.399075
C=CC(=C)O,Frag_92,-231.061324
C=C(N)C(=C)O,Frag_93,-286.393260
C/C=C(\C)O,Frag_94,-232.271309
C=C(N)O,Frag_95,-209.053673
CC(C)=C(C)N,Frag_96,-251.674582
COC(C)O,Frag_97,-269.388594
CN(N)CN,Frag_98,-245.647864
CC(C)C,Frag_99,-158.279257
CNC(C)C,Frag_100,-213.587645
CCNC,Frag_101,-174.310138
CCC(C)N,Frag_102,-213.598591
C/C=N\C,Frag_103,-173.111753
C=CN=C,Frag_104,-171.902278
C=C(C)C=N,Frag_105,-211.186534
C/C=C\N,Frag_106,-173.120962
C=C(N)OC,Frag_107,-248.310688
C=COC,Frag_108,-192.974821
C/C=C(/N)O,Frag_109,-248.327421
C/C=C\O,Frag_110,-192.992992
CC(C)N,Frag_111,-174.325333
C/C=C(/C)N,Frag_112,-212.401574
CCC(C)C,Frag_113,-197.551870
C1CNC1,Frag_116,-173.097179
CC(C)(N)[N+](=O)[O-],Frag_117,-378.785589
CN(C)C=O,Frag_118,-248.342288
C1C2CC3CC2CC13,Frag_119,-311.772944
CNC(C)=O,Frag_120,-248.358297
CCC(N)=O,Frag_121,-248.366218
CC(N)=O,Frag_122,-209.092218
C=C(C)N(C)C,Frag_123,-251.651417
CC(=N)N,Frag_124,-189.193740
c1c[nH]cn1,Frag_125,-226.089058
C=C(N)[N+](=O)[O-],Frag_126,-338.302265
CCN(C)C,Frag_127,-213.577903
N=CN,Frag_128,-149.913867
N=C1NCCN1,Frag_129,-282.603219
C=N[N+](=O)[O-],Frag_130,-298.996047
C=N,Frag_131,-94.562916
CC(=O)NN,Frag_132,-264.378318
N=C(N)[N+](=O)[O-],Frag_133,-354.363565
c1cn[nH]c1,Frag_134,-226.073195
c1nnn[nH]1,Frag_135,-258.145827
CC(=N)N(C)N,Frag_136,-283.748528
CNN,Frag_137,-151.060213
C=C1NCCN1,Frag_138,-266.527967
CC(N)O,Frag_139,-210.249365
