Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.137323
C=C(C)OC,Frag_2,-232.322786
C=CC,Frag_3,-117.825615
C1=CCCC1,Frag_4,-195.210110
C=C(C)C#N,Frag_5,-210.058976
c1cc[nH]c1,Frag_6,-210.083284
C=C(C)N,Frag_7,-173.172408
C=CN,Frag_8,-133.879185
C=C(C)C(=C)C,Frag_9,-234.481717
c1ccncc1,Frag_10,-248.181952
C=C(C)C(=O)O,Frag_11,-306.386055
C=C(C)C(N)=O,Frag_12,-286.504254
C=C(C)C(C)=O,Frag_13,-270.429367
CC(=O)C(C)=O,Frag_14,-306.376415
CC(C)=O,Frag_15,-193.070135
C1CCCC1,Frag_16,-196.420638
CC(C)C#N,Frag_17,-211.272690
CCC,Frag_18,-119.042100
C1CC1,Frag_19,-117.816385
C=C(C)C1CC1,Frag_20,-234.467449
C=C(C)NC,Frag_21,-212.446706
CNC,Frag_22,-135.073330
COC,Frag_23,-154.946167
C=C(C)CC,Frag_24,-196.402833
NC(N)[N+](=O)[O-],Frag_25,-355.643354
NC(N)N,Frag_26,-206.471461
C1NCNCN1,Frag_27,-283.837102
CN(C)[N+](=O)[O-],Frag_28,-339.564378
CC[N+](=O)[O-],Frag_29,-284.252708
CCCN,Frag_30,-174.371790
CCN,Frag_31,-135.085435
CC(C)[N+](=O)[O-],Frag_32,-323.543961
CO[N+](=O)[O-],Frag_33,-320.138648
CCON,Frag_34,-210.239582
CCCO,Frag_35,-194.250409
CON,Frag_36,-170.951915
CCO,Frag_37,-154.963812
CC(C)ON,Frag_38,-249.535736
c1ccoc1,Frag_39,-229.945490
C=C(O)[N+](=O)[O-],Frag_40,-358.257715
C=CO,Frag_41,-153.752979
C1NCNCNCN1,Frag_42,-378.443562
CCCC,Frag_43,-158.327411
CC(C)(C)[N+](=O)[O-],Frag_44,-362.834588
CCN(C)N,Frag_45,-229.668587
CN(C)N,Frag_46,-190.374183
NC[N+](=O)[O-],Frag_47,-300.303297
NCN,Frag_48,-151.132812
CC(C)(C)CO,Frag_49,-272.828967
CC(C)(C)C,Frag_50,-197.620200
C1CCNCC1,Frag_51,-251.752437
CN(C)N=O,Frag_52,-264.380761
C=C(C)O,Frag_53,-193.050803
C=C(C)[N+](=O)[O-],Frag_54,-322.325803
C=C(C)C,Frag_55,-157.118016
C[N+](=O)[O-],Frag_56,-244.962048
C=C(C)CN,Frag_57,-212.446662
C=C[N+](=O)[O-],Frag_58,-283.031057
CC(O)CO,Frag_59,-269.462991
CC(C)O,Frag_60,-194.256338
CC(N)[N+](=O)[O-],Frag_61,-339.595865
CCC(N)N,Frag_62,-229.711599
CC(N)N,Frag_63,-190.424788
C1CCNC1,Frag_64,-212.457914
CC(N)C(=O)O,Frag_65,-323.643082
COC(C)=O,Frag_66,-268.297172
CC(=O)O,Frag_67,-229.017720
C1CCC1,Frag_68,-157.104523
CC(C)C(=O)O,Frag_69,-307.598678
C1OCOCO1,Frag_70,-343.469956
CC(O)O,Frag_71,-230.187008
OCO,Frag_72,-190.896614
CC(C)=C(C)C,Frag_73,-235.692876
C/N=[N+](/C)[O-],Frag_74,-264.374766
C=C(C)N=N,Frag_75,-227.265361
C=C(C)[N+](=N)[O-],Frag_76,-302.441333
C[N+](=N)[O-],Frag_77,-225.079573
CN=N,Frag_78,-149.890973
CC(=O)N(C)C,Frag_79,-287.699416
CN(C)C,Frag_80,-174.354756
C=CCC,Frag_81,-157.111266
CC=C(C)C,Frag_82,-196.406341
C=NC,Frag_83,-133.868027
CC=N,Frag_84,-133.882606
C=CC(=C)C,Frag_85,-195.187558
C/C=C\C,Frag_86,-157.114807
C=CC=C,Frag_87,-155.901113
C/C(N)=C(\C)N,Frag_88,-267.798489
C=CC(=C)N,Frag_89,-211.245478
C/C=C(\C)N,Frag_90,-212.458361
C/C(O)=C(\C)O,Frag_91,-307.556131
C=CC(=C)O,Frag_92,-231.121349
C=C(N)C(=C)O,Frag_93,-286.465235
C/C=C(\C)O,Frag_94,-232.334906
C=C(N)O,Frag_95,-209.102783
CC(C)=C(C)N,Frag_96,-251.746913
COC(C)O,Frag_97,-269.464220
CN(N)CN,Frag_98,-245.709880
CC(C)C,Frag_99,-158.330730
CNC(C)C,Frag_100,-213.651655
CCNC,Frag_101,-174.362573
CCC(C)N,Frag_102,-213.662312
C/C=N\C,Frag_103,-173.158577
C=CN=C,Frag_104,-171.942941
C=C(C)C=N,Frag_105,-211.247286
C/C=C\N,Frag_106,-173.167794
C=C(N)OC,Frag_107,-248.376286
C=COC,Frag_108,-193.024509
C/C=C(/N)O,Frag_109,-248.391445
C/C=C\O,Frag_110,-193.044316
CC(C)N,Frag_111,-174.375924
C/C=C(/C)N,Frag_112,-212.461010
CCC(C)C,Frag_113,-197.616061
CC1CCC1,Frag_114,-196.395082
CN=[N+](C)[O-],Frag_115,-264.374766
