Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.890857
C=C(C)OC,Frag_2,-232.061284
C=CC,Frag_3,-117.695351
C1=CCCC1,Frag_4,-194.998064
C=C(C)C#N,Frag_5,-209.826487
c1cc[nH]c1,Frag_6,-209.858258
C=C(C)N,Frag_7,-172.978019
C=CN,Frag_8,-133.728570
C=C(C)C(=C)C,Frag_9,-234.222084
c1ccncc1,Frag_10,-247.916290
C=C(C)C(=O)O,Frag_11,-306.041779
C=C(C)C(N)=O,Frag_12,-286.183650
C=C(C)C(C)=O,Frag_13,-270.128133
CC(=O)C(C)=O,Frag_14,-306.032853
CC(C)=O,Frag_15,-192.852662
C1CCCC1,Frag_16,-196.206298
CC(C)C#N,Frag_17,-211.036644
CCC,Frag_18,-118.909398
C1CC1,Frag_19,-117.688351
C=C(C)C1CC1,Frag_20,-234.210883
C=C(C)NC,Frag_21,-212.210477
CNC,Frag_22,-134.920885
COC,Frag_23,-154.768476
C=C(C)CC,Frag_24,-196.184662
NC(N)[N+](=O)[O-],Frag_25,-355.234948
NC(N)N,Frag_26,-206.230453
C1NCNCN1,Frag_27,-283.519729
CN(C)[N+](=O)[O-],Frag_28,-339.180975
CC[N+](=O)[O-],Frag_29,-283.928898
CCCN,Frag_30,-174.173405
CCN,Frag_31,-134.930862
CC(C)[N+](=O)[O-],Frag_32,-323.175526
CO[N+](=O)[O-],Frag_33,-319.771148
CCON,Frag_34,-209.995170
CCCO,Frag_35,-194.027353
CON,Frag_36,-170.752050
CCO,Frag_37,-154.784022
CC(C)ON,Frag_38,-249.248409
c1ccoc1,Frag_39,-229.695106
C=C(O)[N+](=O)[O-],Frag_40,-357.850500
C=CO,Frag_41,-153.576800
C1NCNCNCN1,Frag_42,-378.019662
CCCC,Frag_43,-158.150820
CC(C)(C)[N+](=O)[O-],Frag_44,-362.421487
CCN(C)N,Frag_45,-229.408319
CN(C)N,Frag_46,-190.156425
NC[N+](=O)[O-],Frag_47,-299.958890
NCN,Frag_48,-150.956949
CC(C)(C)CO,Frag_49,-272.515505
CC(C)(C)C,Frag_50,-197.397080
C1CCNCC1,Frag_51,-251.474245
CN(C)N=O,Frag_52,-264.083729
C=C(C)O,Frag_53,-192.831815
C=C(C)[N+](=O)[O-],Frag_54,-321.961834
C=C(C)C,Frag_55,-156.943916
C[N+](=O)[O-],Frag_56,-244.681084
C=C(C)CN,Frag_57,-212.206717
C=C[N+](=O)[O-],Frag_58,-282.709989
CC(O)CO,Frag_59,-269.149588
CC(C)O,Frag_60,-194.032690
CC(N)[N+](=O)[O-],Frag_61,-339.207431
CCC(N)N,Frag_62,-229.448499
CC(N)N,Frag_63,-190.204873
C1CCNC1,Frag_64,-212.222344
CC(N)C(=O)O,Frag_65,-323.273925
COC(C)=O,Frag_66,-267.993527
CC(=O)O,Frag_67,-228.755397
C1CCC1,Frag_68,-156.933436
CC(C)C(=O)O,Frag_69,-307.249821
C1OCOCO1,Frag_70,-343.078559
CC(O)O,Frag_71,-229.918127
OCO,Frag_72,-190.670941
CC(C)=C(C)C,Frag_73,-235.431707
C/N=[N+](/C)[O-],Frag_74,-264.076170
C=C(C)N=N,Frag_75,-227.011201
C=C(C)[N+](=N)[O-],Frag_76,-302.098829
C[N+](=N)[O-],Frag_77,-224.820853
CN=N,Frag_78,-149.719748
CC(=O)N(C)C,Frag_79,-287.378313
CN(C)C,Frag_80,-174.159376
C=CCC,Frag_81,-156.937338
CC=C(C)C,Frag_82,-196.189452
C=NC,Frag_83,-133.718679
CC=N,Frag_84,-133.732176
C=CC(=C)C,Frag_85,-194.972416
C/C=C\C,Frag_86,-156.941837
C=CC=C,Frag_87,-155.729998
C/C(N)=C(\C)N,Frag_88,-267.496611
C=CC(=C)N,Frag_89,-211.010292
C/C=C(\C)N,Frag_90,-212.221316
C/C(O)=C(\C)O,Frag_91,-307.194581
C=CC(=C)O,Frag_92,-230.861058
C=C(N)C(=C)O,Frag_93,-286.142297
C/C=C(\C)O,Frag_94,-232.072503
C=C(N)O,Frag_95,-208.863165
CC(C)=C(C)N,Frag_96,-251.465467
COC(C)O,Frag_97,-269.154049
CN(N)CN,Frag_98,-245.427933
CC(C)C,Frag_99,-158.153340
CNC(C)C,Frag_100,-213.411057
CCNC,Frag_101,-174.166674
CCC(C)N,Frag_102,-213.420005
C/C=N\C,Frag_103,-172.966519
C=CN=C,Frag_104,-171.752951
C=C(C)C=N,Frag_105,-211.011411
C/C=C\N,Frag_106,-172.974085
C=C(N)OC,Frag_107,-248.089315
C=COC,Frag_108,-192.806734
C/C=C(/N)O,Frag_109,-248.109875
C/C=C\O,Frag_110,-192.824361
CC(C)N,Frag_111,-174.177108
C/C=C(/C)N,Frag_112,-212.223429
CCC(C)C,Frag_113,-197.394586
CC1CCC1,Frag_114,-196.180327
CN=[N+](C)[O-],Frag_115,-264.076170
