Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.896692
C=C(C)OC,Frag_2,-232.068948
C=CC,Frag_3,-117.698370
C1=CCCC1,Frag_4,-195.005588
C=C(C)C#N,Frag_5,-209.831505
c1cc[nH]c1,Frag_6,-209.862447
C=C(C)N,Frag_7,-172.983273
C=CN,Frag_8,-133.730977
C=C(C)C(=C)C,Frag_9,-234.233112
c1ccncc1,Frag_10,-247.921483
C=C(C)C(=O)O,Frag_11,-306.049560
C=C(C)C(N)=O,Frag_12,-286.192382
C=C(C)C(C)=O,Frag_13,-270.137907
CC(=O)C(C)=O,Frag_14,-306.041118
CC(C)=O,Frag_15,-192.857624
C1CCCC1,Frag_16,-196.215333
CC(C)C#N,Frag_17,-211.044033
CCC,Frag_18,-118.914269
C1CC1,Frag_19,-117.691359
C=C(C)C1CC1,Frag_20,-234.221604
C=C(C)NC,Frag_21,-212.218877
CNC,Frag_22,-134.924765
COC,Frag_23,-154.772125
C=C(C)CC,Frag_24,-196.194187
NC(N)[N+](=O)[O-],Frag_25,-355.242857
NC(N)N,Frag_26,-206.236313
C1NCNCN1,Frag_27,-283.531221
CN(C)[N+](=O)[O-],Frag_28,-339.188894
CC[N+](=O)[O-],Frag_29,-283.934818
CCCN,Frag_30,-174.181153
CCN,Frag_31,-134.935114
CC(C)[N+](=O)[O-],Frag_32,-323.185524
CO[N+](=O)[O-],Frag_33,-319.774832
CCON,Frag_34,-210.001372
CCCO,Frag_35,-194.034427
CON,Frag_36,-170.754779
CCO,Frag_37,-154.787812
CC(C)ON,Frag_38,-249.257668
c1ccoc1,Frag_39,-229.698662
C=C(O)[N+](=O)[O-],Frag_40,-357.855305
C=CO,Frag_41,-153.578780
C1NCNCNCN1,Frag_42,-378.038924
CCCC,Frag_43,-158.159060
CC(C)(C)[N+](=O)[O-],Frag_44,-362.436675
CCN(C)N,Frag_45,-229.418063
CN(C)N,Frag_46,-190.162711
NC[N+](=O)[O-],Frag_47,-299.964188
NCN,Frag_48,-150.960270
CC(C)(C)CO,Frag_49,-272.532040
CC(C)(C)C,Frag_50,-197.410736
C1CCNCC1,Frag_51,-251.487750
CN(C)N=O,Frag_52,-264.089980
C=C(C)O,Frag_53,-192.836465
C=C(C)[N+](=O)[O-],Frag_54,-321.968819
C=C(C)C,Frag_55,-156.949981
C[N+](=O)[O-],Frag_56,-244.683920
C=C(C)CN,Frag_57,-212.215751
C=C[N+](=O)[O-],Frag_58,-282.713723
CC(O)CO,Frag_59,-269.158778
CC(C)O,Frag_60,-194.040010
CC(N)[N+](=O)[O-],Frag_61,-339.216614
CCC(N)N,Frag_62,-229.458637
CC(N)N,Frag_63,-190.211636
C1CCNC1,Frag_64,-212.231226
CC(N)C(=O)O,Frag_65,-323.283238
COC(C)=O,Frag_66,-267.999690
CC(=O)O,Frag_67,-228.758871
C1CCC1,Frag_68,-156.939899
CC(C)C(=O)O,Frag_69,-307.260443
C1OCOCO1,Frag_70,-343.086937
CC(O)O,Frag_71,-229.923773
OCO,Frag_72,-190.673565
CC(C)=C(C)C,Frag_73,-235.444174
C/N=[N+](/C)[O-],Frag_74,-264.081899
C=C(C)N=N,Frag_75,-227.016889
C=C(C)[N+](=N)[O-],Frag_76,-302.106486
C[N+](=N)[O-],Frag_77,-224.824268
CN=N,Frag_78,-149.721519
CC(=O)N(C)C,Frag_79,-287.388705
CN(C)C,Frag_80,-174.166707
C=CCC,Frag_81,-156.943193
CC=C(C)C,Frag_82,-196.198175
C=NC,Frag_83,-133.720932
CC=N,Frag_84,-133.734510
C=CC(=C)C,Frag_85,-194.979764
C/C=C\C,Frag_86,-156.947372
C=CC=C,Frag_87,-155.734027
C/C(N)=C(\C)N,Frag_88,-267.507362
C=CC(=C)N,Frag_89,-211.016831
C/C=C(\C)N,Frag_90,-212.229194
C/C(O)=C(\C)O,Frag_91,-307.214986
C=CC(=C)O,Frag_92,-230.866964
C=C(N)C(=C)O,Frag_93,-286.150706
C/C=C(\C)O,Frag_94,-232.079851
C=C(N)O,Frag_95,-208.867118
CC(C)=C(C)N,Frag_96,-251.477170
COC(C)O,Frag_97,-269.162721
CN(N)CN,Frag_98,-245.436456
CC(C)C,Frag_99,-158.162030
CNC(C)C,Frag_100,-213.422057
CCNC,Frag_101,-174.173297
CCC(C)N,Frag_102,-213.431307
C/C=N\C,Frag_103,-172.971439
C=CN=C,Frag_104,-171.756549
C=C(C)C=N,Frag_105,-211.018432
C/C=C\N,Frag_106,-172.979144
C=C(N)OC,Frag_107,-248.101739
C=COC,Frag_108,-192.811029
C/C=C(/N)O,Frag_109,-248.116410
C/C=C\O,Frag_110,-192.828721
CC(C)N,Frag_111,-174.184966
C/C=C(/C)N,Frag_112,-212.231543
CCC(C)C,Frag_113,-197.406860
CC1CCC1,Frag_114,-196.190178
CN=[N+](C)[O-],Frag_115,-264.081899
