Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.141687
C=C(C)OC,Frag_2,-232.327907
C=CC,Frag_3,-117.826624
C1=CCCC1,Frag_4,-195.212644
C=C(C)C#N,Frag_5,-210.063705
c1cc[nH]c1,Frag_6,-210.087775
C=C(C)N,Frag_7,-173.174988
C=CN,Frag_8,-133.881406
C=C(C)C(=C)C,Frag_9,-234.484477
c1ccncc1,Frag_10,-248.187901
C=C(C)C(=O)O,Frag_11,-306.395230
C=C(C)C(N)=O,Frag_12,-286.511872
C=C(C)C(C)=O,Frag_13,-270.435745
CC(=O)C(C)=O,Frag_14,-306.386545
CC(C)=O,Frag_15,-193.075314
C1CCCC1,Frag_16,-196.422460
CC(C)C#N,Frag_17,-211.276837
CCC,Frag_18,-119.042373
C1CC1,Frag_19,-117.817380
C=C(C)C1CC1,Frag_20,-234.470270
C=C(C)NC,Frag_21,-212.449758
CNC,Frag_22,-135.075117
COC,Frag_23,-154.950152
C=C(C)CC,Frag_24,-196.404560
NC(N)[N+](=O)[O-],Frag_25,-355.656954
NC(N)N,Frag_26,-206.475453
C1NCNCN1,Frag_27,-283.843347
CN(C)[N+](=O)[O-],Frag_28,-339.577006
CC[N+](=O)[O-],Frag_29,-284.263759
CCCN,Frag_30,-174.373512
CCN,Frag_31,-135.086893
CC(C)[N+](=O)[O-],Frag_32,-323.555229
CO[N+](=O)[O-],Frag_33,-320.152839
CCON,Frag_34,-210.244391
CCCO,Frag_35,-194.254133
CON,Frag_36,-170.956671
CCO,Frag_37,-154.967420
CC(C)ON,Frag_38,-249.540909
c1ccoc1,Frag_39,-229.952065
C=C(O)[N+](=O)[O-],Frag_40,-358.272167
C=CO,Frag_41,-153.757037
C1NCNCNCN1,Frag_42,-378.451640
CCCC,Frag_43,-158.328051
CC(C)(C)[N+](=O)[O-],Frag_44,-362.846031
CCN(C)N,Frag_45,-229.671922
CN(C)N,Frag_46,-190.377354
NC[N+](=O)[O-],Frag_47,-300.315485
NCN,Frag_48,-151.135640
CC(C)(C)CO,Frag_49,-272.833265
CC(C)(C)C,Frag_50,-197.621219
C1CCNCC1,Frag_51,-251.756126
CN(C)N=O,Frag_52,-264.389475
C=C(C)O,Frag_53,-193.055149
C=C(C)[N+](=O)[O-],Frag_54,-322.337699
C=C(C)C,Frag_55,-157.119384
C[N+](=O)[O-],Frag_56,-244.972992
C=C(C)CN,Frag_57,-212.449451
C=C[N+](=O)[O-],Frag_58,-283.042790
CC(O)CO,Frag_59,-269.470302
CC(C)O,Frag_60,-194.260137
CC(N)[N+](=O)[O-],Frag_61,-339.608245
CCC(N)N,Frag_62,-229.714822
CC(N)N,Frag_63,-190.427970
C1CCNC1,Frag_64,-212.461179
CC(N)C(=O)O,Frag_65,-323.652961
COC(C)=O,Frag_66,-268.306042
CC(=O)O,Frag_67,-229.025817
C1CCC1,Frag_68,-157.105883
CC(C)C(=O)O,Frag_69,-307.607358
C1OCOCO1,Frag_70,-343.482691
CC(O)O,Frag_71,-230.193974
OCO,Frag_72,-190.903530
CC(C)=C(C)C,Frag_73,-235.694837
C/N=[N+](/C)[O-],Frag_74,-264.383434
C=C(C)N=N,Frag_75,-227.270814
C=C(C)[N+](=N)[O-],Frag_76,-302.450669
C[N+](=N)[O-],Frag_77,-225.087899
CN=N,Frag_78,-149.894878
CC(=O)N(C)C,Frag_79,-287.706695
CN(C)C,Frag_80,-174.356966
C=CCC,Frag_81,-157.112653
CC=C(C)C,Frag_82,-196.407995
C=NC,Frag_83,-133.870777
CC=N,Frag_84,-133.885214
C=CC(=C)C,Frag_85,-195.189973
C/C=C\C,Frag_86,-157.116113
C=CC=C,Frag_87,-155.903153
C/C(N)=C(\C)N,Frag_88,-267.802768
C=CC(=C)N,Frag_89,-211.248942
C/C=C(\C)N,Frag_90,-212.461204
C/C(O)=C(\C)O,Frag_91,-307.564319
C=CC(=C)O,Frag_92,-231.126546
C=C(N)C(=C)O,Frag_93,-286.471770
C/C=C(\C)O,Frag_94,-232.339473
C=C(N)O,Frag_95,-209.108248
CC(C)=C(C)N,Frag_96,-251.750107
COC(C)O,Frag_97,-269.471638
CN(N)CN,Frag_98,-245.714511
CC(C)C,Frag_99,-158.331359
CNC(C)C,Frag_100,-213.653963
CCNC,Frag_101,-174.364670
CCC(C)N,Frag_102,-213.664253
C/C=N\C,Frag_103,-173.161668
C=CN=C,Frag_104,-171.946694
C=C(C)C=N,Frag_105,-211.251099
C/C=C\N,Frag_106,-173.170341
C=C(N)OC,Frag_107,-248.382587
C=COC,Frag_108,-193.029391
C/C=C(/N)O,Frag_109,-248.397124
C/C=C\O,Frag_110,-193.048495
CC(C)N,Frag_111,-174.377718
C/C=C(/C)N,Frag_112,-212.463935
CCC(C)C,Frag_113,-197.617071
CC1CCC1,Frag_114,-196.396813
CN=[N+](C)[O-],Frag_115,-264.383434
