Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.088588
C=C(C)OC,Frag_2,-232.270638
C=CC,Frag_3,-117.798827
C1=CCCC1,Frag_4,-195.165702
C=C(C)C#N,Frag_5,-210.023990
c1cc[nH]c1,Frag_6,-210.039113
C=C(C)N,Frag_7,-173.133513
C=CN,Frag_8,-133.849506
C=C(C)C(=C)C,Frag_9,-234.431598
c1ccncc1,Frag_10,-248.132048
C=C(C)C(=O)O,Frag_11,-306.322772
C=C(C)C(N)=O,Frag_12,-286.443599
C=C(C)C(C)=O,Frag_13,-270.371395
CC(=O)C(C)=O,Frag_14,-306.312160
CC(C)=O,Frag_15,-193.026761
C1CCCC1,Frag_16,-196.371799
CC(C)C#N,Frag_17,-211.234137
CCC,Frag_18,-119.010253
C1CC1,Frag_19,-117.785858
C=C(C)C1CC1,Frag_20,-234.413891
C=C(C)NC,Frag_21,-212.397800
CNC,Frag_22,-135.041339
COC,Frag_23,-154.910234
C=C(C)CC,Frag_24,-196.357270
NC(N)[N+](=O)[O-],Frag_25,-355.567513
NC(N)N,Frag_26,-206.430531
C1NCNCN1,Frag_27,-283.777967
CN(C)[N+](=O)[O-],Frag_28,-339.483744
CC[N+](=O)[O-],Frag_29,-284.187862
CCCN,Frag_30,-174.329609
CCN,Frag_31,-135.053327
CC(C)[N+](=O)[O-],Frag_32,-323.470868
CO[N+](=O)[O-],Frag_33,-320.064117
CCON,Frag_34,-210.190612
CCCO,Frag_35,-194.205062
CON,Frag_36,-170.914266
CCO,Frag_37,-154.928614
CC(C)ON,Frag_38,-249.479277
c1ccoc1,Frag_39,-229.897928
C=C(O)[N+](=O)[O-],Frag_40,-358.180001
C=CO,Frag_41,-153.720959
C1NCNCNCN1,Frag_42,-378.363903
CCCC,Frag_43,-158.286070
CC(C)(C)[N+](=O)[O-],Frag_44,-362.753431
CCN(C)N,Frag_45,-229.616477
CN(C)N,Frag_46,-190.333651
NC[N+](=O)[O-],Frag_47,-300.236672
NCN,Frag_48,-151.100931
CC(C)(C)CO,Frag_49,-272.767189
CC(C)(C)C,Frag_50,-197.572302
C1CCNCC1,Frag_51,-251.694219
CN(C)N=O,Frag_52,-264.321148
C=C(C)O,Frag_53,-193.008410
C=C(C)[N+](=O)[O-],Frag_54,-322.255902
C=C(C)C,Frag_55,-157.081678
C[N+](=O)[O-],Frag_56,-244.907681
C=C(C)CN,Frag_57,-212.400094
C=C[N+](=O)[O-],Frag_58,-282.971343
CC(O)CO,Frag_59,-269.406112
CC(C)O,Frag_60,-194.211795
CC(N)[N+](=O)[O-],Frag_61,-339.520692
CCC(N)N,Frag_62,-229.661549
CC(N)N,Frag_63,-190.384525
C1CCNC1,Frag_64,-212.409019
CC(N)C(=O)O,Frag_65,-323.575757
COC(C)=O,Frag_66,-268.238921
CC(=O)O,Frag_67,-228.969325
C1CCC1,Frag_68,-157.064475
CC(C)C(=O)O,Frag_69,-307.531958
C1OCOCO1,Frag_70,-343.399400
CC(O)O,Frag_71,-230.138966
OCO,Frag_72,-190.858225
CC(C)=C(C)C,Frag_73,-235.636920
C/N=[N+](/C)[O-],Frag_74,-264.316520
C=C(C)N=N,Frag_75,-227.221938
C=C(C)[N+](=N)[O-],Frag_76,-302.377264
C[N+](=N)[O-],Frag_77,-225.030710
CN=N,Frag_78,-149.862517
CC(=O)N(C)C,Frag_79,-287.633656
CN(C)C,Frag_80,-174.313795
C=CCC,Frag_81,-157.075057
CC=C(C)C,Frag_82,-196.359525
C=NC,Frag_83,-133.841045
CC=N,Frag_84,-133.855309
C=CC(=C)C,Frag_85,-195.146594
C/C=C\C,Frag_86,-157.077200
C=CC=C,Frag_87,-155.868859
C/C(N)=C(\C)N,Frag_88,-267.740006
C=CC(=C)N,Frag_89,-211.201428
C/C=C(\C)N,Frag_90,-212.409415
C/C(O)=C(\C)O,Frag_91,-307.489729
C=CC(=C)O,Frag_92,-231.073543
C=C(N)C(=C)O,Frag_93,-286.405943
C/C=C(\C)O,Frag_94,-232.282306
C=C(N)O,Frag_95,-209.058665
CC(C)=C(C)N,Frag_96,-251.688979
COC(C)O,Frag_97,-269.405594
CN(N)CN,Frag_98,-245.657921
CC(C)C,Frag_99,-158.290294
CNC(C)C,Frag_100,-213.601212
CCNC,Frag_101,-174.321051
CCC(C)N,Frag_102,-213.611990
C/C=N\C,Frag_103,-173.120538
C=CN=C,Frag_104,-171.909471
C=C(C)C=N,Frag_105,-211.204643
C/C=C\N,Frag_106,-173.127944
C=C(N)OC,Frag_107,-248.321920
C=COC,Frag_108,-192.985214
C/C=C(/N)O,Frag_109,-248.336433
C/C=C\O,Frag_110,-193.001140
CC(C)N,Frag_111,-174.335296
C/C=C(/C)N,Frag_112,-212.411946
CCC(C)C,Frag_113,-197.566342
CC1CCC1,Frag_114,-196.345977
CN=[N+](C)[O-],Frag_115,-264.316513
C1CNC1,Frag_116,-173.101681
CC(C)(N)[N+](=O)[O-],Frag_117,-378.799078
CN(C)C=O,Frag_118,-248.351655
