Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.089632
C=C(C)OC,Frag_2,-232.266823
C=CC,Frag_3,-117.785298
C1=CCCC1,Frag_4,-195.153954
C=C(C)C#N,Frag_5,-210.023542
c1cc[nH]c1,Frag_6,-210.043126
C=C(C)N,Frag_7,-173.122698
C=CN,Frag_8,-133.842194
C=C(C)C(=C)C,Frag_9,-234.413798
c1ccncc1,Frag_10,-248.139607
C=C(C)C(=O)O,Frag_11,-306.336500
C=C(C)C(N)=O,Frag_12,-286.448605
C=C(C)C(C)=O,Frag_13,-270.370042
CC(=O)C(C)=O,Frag_14,-306.326063
CC(C)=O,Frag_15,-193.024603
C1CCCC1,Frag_16,-196.353962
CC(C)C#N,Frag_17,-211.227814
CCC,Frag_18,-118.990779
C1CC1,Frag_19,-117.778473
C=C(C)C1CC1,Frag_20,-234.401943
C=C(C)NC,Frag_21,-212.385275
CNC,Frag_22,-135.027524
COC,Frag_23,-154.904905
C=C(C)CC,Frag_24,-196.336926
NC(N)[N+](=O)[O-],Frag_25,-355.582971
NC(N)N,Frag_26,-206.421623
C1NCNCN1,Frag_27,-283.776136
CN(C)[N+](=O)[O-],Frag_28,-339.497810
CC[N+](=O)[O-],Frag_29,-284.194583
CCCN,Frag_30,-174.312128
CCN,Frag_31,-135.038537
CC(C)[N+](=O)[O-],Frag_32,-323.473936
CO[N+](=O)[O-],Frag_33,-320.084969
CCON,Frag_34,-210.187176
CCCO,Frag_35,-194.195637
CON,Frag_36,-170.913539
CCO,Frag_37,-154.921391
CC(C)ON,Frag_38,-249.472505
c1ccoc1,Frag_39,-229.910225
C=C(O)[N+](=O)[O-],Frag_40,-358.204749
C=CO,Frag_41,-153.720736
C1NCNCNCN1,Frag_42,-378.363977
CCCC,Frag_43,-158.263485
CC(C)(C)[N+](=O)[O-],Frag_44,-362.753831
CCN(C)N,Frag_45,-229.603014
CN(C)N,Frag_46,-190.321716
NC[N+](=O)[O-],Frag_47,-300.249624
NCN,Frag_48,-151.090648
CC(C)(C)CO,Frag_49,-272.750800
CC(C)(C)C,Frag_50,-197.545170
C1CCNCC1,Frag_51,-251.679595
CN(C)N=O,Frag_52,-264.326741
C=C(C)O,Frag_53,-193.006290
C=C(C)[N+](=O)[O-],Frag_54,-322.266004
C=C(C)C,Frag_55,-157.064666
C[N+](=O)[O-],Frag_56,-244.916192
C=C(C)CN,Frag_57,-212.384943
C=C[N+](=O)[O-],Frag_58,-282.983593
CC(O)CO,Frag_59,-269.405392
CC(C)O,Frag_60,-194.201802
CC(N)[N+](=O)[O-],Frag_61,-339.530421
CCC(N)N,Frag_62,-229.645201
CC(N)N,Frag_63,-190.370674
C1CCNC1,Frag_64,-212.396672
CC(N)C(=O)O,Frag_65,-323.587604
COC(C)=O,Frag_66,-268.249488
CC(=O)O,Frag_67,-228.980278
C1CCC1,Frag_68,-157.050658
CC(C)C(=O)O,Frag_69,-307.538275
C1OCOCO1,Frag_70,-343.422821
CC(O)O,Frag_71,-230.142103
OCO,Frag_72,-190.863810
CC(C)=C(C)C,Frag_73,-235.613186
C/N=[N+](/C)[O-],Frag_74,-264.317332
C=C(C)N=N,Frag_75,-227.218770
C=C(C)[N+](=N)[O-],Frag_76,-302.378515
C[N+](=N)[O-],Frag_77,-225.030916
CN=N,Frag_78,-149.858154
CC(=O)N(C)C,Frag_79,-287.634232
CN(C)C,Frag_80,-174.298063
C=CCC,Frag_81,-157.058120
CC=C(C)C,Frag_82,-196.339394
C=NC,Frag_83,-133.833526
CC=N,Frag_84,-133.846633
C=CC(=C)C,Frag_85,-195.132415
C/C=C\C,Frag_86,-157.060809
C=CC=C,Frag_87,-155.857965
C/C(N)=C(\C)N,Frag_88,-267.727535
C=CC(=C)N,Frag_89,-211.193482
C/C=C(\C)N,Frag_90,-212.395330
C/C(O)=C(\C)O,Frag_91,-307.494714
C=CC(=C)O,Frag_92,-231.073748
C=C(N)C(=C)O,Frag_93,-286.410369
C/C=C(\C)O,Frag_94,-232.276201
C=C(N)O,Frag_95,-209.062433
CC(C)=C(C)N,Frag_96,-251.671274
COC(C)O,Frag_97,-269.408116
CN(N)CN,Frag_98,-245.647789
CC(C)C,Frag_99,-158.267123
CNC(C)C,Frag_100,-213.580989
CCNC,Frag_101,-174.303993
CCC(C)N,Frag_102,-213.590865
C/C=N\C,Frag_103,-173.111032
C=CN=C,Frag_104,-171.906242
C=C(C)C=N,Frag_105,-211.195849
C/C=C\N,Frag_106,-173.117576
C=C(N)OC,Frag_107,-248.324509
C=COC,Frag_108,-192.980460
C/C=C(/N)O,Frag_109,-248.337615
C/C=C\O,Frag_110,-192.999036
CC(C)N,Frag_111,-174.316943
C/C=C(/C)N,Frag_112,-212.398086
CCC(C)C,Frag_113,-197.539787
CC1CCC1,Frag_114,-196.328249
CN=[N+](C)[O-],Frag_115,-264.317332
