Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.056621
C=C(C)OC,Frag_2,-232.229771
C=CC,Frag_3,-117.766076
C1=CCCC1,Frag_4,-195.123175
C=C(C)C#N,Frag_5,-209.990116
c1cc[nH]c1,Frag_6,-210.013523
C=C(C)N,Frag_7,-173.095352
C=CN,Frag_8,-133.821223
C=C(C)C(=C)C,Frag_9,-234.377310
c1ccncc1,Frag_10,-248.104191
C=C(C)C(=O)O,Frag_11,-306.286502
C=C(C)C(N)=O,Frag_12,-286.402763
C=C(C)C(C)=O,Frag_13,-270.326456
CC(=O)C(C)=O,Frag_14,-306.276007
CC(C)=O,Frag_15,-192.993374
C1CCCC1,Frag_16,-196.321005
CC(C)C#N,Frag_17,-211.192028
CCC,Frag_18,-118.969578
C1CC1,Frag_19,-117.759514
C=C(C)C1CC1,Frag_20,-234.365248
C=C(C)NC,Frag_21,-212.351363
CNC,Frag_22,-135.005170
COC,Frag_23,-154.879721
C=C(C)CC,Frag_24,-196.304594
NC(N)[N+](=O)[O-],Frag_25,-355.526592
NC(N)N,Frag_26,-206.387805
C1NCNCN1,Frag_27,-283.729829
CN(C)[N+](=O)[O-],Frag_28,-339.444365
CC[N+](=O)[O-],Frag_29,-284.150432
CCCN,Frag_30,-174.282077
CCN,Frag_31,-135.015546
CC(C)[N+](=O)[O-],Frag_32,-323.422388
CO[N+](=O)[O-],Frag_33,-320.035679
CCON,Frag_34,-210.151614
CCCO,Frag_35,-194.162530
CON,Frag_36,-170.884684
CCO,Frag_37,-154.895744
CC(C)ON,Frag_38,-249.429500
c1ccoc1,Frag_39,-229.877154
C=C(O)[N+](=O)[O-],Frag_40,-358.150969
C=CO,Frag_41,-153.697136
C1NCNCNCN1,Frag_42,-378.301351
CCCC,Frag_43,-158.235486
CC(C)(C)[N+](=O)[O-],Frag_44,-362.694570
CCN(C)N,Frag_45,-229.563665
CN(C)N,Frag_46,-190.289731
NC[N+](=O)[O-],Frag_47,-300.202863
NCN,Frag_48,-151.065899
CC(C)(C)CO,Frag_49,-272.703606
CC(C)(C)C,Frag_50,-197.510636
C1CCNCC1,Frag_51,-251.637943
CN(C)N=O,Frag_52,-264.283959
C=C(C)O,Frag_53,-192.975460
C=C(C)[N+](=O)[O-],Frag_54,-322.217084
C=C(C)C,Frag_55,-157.039181
C[N+](=O)[O-],Frag_56,-244.879514
C=C(C)CN,Frag_57,-212.350388
C=C[N+](=O)[O-],Frag_58,-282.941729
CC(O)CO,Frag_59,-269.361081
CC(C)O,Frag_60,-194.168810
CC(N)[N+](=O)[O-],Frag_61,-339.476351
CCC(N)N,Frag_62,-229.606148
CC(N)N,Frag_63,-190.339186
C1CCNC1,Frag_64,-212.362152
