Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.065903
C=C(C)OC,Frag_2,-232.235076
C=CC,Frag_3,-117.766308
C1=CCCC1,Frag_4,-195.128398
C=C(C)C#N,Frag_5,-209.998942
c1cc[nH]c1,Frag_6,-210.023827
C=C(C)N,Frag_7,-173.101515
C=CN,Frag_8,-133.826884
C=C(C)C(=C)C,Frag_9,-234.382183
c1ccncc1,Frag_10,-248.117050
C=C(C)C(=O)O,Frag_11,-306.300900
C=C(C)C(N)=O,Frag_12,-286.416403
C=C(C)C(C)=O,Frag_13,-270.335432
CC(=O)C(C)=O,Frag_14,-306.289389
CC(C)=O,Frag_15,-192.998596
C1CCCC1,Frag_16,-196.324632
CC(C)C#N,Frag_17,-211.199038
CCC,Frag_18,-118.967207
C1CC1,Frag_19,-117.760276
C=C(C)C1CC1,Frag_20,-234.370557
C=C(C)NC,Frag_21,-212.356821
CNC,Frag_22,-135.006880
COC,Frag_23,-154.881601
C=C(C)CC,Frag_24,-196.306447
NC(N)[N+](=O)[O-],Frag_25,-355.554473
NC(N)N,Frag_26,-206.403057
C1NCNCN1,Frag_27,-283.746400
CN(C)[N+](=O)[O-],Frag_28,-339.464249
CC[N+](=O)[O-],Frag_29,-284.167433
CCCN,Frag_30,-174.286406
CCN,Frag_31,-135.018916
CC(C)[N+](=O)[O-],Frag_32,-323.440138
CO[N+](=O)[O-],Frag_33,-320.056430
CCON,Frag_34,-210.161732
CCCO,Frag_35,-194.168150
CON,Frag_36,-170.893801
CCO,Frag_37,-154.900542
CC(C)ON,Frag_38,-249.440188
c1ccoc1,Frag_39,-229.887165
C=C(O)[N+](=O)[O-],Frag_40,-358.175855
C=CO,Frag_41,-153.704162
C1NCNCNCN1,Frag_42,-378.322901
CCCC,Frag_43,-158.234192
CC(C)(C)[N+](=O)[O-],Frag_44,-362.713213
CCN(C)N,Frag_45,-229.571827
CN(C)N,Frag_46,-190.297456
NC[N+](=O)[O-],Frag_47,-300.225121
NCN,Frag_48,-151.074928
CC(C)(C)CO,Frag_49,-272.711152
CC(C)(C)C,Frag_50,-197.510246
C1CCNCC1,Frag_51,-251.646487
CN(C)N=O,Frag_52,-264.299174
C=C(C)O,Frag_53,-192.982594
C=C(C)[N+](=O)[O-],Frag_54,-322.236204
C=C(C)C,Frag_55,-157.040041
C[N+](=O)[O-],Frag_56,-244.895784
C=C(C)CN,Frag_57,-212.357866
C=C[N+](=O)[O-],Frag_58,-282.960367
CC(O)CO,Frag_59,-269.374151
CC(C)O,Frag_60,-194.174334
CC(N)[N+](=O)[O-],Frag_61,-339.499255
CCC(N)N,Frag_62,-229.616653
CC(N)N,Frag_63,-190.348681
C1CCNC1,Frag_64,-212.369979
CC(N)C(=O)O,Frag_65,-323.551958
COC(C)=O,Frag_66,-268.215040
CC(=O)O,Frag_67,-228.955334
C1CCC1,Frag_68,-157.026988
CC(C)C(=O)O,Frag_69,-307.498893
C1OCOCO1,Frag_70,-343.385124
CC(O)O,Frag_71,-230.116144
OCO,Frag_72,-190.844613
CC(C)=C(C)C,Frag_73,-235.576747
C/N=[N+](/C)[O-],Frag_74,-264.291228
