Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.055990
C=C(C)OC,Frag_2,-232.217855
C=CC,Frag_3,-117.758753
C1=CCCC1,Frag_4,-195.117540
C=C(C)C#N,Frag_5,-209.987163
c1cc[nH]c1,Frag_6,-210.010898
C=C(C)N,Frag_7,-173.084852
C=CN,Frag_8,-133.812676
C=C(C)C(=C)C,Frag_9,-234.367535
c1ccncc1,Frag_10,-248.104659
C=C(C)C(=O)O,Frag_11,-306.278219
C=C(C)C(N)=O,Frag_12,-286.392768
C=C(C)C(C)=O,Frag_13,-270.317884
CC(=O)C(C)=O,Frag_14,-306.268202
CC(C)=O,Frag_15,-192.983683
C1CCCC1,Frag_16,-196.312338
CC(C)C#N,Frag_17,-211.186026
CCC,Frag_18,-118.959154
C1CC1,Frag_19,-117.752247
C=C(C)C1CC1,Frag_20,-234.355724
C=C(C)NC,Frag_21,-212.339955
CNC,Frag_22,-134.993965
COC,Frag_23,-154.867662
C=C(C)CC,Frag_24,-196.293447
NC(N)[N+](=O)[O-],Frag_25,-355.515366
NC(N)N,Frag_26,-206.373155
C1NCNCN1,Frag_27,-283.719897
CN(C)[N+](=O)[O-],Frag_28,-339.435246
CC[N+](=O)[O-],Frag_29,-284.141038
CCCN,Frag_30,-174.269337
CCN,Frag_31,-135.004056
CC(C)[N+](=O)[O-],Frag_32,-323.411456
CO[N+](=O)[O-],Frag_33,-320.027479
CCON,Frag_34,-210.139854
CCCO,Frag_35,-194.148890
CON,Frag_36,-170.873995
CCO,Frag_37,-154.882832
CC(C)ON,Frag_38,-249.415965
c1ccoc1,Frag_39,-229.874408
C=C(O)[N+](=O)[O-],Frag_40,-358.143494
C=CO,Frag_41,-153.687800
C1NCNCNCN1,Frag_42,-378.288803
CCCC,Frag_43,-158.223450
CC(C)(C)[N+](=O)[O-],Frag_44,-362.682866
CCN(C)N,Frag_45,-229.550779
CN(C)N,Frag_46,-190.277835
NC[N+](=O)[O-],Frag_47,-300.193222
NCN,Frag_48,-151.052983
CC(C)(C)CO,Frag_49,-272.686311
CC(C)(C)C,Frag_50,-197.495836
C1CCNCC1,Frag_51,-251.627832
CN(C)N=O,Frag_52,-264.276971
C=C(C)O,Frag_53,-192.965172
C=C(C)[N+](=O)[O-],Frag_54,-322.209887
C=C(C)C,Frag_55,-157.029808
C[N+](=O)[O-],Frag_56,-244.870546
C=C(C)CN,Frag_57,-212.338724
C=C[N+](=O)[O-],Frag_58,-282.935394
CC(O)CO,Frag_59,-269.342798
CC(C)O,Frag_60,-194.154832
CC(N)[N+](=O)[O-],Frag_61,-339.465604
CCC(N)N,Frag_62,-229.590912
CC(N)N,Frag_63,-190.324403
C1CCNC1,Frag_64,-212.353028
CC(N)C(=O)O,Frag_65,-323.520700
COC(C)=O,Frag_66,-268.194136
CC(=O)O,Frag_67,-228.933314
C1CCC1,Frag_68,-157.017150
CC(C)C(=O)O,Frag_69,-307.473935
C1OCOCO1,Frag_70,-343.355400
CC(O)O,Frag_71,-230.088511
OCO,Frag_72,-190.818437
CC(C)=C(C)C,Frag_73,-235.561869
C/N=[N+](/C)[O-],Frag_74,-264.267541
C=C(C)N=N,Frag_75,-227.178661
C=C(C)[N+](=N)[O-],Frag_76,-302.325559
C[N+](=N)[O-],Frag_77,-224.988772
CN=N,Frag_78,-149.830614
CC(=O)N(C)C,Frag_79,-287.575471
CN(C)C,Frag_80,-174.256652
C=CCC,Frag_81,-157.023065
CC=C(C)C,Frag_82,-196.296571
C=NC,Frag_83,-133.805793
CC=N,Frag_84,-133.817927
C=CC(=C)C,Frag_85,-195.094068
C/C=C\C,Frag_86,-157.026274
C=CC=C,Frag_87,-155.828180
C/C(N)=C(\C)N,Frag_88,-267.670350
C=CC(=C)N,Frag_89,-211.152697
C/C=C(\C)N,Frag_90,-212.349626
C/C(O)=C(\C)O,Frag_91,-307.430751
C=CC(=C)O,Frag_92,-231.029705
C=C(N)C(=C)O,Frag_93,-286.355558
C/C=C(\C)O,Frag_94,-232.227187
C=C(N)O,Frag_95,-209.018354
CC(C)=C(C)N,Frag_96,-251.616924
COC(C)O,Frag_97,-269.347076
CN(N)CN,Frag_98,-245.592650
CC(C)C,Frag_99,-158.226930
CNC(C)C,Frag_100,-213.530425
CCNC,Frag_101,-174.261995
CCC(C)N,Frag_102,-213.539730
C/C=N\C,Frag_103,-173.074369
C=CN=C,Frag_104,-171.875070
C=C(C)C=N,Frag_105,-211.155924
C/C=C\N,Frag_106,-173.079627
C=C(N)OC,Frag_107,-248.272632
C=COC,Frag_108,-192.939905
C/C=C(/N)O,Frag_109,-248.285801
C/C=C\O,Frag_110,-192.958366
CC(C)N,Frag_111,-174.273911
C/C=C(/C)N,Frag_112,-212.351750
CCC(C)C,Frag_113,-197.491268
CC1CCC1,Frag_114,-196.286437
CN=[N+](C)[O-],Frag_115,-264.267541
