Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.115884
C=C(C)OC,Frag_2,-232.294436
C=CC,Frag_3,-117.798884
C1=CCCC1,Frag_4,-195.174451
C=C(C)C#N,Frag_5,-210.046673
c1cc[nH]c1,Frag_6,-210.067700
C=C(C)N,Frag_7,-173.143583
C=CN,Frag_8,-133.859104
C=C(C)C(=C)C,Frag_9,-234.439929
c1ccncc1,Frag_10,-248.167726
C=C(C)C(=O)O,Frag_11,-306.371266
C=C(C)C(N)=O,Frag_12,-286.481228
C=C(C)C(C)=O,Frag_13,-270.400334
CC(=O)C(C)=O,Frag_14,-306.359287
CC(C)=O,Frag_15,-193.046422
C1CCCC1,Frag_16,-196.373324
CC(C)C#N,Frag_17,-211.249864
CCC,Frag_18,-119.003234
C1CC1,Frag_19,-117.791800
C=C(C)C1CC1,Frag_20,-234.427299
C=C(C)NC,Frag_21,-212.409592
CNC,Frag_22,-135.043158
COC,Frag_23,-154.924152
C=C(C)CC,Frag_24,-196.357895
NC(N)[N+](=O)[O-],Frag_25,-355.626726
NC(N)N,Frag_26,-206.447344
C1NCNCN1,Frag_27,-283.807179
CN(C)[N+](=O)[O-],Frag_28,-339.539007
CC[N+](=O)[O-],Frag_29,-284.229630
CCCN,Frag_30,-174.331403
CCN,Frag_31,-135.054235
CC(C)[N+](=O)[O-],Frag_32,-323.512077
CO[N+](=O)[O-],Frag_33,-320.126730
CCON,Frag_34,-210.212857
CCCO,Frag_35,-194.217982
CON,Frag_36,-170.934819
CCO,Frag_37,-154.940461
CC(C)ON,Frag_38,-249.500769
c1ccoc1,Frag_39,-229.937584
C=C(O)[N+](=O)[O-],Frag_40,-358.250542
C=CO,Frag_41,-153.740915
C1NCNCNCN1,Frag_42,-378.404076
CCCC,Frag_43,-158.279598
CC(C)(C)[N+](=O)[O-],Frag_44,-362.794619
CCN(C)N,Frag_45,-229.627884
CN(C)N,Frag_46,-190.343273
NC[N+](=O)[O-],Frag_47,-300.287421
NCN,Frag_48,-151.109570
CC(C)(C)CO,Frag_49,-272.779705
CC(C)(C)C,Frag_50,-197.564500
C1CCNCC1,Frag_51,-251.705220
CN(C)N=O,Frag_52,-264.357113
C=C(C)O,Frag_53,-193.029854
C=C(C)[N+](=O)[O-],Frag_54,-322.305393
C=C(C)C,Frag_55,-157.082121
C[N+](=O)[O-],Frag_56,-244.947938
C=C(C)CN,Frag_57,-212.409083
C=C[N+](=O)[O-],Frag_58,-283.019561
CC(O)CO,Frag_59,-269.437849
CC(C)O,Frag_60,-194.224129
CC(N)[N+](=O)[O-],Frag_61,-339.571448
CCC(N)N,Frag_62,-229.670923
CC(N)N,Frag_63,-190.393001
C1CCNC1,Frag_64,-212.419087
CC(N)C(=O)O,Frag_65,-323.624902
COC(C)=O,Frag_66,-268.280978
CC(=O)O,Frag_67,-229.008755
C1CCC1,Frag_68,-157.066610
CC(C)C(=O)O,Frag_69,-307.572301
C1OCOCO1,Frag_70,-343.465426
CC(O)O,Frag_71,-230.170791
OCO,Frag_72,-190.889027
CC(C)=C(C)C,Frag_73,-235.638199
C/N=[N+](/C)[O-],Frag_74,-264.349347
C=C(C)N=N,Frag_75,-227.244846
C=C(C)[N+](=N)[O-],Frag_76,-302.416709
C[N+](=N)[O-],Frag_77,-225.061264
CN=N,Frag_78,-149.876741
CC(=O)N(C)C,Frag_79,-287.667037
CN(C)C,Frag_80,-174.317063
C=CCC,Frag_81,-157.075354
CC=C(C)C,Frag_82,-196.360727
C=NC,Frag_83,-133.849126
CC=N,Frag_84,-133.862609
C=CC(=C)C,Frag_85,-195.154336
C/C=C\C,Frag_86,-157.078320
C=CC=C,Frag_87,-155.876315
C/C(N)=C(\C)N,Frag_88,-267.759037
C=CC(=C)N,Frag_89,-211.218938
C/C=C(\C)N,Frag_90,-212.419942
C/C(O)=C(\C)O,Frag_91,-307.521797
C=CC(=C)O,Frag_92,-231.102205
C=C(N)C(=C)O,Frag_93,-286.445127
C/C=C(\C)O,Frag_94,-232.304172
C=C(N)O,Frag_95,-209.089157
CC(C)=C(C)N,Frag_96,-251.699675
COC(C)O,Frag_97,-269.440042
CN(N)CN,Frag_98,-245.676785
CC(C)C,Frag_99,-158.283120
CNC(C)C,Frag_100,-213.603601
CCNC,Frag_101,-174.323325
CCC(C)N,Frag_102,-213.613445
C/C=N\C,Frag_103,-173.130690
C=CN=C,Frag_104,-171.926338
C=C(C)C=N,Frag_105,-211.220354
C/C=C\N,Frag_106,-173.138391
C=C(N)OC,Frag_107,-248.355373
C=COC,Frag_108,-193.004434
C/C=C(/N)O,Frag_109,-248.368181
C/C=C\O,Frag_110,-193.022568
CC(C)N,Frag_111,-174.336109
C/C=C(/C)N,Frag_112,-212.422822
CCC(C)C,Frag_113,-197.559503
CC1CCC1,Frag_114,-196.347745
CN=[N+](C)[O-],Frag_115,-264.349347
