Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.862044
C=C(C)OC,Frag_2,-232.025189
C=CC,Frag_3,-117.662380
C1=CCCC1,Frag_4,-194.956224
C=C(C)C#N,Frag_5,-209.807035
c1cc[nH]c1,Frag_6,-209.835344
C=C(C)N,Frag_7,-172.941904
C=CN,Frag_8,-133.701509
C=C(C)C(=C)C,Frag_9,-234.174433
c1ccncc1,Frag_10,-247.893716
C=C(C)C(=O)O,Frag_11,-306.018245
C=C(C)C(N)=O,Frag_12,-286.152326
C=C(C)C(C)=O,Frag_13,-270.090905
CC(=O)C(C)=O,Frag_14,-306.006976
CC(C)=O,Frag_15,-192.821442
C1CCCC1,Frag_16,-196.153419
CC(C)C#N,Frag_17,-211.007134
CCC,Frag_18,-118.864310
C1CC1,Frag_19,-117.657415
C=C(C)C1CC1,Frag_20,-234.164315
C=C(C)NC,Frag_21,-212.165843
CNC,Frag_22,-134.883387
COC,Frag_23,-154.739314
C=C(C)CC,Frag_24,-196.133606
NC(N)[N+](=O)[O-],Frag_25,-355.207509
NC(N)N,Frag_26,-206.198082
C1NCNCN1,Frag_27,-283.481949
CN(C)[N+](=O)[O-],Frag_28,-339.144181
CC[N+](=O)[O-],Frag_29,-283.895762
CCCN,Frag_30,-174.126451
CCN,Frag_31,-134.892837
CC(C)[N+](=O)[O-],Frag_32,-323.134529
CO[N+](=O)[O-],Frag_33,-319.747849
CCON,Frag_34,-209.961299
CCCO,Frag_35,-193.988290
CON,Frag_36,-170.727771
CCO,Frag_37,-154.753974
CC(C)ON,Frag_38,-249.206207
c1ccoc1,Frag_39,-229.679460
C=C(O)[N+](=O)[O-],Frag_40,-357.831203
C=CO,Frag_41,-153.558013
C1NCNCNCN1,Frag_42,-377.973576
CCCC,Frag_43,-158.096877
CC(C)(C)[N+](=O)[O-],Frag_44,-362.374319
CCN(C)N,Frag_45,-229.359853
CN(C)N,Frag_46,-190.117569
NC[N+](=O)[O-],Frag_47,-299.932451
NCN,Frag_48,-150.925982
CC(C)(C)CO,Frag_49,-272.462272
CC(C)(C)C,Frag_50,-197.337203
C1CCNCC1,Frag_51,-251.421195
CN(C)N=O,Frag_52,-264.050925
C=C(C)O,Frag_53,-192.803576
C=C(C)[N+](=O)[O-],Frag_54,-321.931265
C=C(C)C,Frag_55,-156.901657
C[N+](=O)[O-],Frag_56,-244.657172
C=C(C)CN,Frag_57,-212.162542
C=C[N+](=O)[O-],Frag_58,-282.688273
CC(O)CO,Frag_59,-269.117195
CC(C)O,Frag_60,-193.993963
CC(N)[N+](=O)[O-],Frag_61,-339.173212
CCC(N)N,Frag_62,-229.400537
CC(N)N,Frag_63,-190.165616
C1CCNC1,Frag_64,-212.176685
CC(N)C(=O)O,Frag_65,-323.246714
COC(C)=O,Frag_66,-267.968073
CC(=O)O,Frag_67,-228.738067
C1CCC1,Frag_68,-156.889035
