Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.118103
C=C(C)OC,Frag_2,-232.296054
C=CC,Frag_3,-117.798701
C1=CCCC1,Frag_4,-195.175172
C=C(C)C#N,Frag_5,-210.049037
c1cc[nH]c1,Frag_6,-210.070173
C=C(C)N,Frag_7,-173.144133
C=CN,Frag_8,-133.859778
C=C(C)C(=C)C,Frag_9,-234.440284
c1ccncc1,Frag_10,-248.170954
C=C(C)C(=O)O,Frag_11,-306.375127
C=C(C)C(N)=O,Frag_12,-286.484541
C=C(C)C(C)=O,Frag_13,-270.401871
CC(=O)C(C)=O,Frag_14,-306.363965
CC(C)=O,Frag_15,-193.048367
C1CCCC1,Frag_16,-196.373148
CC(C)C#N,Frag_17,-211.251418
CCC,Frag_18,-119.002097
C1CC1,Frag_19,-117.791694
C=C(C)C1CC1,Frag_20,-234.427932
C=C(C)NC,Frag_21,-212.410133
CNC,Frag_22,-135.043178
COC,Frag_23,-154.925420
C=C(C)CC,Frag_24,-196.357599
NC(N)[N+](=O)[O-],Frag_25,-355.633621
NC(N)N,Frag_26,-206.448367
C1NCNCN1,Frag_27,-283.809684
CN(C)[N+](=O)[O-],Frag_28,-339.545150
CC[N+](=O)[O-],Frag_29,-284.235190
CCCN,Frag_30,-174.331047
CCN,Frag_31,-135.054005
CC(C)[N+](=O)[O-],Frag_32,-323.517379
CO[N+](=O)[O-],Frag_33,-320.134279
CCON,Frag_34,-210.214319
CCCO,Frag_35,-194.218586
CON,Frag_36,-170.936658
CCO,Frag_37,-154.941317
CC(C)ON,Frag_38,-249.502115
c1ccoc1,Frag_39,-229.941215
C=C(O)[N+](=O)[O-],Frag_40,-358.258066
C=CO,Frag_41,-153.742470
C1NCNCNCN1,Frag_42,-378.407173
CCCC,Frag_43,-158.278447
CC(C)(C)[N+](=O)[O-],Frag_44,-362.799612
CCN(C)N,Frag_45,-229.628248
CN(C)N,Frag_46,-190.343868
NC[N+](=O)[O-],Frag_47,-300.293745
NCN,Frag_48,-151.110306
CC(C)(C)CO,Frag_49,-272.779944
CC(C)(C)C,Frag_50,-197.563181
C1CCNCC1,Frag_51,-251.706075
CN(C)N=O,Frag_52,-264.361265
C=C(C)O,Frag_53,-193.031172
C=C(C)[N+](=O)[O-],Frag_54,-322.311544
C=C(C)C,Frag_55,-157.081857
C[N+](=O)[O-],Frag_56,-244.953867
C=C(C)CN,Frag_57,-212.409544
C=C[N+](=O)[O-],Frag_58,-283.026038
CC(O)CO,Frag_59,-269.440250
CC(C)O,Frag_60,-194.224741
CC(N)[N+](=O)[O-],Frag_61,-339.577518
CCC(N)N,Frag_62,-229.671268
CC(N)N,Frag_63,-190.393674
C1CCNC1,Frag_64,-212.419968
CC(N)C(=O)O,Frag_65,-323.628961
COC(C)=O,Frag_66,-268.284764
CC(=O)O,Frag_67,-229.012217
C1CCC1,Frag_68,-157.066413
CC(C)C(=O)O,Frag_69,-307.575458
C1OCOCO1,Frag_70,-343.471465
CC(O)O,Frag_71,-230.173120
OCO,Frag_72,-190.891870
CC(C)=C(C)C,Frag_73,-235.637706
C/N=[N+](/C)[O-],Frag_74,-264.353413
C=C(C)N=N,Frag_75,-227.247330
C=C(C)[N+](=N)[O-],Frag_76,-302.421205
C[N+](=N)[O-],Frag_77,-225.065492
CN=N,Frag_78,-149.878421
CC(=O)N(C)C,Frag_79,-287.669741
CN(C)C,Frag_80,-174.316926
C=CCC,Frag_81,-157.075134
CC=C(C)C,Frag_82,-196.360346
C=NC,Frag_83,-133.850080
CC=N,Frag_84,-133.863429
C=CC(=C)C,Frag_85,-195.154881
C/C=C\C,Frag_86,-157.078043
C=CC=C,Frag_87,-155.876827
C/C(N)=C(\C)N,Frag_88,-267.760244
C=CC(=C)N,Frag_89,-211.220084
C/C=C(\C)N,Frag_90,-212.420415
C/C(O)=C(\C)O,Frag_91,-307.534738
C=CC(=C)O,Frag_92,-231.104140
C=C(N)C(=C)O,Frag_93,-286.447610
C/C=C(\C)O,Frag_94,-232.305366
C=C(N)O,Frag_95,-209.091185
CC(C)=C(C)N,Frag_96,-251.700054
COC(C)O,Frag_97,-269.442483
CN(N)CN,Frag_98,-245.678129
CC(C)C,Frag_99,-158.281925
CNC(C)C,Frag_100,-213.603320
CCNC,Frag_101,-174.323199
