Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.925573
C=C(C)OC,Frag_2,-232.113624
C=CC,Frag_3,-117.704962
C1=CCCC1,Frag_4,-195.020426
C=C(C)C#N,Frag_5,-209.871454
c1cc[nH]c1,Frag_6,-209.900255
C=C(C)N,Frag_7,-173.009551
C=CN,Frag_8,-133.756120
C=C(C)C(=C)C,Frag_9,-234.248895
c1ccncc1,Frag_10,-247.967230
C=C(C)C(=O)O,Frag_11,-306.137196
C=C(C)C(N)=O,Frag_12,-286.261021
C=C(C)C(C)=O,Frag_13,-270.188269
CC(=O)C(C)=O,Frag_14,-306.127290
CC(C)=O,Frag_15,-192.901491
C1CCCC1,Frag_16,-196.221811
CC(C)C#N,Frag_17,-211.076633
CCC,Frag_18,-118.912784
C1CC1,Frag_19,-117.697507
C=C(C)C1CC1,Frag_20,-234.236642
C=C(C)NC,Frag_21,-212.243170
CNC,Frag_22,-134.942005
COC,Frag_23,-154.808590
C=C(C)CC,Frag_24,-196.201648
NC(N)[N+](=O)[O-],Frag_25,-355.377034
NC(N)N,Frag_26,-206.295313
C1NCNCN1,Frag_27,-283.590204
CN(C)[N+](=O)[O-],Frag_28,-339.300619
CC[N+](=O)[O-],Frag_29,-284.031965
CCCN,Frag_30,-174.199429
CCN,Frag_31,-134.953829
CC(C)[N+](=O)[O-],Frag_32,-323.282252
CO[N+](=O)[O-],Frag_33,-319.908878
CCON,Frag_34,-210.057915
CCCO,Frag_35,-194.072582
CON,Frag_36,-170.811243
CCO,Frag_37,-154.826674
CC(C)ON,Frag_38,-249.314408
c1ccoc1,Frag_39,-229.756261
C=C(O)[N+](=O)[O-],Frag_40,-357.997378
C=CO,Frag_41,-153.624111
C1NCNCNCN1,Frag_42,-378.111870
CCCC,Frag_43,-158.157720
CC(C)(C)[N+](=O)[O-],Frag_44,-362.531354
CCN(C)N,Frag_45,-229.453587
CN(C)N,Frag_46,-190.199981
NC[N+](=O)[O-],Frag_47,-300.079692
NCN,Frag_48,-150.999428
CC(C)(C)CO,Frag_49,-272.568726
CC(C)(C)C,Frag_50,-197.409307
C1CCNCC1,Frag_51,-251.510434
CN(C)N=O,Frag_52,-264.165200
C=C(C)O,Frag_53,-192.882178
C=C(C)[N+](=O)[O-],Frag_54,-322.073553
C=C(C)C,Frag_55,-156.957333
