Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.866630
C=C(C)OC,Frag_2,-232.045642
C=CC,Frag_3,-117.674277
C1=CCCC1,Frag_4,-194.973458
C=C(C)C#N,Frag_5,-209.812721
c1cc[nH]c1,Frag_6,-209.840632
C=C(C)N,Frag_7,-172.958611
C=CN,Frag_8,-133.713622
C=C(C)C(=C)C,Frag_9,-234.190277
c1ccncc1,Frag_10,-247.901373
C=C(C)C(=O)O,Frag_11,-306.041163
C=C(C)C(N)=O,Frag_12,-286.174042
C=C(C)C(C)=O,Frag_13,-270.112564
CC(=O)C(C)=O,Frag_14,-306.032991
CC(C)=O,Frag_15,-192.843724
C1CCCC1,Frag_16,-196.178138
CC(C)C#N,Frag_17,-211.020304
CCC,Frag_18,-118.885841
C1CC1,Frag_19,-117.669032
C=C(C)C1CC1,Frag_20,-234.179583
C=C(C)NC,Frag_21,-212.185291
CNC,Frag_22,-134.904396
COC,Frag_23,-154.760220
C=C(C)CC,Frag_24,-196.154241
NC(N)[N+](=O)[O-],Frag_25,-355.253258
NC(N)N,Frag_26,-206.224779
C1NCNCN1,Frag_27,-283.509090
CN(C)[N+](=O)[O-],Frag_28,-339.190154
CC[N+](=O)[O-],Frag_29,-283.937767
CCCN,Frag_30,-174.152653
CCN,Frag_31,-134.915215
CC(C)[N+](=O)[O-],Frag_32,-323.179763
CO[N+](=O)[O-],Frag_33,-319.795943
CCON,Frag_34,-209.991473
CCCO,Frag_35,-194.014559
CON,Frag_36,-170.753030
CCO,Frag_37,-154.776454
CC(C)ON,Frag_38,-249.239942
c1ccoc1,Frag_39,-229.688099
C=C(O)[N+](=O)[O-],Frag_40,-357.872640
C=CO,Frag_41,-153.570757
C1NCNCNCN1,Frag_42,-378.004303
CCCC,Frag_43,-158.122353
CC(C)(C)[N+](=O)[O-],Frag_44,-362.421563
CCN(C)N,Frag_45,-229.389735
CN(C)N,Frag_46,-190.144038
NC[N+](=O)[O-],Frag_47,-299.974687
NCN,Frag_48,-150.948772
CC(C)(C)CO,Frag_49,-272.494179
CC(C)(C)C,Frag_50,-197.365164
C1CCNCC1,Frag_51,-251.449138
CN(C)N=O,Frag_52,-264.083994
C=C(C)O,Frag_53,-192.821288
C=C(C)[N+](=O)[O-],Frag_54,-321.969372
C=C(C)C,Frag_55,-156.918277
C[N+](=O)[O-],Frag_56,-244.694963
C=C(C)CN,Frag_57,-212.183953
C=C[N+](=O)[O-],Frag_58,-282.722430
CC(O)CO,Frag_59,-269.147620
CC(C)O,Frag_60,-194.020489
CC(N)[N+](=O)[O-],Frag_61,-339.218529
CCC(N)N,Frag_62,-229.430343
CC(N)N,Frag_63,-190.192290
C1CCNC1,Frag_64,-212.203063
CC(N)C(=O)O,Frag_65,-323.277787
COC(C)=O,Frag_66,-267.994645
CC(=O)O,Frag_67,-228.761537
C1CCC1,Frag_68,-156.910536
CC(C)C(=O)O,Frag_69,-307.246349
C1OCOCO1,Frag_70,-343.093554
CC(O)O,Frag_71,-229.921531
OCO,Frag_72,-190.679327
CC(C)=C(C)C,Frag_73,-235.396768
C/N=[N+](/C)[O-],Frag_74,-264.077057
C=C(C)N=N,Frag_75,-227.001778
C=C(C)[N+](=N)[O-],Frag_76,-302.098115
C[N+](=N)[O-],Frag_77,-224.826532
CN=N,Frag_78,-149.717932
CC(=O)N(C)C,Frag_79,-287.364589
CN(C)C,Frag_80,-174.137833
C=CCC,Frag_81,-156.911340
CC=C(C)C,Frag_82,-196.158806
C=NC,Frag_83,-133.706557
CC=N,Frag_84,-133.720117
C=CC(=C)C,Frag_85,-194.944715
C/C=C\C,Frag_86,-156.915558
C=CC=C,Frag_87,-155.706612
C/C(N)=C(\C)N,Frag_88,-267.475478
C=CC(=C)N,Frag_89,-210.988670
C/C=C(\C)N,Frag_90,-212.197081
C/C(O)=C(\C)O,Frag_91,-307.190183
C=CC(=C)O,Frag_92,-230.848220
C=C(N)C(=C)O,Frag_93,-286.131297
C/C=C(\C)O,Frag_94,-232.057049
C=C(N)O,Frag_95,-208.859668
CC(C)=C(C)N,Frag_96,-251.436770
COC(C)O,Frag_97,-269.151893
CN(N)CN,Frag_98,-245.416517
CC(C)C,Frag_99,-158.125327
CNC(C)C,Frag_100,-213.385064
CCNC,Frag_101,-174.145096
CCC(C)N,Frag_102,-213.394495
C/C=N\C,Frag_103,-172.949631
C=CN=C,Frag_104,-171.738253
C=C(C)C=N,Frag_105,-210.993210
C/C=C\N,Frag_106,-172.954164
C=C(N)OC,Frag_107,-248.085336
C=COC,Frag_108,-192.795319
C/C=C(/N)O,Frag_109,-248.100366
C/C=C\O,Frag_110,-192.814824
CC(C)N,Frag_111,-174.156816
C/C=C(/C)N,Frag_112,-212.199078
CCC(C)C,Frag_113,-197.361748
CC1CCC1,Frag_114,-196.152283
CN=[N+](C)[O-],Frag_115,-264.077057
