Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.869739
C=C(C)OC,Frag_2,-232.049715
C=CC,Frag_3,-117.675836
C1=CCCC1,Frag_4,-194.977301
C=C(C)C#N,Frag_5,-209.815347
c1cc[nH]c1,Frag_6,-209.842747
C=C(C)N,Frag_7,-172.961356
C=CN,Frag_8,-133.714858
C=C(C)C(=C)C,Frag_9,-234.196187
c1ccncc1,Frag_10,-247.904123
C=C(C)C(=O)O,Frag_11,-306.045281
C=C(C)C(N)=O,Frag_12,-286.178677
C=C(C)C(C)=O,Frag_13,-270.117745
CC(=O)C(C)=O,Frag_14,-306.037305
CC(C)=O,Frag_15,-192.846309
C1CCCC1,Frag_16,-196.183277
CC(C)C#N,Frag_17,-211.024150
CCC,Frag_18,-118.888336
C1CC1,Frag_19,-117.670548
C=C(C)C1CC1,Frag_20,-234.185323
C=C(C)NC,Frag_21,-212.189745
CNC,Frag_22,-134.906389
COC,Frag_23,-154.762092
C=C(C)CC,Frag_24,-196.159319
NC(N)[N+](=O)[O-],Frag_25,-355.257351
NC(N)N,Frag_26,-206.227777
C1NCNCN1,Frag_27,-283.515016
CN(C)[N+](=O)[O-],Frag_28,-339.194355
CC[N+](=O)[O-],Frag_29,-283.940812
CCCN,Frag_30,-174.156666
CCN,Frag_31,-134.917368
CC(C)[N+](=O)[O-],Frag_32,-323.185026
CO[N+](=O)[O-],Frag_33,-319.797860
CCON,Frag_34,-209.994673
CCCO,Frag_35,-194.018222
CON,Frag_36,-170.754441
CCO,Frag_37,-154.778371
CC(C)ON,Frag_38,-249.244847
c1ccoc1,Frag_39,-229.689921
C=C(O)[N+](=O)[O-],Frag_40,-357.875177
C=CO,Frag_41,-153.571786
C1NCNCNCN1,Frag_42,-378.014596
CCCC,Frag_43,-158.126673
CC(C)(C)[N+](=O)[O-],Frag_44,-362.429600
CCN(C)N,Frag_45,-229.394882
CN(C)N,Frag_46,-190.147322
NC[N+](=O)[O-],Frag_47,-299.977393
NCN,Frag_48,-150.950457
CC(C)(C)CO,Frag_49,-272.502924
CC(C)(C)C,Frag_50,-197.372279
C1CCNCC1,Frag_51,-251.456200
CN(C)N=O,Frag_52,-264.087243
C=C(C)O,Frag_53,-192.823732
C=C(C)[N+](=O)[O-],Frag_54,-321.973046
C=C(C)C,Frag_55,-156.921465
C[N+](=O)[O-],Frag_56,-244.696401
C=C(C)CN,Frag_57,-212.188718
C=C[N+](=O)[O-],Frag_58,-282.724374
CC(O)CO,Frag_59,-269.152421
CC(C)O,Frag_60,-194.024260
CC(N)[N+](=O)[O-],Frag_61,-339.223323
CCC(N)N,Frag_62,-229.435671
CC(N)N,Frag_63,-190.195774
C1CCNC1,Frag_64,-212.207626
CC(N)C(=O)O,Frag_65,-323.282707
COC(C)=O,Frag_66,-267.997888
CC(=O)O,Frag_67,-228.763325
C1CCC1,Frag_68,-156.913816
CC(C)C(=O)O,Frag_69,-307.252005
C1OCOCO1,Frag_70,-343.097931
CC(O)O,Frag_71,-229.924414
OCO,Frag_72,-190.680627
CC(C)=C(C)C,Frag_73,-235.403518
C/N=[N+](/C)[O-],Frag_74,-264.080057
C=C(C)N=N,Frag_75,-227.004774
C=C(C)[N+](=N)[O-],Frag_76,-302.102161
C[N+](=N)[O-],Frag_77,-224.828269
CN=N,Frag_78,-149.718822
CC(=O)N(C)C,Frag_79,-287.370152
CN(C)C,Frag_80,-174.141695
C=CCC,Frag_81,-156.914416
CC=C(C)C,Frag_82,-196.163479
C=NC,Frag_83,-133.707721
CC=N,Frag_84,-133.721308
C=CC(=C)C,Frag_85,-194.948616
C/C=C\C,Frag_86,-156.918502
C=CC=C,Frag_87,-155.708722
C/C(N)=C(\C)N,Frag_88,-267.481243
C=CC(=C)N,Frag_89,-210.992146
C/C=C(\C)N,Frag_90,-212.201298
C/C(O)=C(\C)O,Frag_91,-307.206507
C=CC(=C)O,Frag_92,-230.851374
C=C(N)C(=C)O,Frag_93,-286.135799
C/C=C(\C)O,Frag_94,-232.060959
C=C(N)O,Frag_95,-208.861736
CC(C)=C(C)N,Frag_96,-251.443068
COC(C)O,Frag_97,-269.156457
CN(N)CN,Frag_98,-245.421052
CC(C)C,Frag_99,-158.129877
CNC(C)C,Frag_100,-213.390883
CCNC,Frag_101,-174.148546
CCC(C)N,Frag_102,-213.400432
C/C=N\C,Frag_103,-172.952176
C=CN=C,Frag_104,-171.740133
C=C(C)C=N,Frag_105,-210.996888
C/C=C\N,Frag_106,-172.956821
C=C(N)OC,Frag_107,-248.088979
C=COC,Frag_108,-192.801613
C/C=C(/N)O,Frag_109,-248.103838
C/C=C\O,Frag_110,-192.817226
CC(C)N,Frag_111,-174.160885
C/C=C(/C)N,Frag_112,-212.203358
CCC(C)C,Frag_113,-197.368234
CC1CCC1,Frag_114,-196.157415
CN=[N+](C)[O-],Frag_115,-264.080057
