Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.884719
C=C(C)OC,Frag_2,-232.066671
C=CC,Frag_3,-117.680637
C1=CCCC1,Frag_4,-194.985228
C=C(C)C#N,Frag_5,-209.831596
c1cc[nH]c1,Frag_6,-209.863085
C=C(C)N,Frag_7,-172.976278
C=CN,Frag_8,-133.730147
C=C(C)C(=C)C,Frag_9,-234.204395
c1ccncc1,Frag_10,-247.924552
C=C(C)C(=O)O,Frag_11,-306.078701
C=C(C)C(N)=O,Frag_12,-286.207184
C=C(C)C(C)=O,Frag_13,-270.136787
CC(=O)C(C)=O,Frag_14,-306.068815
CC(C)=O,Frag_15,-192.863182
C1CCCC1,Frag_16,-196.186333
CC(C)C#N,Frag_17,-211.036040
CCC,Frag_18,-118.887524
C1CC1,Frag_19,-117.674341
C=C(C)C1CC1,Frag_20,-234.193088
C=C(C)NC,Frag_21,-212.202189
CNC,Frag_22,-134.914719
COC,Frag_23,-154.775681
C=C(C)CC,Frag_24,-196.163318
NC(N)[N+](=O)[O-],Frag_25,-355.314165
NC(N)N,Frag_26,-206.259191
C1NCNCN1,Frag_27,-283.541192
CN(C)[N+](=O)[O-],Frag_28,-339.237867
CC[N+](=O)[O-],Frag_29,-283.979569
CCCN,Frag_30,-174.166055
CCN,Frag_31,-134.927386
CC(C)[N+](=O)[O-],Frag_32,-323.223552
CO[N+](=O)[O-],Frag_33,-319.848270
CCON,Frag_34,-210.017856
CCCO,Frag_35,-194.034801
CON,Frag_36,-170.778221
CCO,Frag_37,-154.795891
CC(C)ON,Frag_38,-249.267122
c1ccoc1,Frag_39,-229.713353
C=C(O)[N+](=O)[O-],Frag_40,-357.932063
C=CO,Frag_41,-153.593924
C1NCNCNCN1,Frag_42,-378.046373
CCCC,Frag_43,-158.125570
CC(C)(C)[N+](=O)[O-],Frag_44,-362.464824
CCN(C)N,Frag_45,-229.410672
CN(C)N,Frag_46,-190.164492
NC[N+](=O)[O-],Frag_47,-300.025699
NCN,Frag_48,-150.971672
CC(C)(C)CO,Frag_49,-272.517102
CC(C)(C)C,Frag_50,-197.370311
C1CCNCC1,Frag_51,-251.465990
CN(C)N=O,Frag_52,-264.117365
C=C(C)O,Frag_53,-192.844310
C=C(C)[N+](=O)[O-],Frag_54,-322.014474
C=C(C)C,Frag_55,-156.925912
C[N+](=O)[O-],Frag_56,-244.736432
C=C(C)CN,Frag_57,-212.203105
C=C[N+](=O)[O-],Frag_58,-282.767251
CC(O)CO,Frag_59,-269.186729
CC(C)O,Frag_60,-194.040752
CC(N)[N+](=O)[O-],Frag_61,-339.270243
CCC(N)N,Frag_62,-229.455358
CC(N)N,Frag_63,-190.216279
C1CCNC1,Frag_64,-212.219419
CC(N)C(=O)O,Frag_65,-323.322886
COC(C)=O,Frag_66,-268.025773
CC(=O)O,Frag_67,-228.795971
C1CCC1,Frag_68,-156.916981
CC(C)C(=O)O,Frag_69,-307.281432
C1OCOCO1,Frag_70,-343.140190
CC(O)O,Frag_71,-229.957862
OCO,Frag_72,-190.714887
CC(C)=C(C)C,Frag_73,-235.406166
C/N=[N+](/C)[O-],Frag_74,-264.111743
C=C(C)N=N,Frag_75,-227.027826
C=C(C)[N+](=N)[O-],Frag_76,-302.140549
C[N+](=N)[O-],Frag_77,-224.864476
CN=N,Frag_78,-149.737965
CC(=O)N(C)C,Frag_79,-287.391392
CN(C)C,Frag_80,-174.147969
C=CCC,Frag_81,-156.919197
CC=C(C)C,Frag_82,-196.167061
C=NC,Frag_83,-133.718525
CC=N,Frag_84,-133.734081
C=CC(=C)C,Frag_85,-194.957516
C/C=C\C,Frag_86,-156.922637
C=CC=C,Frag_87,-155.718472
C/C(N)=C(\C)N,Frag_88,-267.504115
C=CC(=C)N,Frag_89,-211.011341
C/C=C(\C)N,Frag_90,-212.214986
