Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.894042
C=C(C)OC,Frag_2,-232.074027
C=CC,Frag_3,-117.684598
C1=CCCC1,Frag_4,-194.993711
C=C(C)C#N,Frag_5,-209.837781
c1cc[nH]c1,Frag_6,-209.869502
C=C(C)N,Frag_7,-172.982176
C=CN,Frag_8,-133.733506
C=C(C)C(=C)C,Frag_9,-234.215942
c1ccncc1,Frag_10,-247.932973
C=C(C)C(=O)O,Frag_11,-306.086334
C=C(C)C(N)=O,Frag_12,-286.215906
C=C(C)C(C)=O,Frag_13,-270.146274
CC(=O)C(C)=O,Frag_14,-306.076219
CC(C)=O,Frag_15,-192.868096
C1CCCC1,Frag_16,-196.196058
CC(C)C#N,Frag_17,-211.043414
CCC,Frag_18,-118.892459
C1CC1,Frag_19,-117.678125
C=C(C)C1CC1,Frag_20,-234.204069
C=C(C)NC,Frag_21,-212.210794
CNC,Frag_22,-134.918965
COC,Frag_23,-154.779042
C=C(C)CC,Frag_24,-196.172782
NC(N)[N+](=O)[O-],Frag_25,-355.320795
NC(N)N,Frag_26,-206.264813
C1NCNCN1,Frag_27,-283.551889
CN(C)[N+](=O)[O-],Frag_28,-339.245110
CC[N+](=O)[O-],Frag_29,-283.984764
CCCN,Frag_30,-174.173035
CCN,Frag_31,-134.931714
CC(C)[N+](=O)[O-],Frag_32,-323.231729
CO[N+](=O)[O-],Frag_33,-319.851844
CCON,Frag_34,-210.023106
CCCO,Frag_35,-194.040783
CON,Frag_36,-170.780973
CCO,Frag_37,-154.799398
CC(C)ON,Frag_38,-249.274845
c1ccoc1,Frag_39,-229.718719
C=C(O)[N+](=O)[O-],Frag_40,-357.937341
C=CO,Frag_41,-153.596524
C1NCNCNCN1,Frag_42,-378.062908
CCCC,Frag_43,-158.133202
CC(C)(C)[N+](=O)[O-],Frag_44,-362.476548
CCN(C)N,Frag_45,-229.419573
CN(C)N,Frag_46,-190.170732
NC[N+](=O)[O-],Frag_47,-300.030275
NCN,Frag_48,-150.975353
CC(C)(C)CO,Frag_49,-272.529805
CC(C)(C)C,Frag_50,-197.381669
C1CCNCC1,Frag_51,-251.478344
CN(C)N=O,Frag_52,-264.123455
C=C(C)O,Frag_53,-192.849262
C=C(C)[N+](=O)[O-],Frag_54,-322.021387
C=C(C)C,Frag_55,-156.932526
C[N+](=O)[O-],Frag_56,-244.739285
C=C(C)CN,Frag_57,-212.211891
C=C[N+](=O)[O-],Frag_58,-282.771465
CC(O)CO,Frag_59,-269.193754
CC(C)O,Frag_60,-194.046840
CC(N)[N+](=O)[O-],Frag_61,-339.277660
CCC(N)N,Frag_62,-229.464367
CC(N)N,Frag_63,-190.222614
C1CCNC1,Frag_64,-212.228325
CC(N)C(=O)O,Frag_65,-323.330956
COC(C)=O,Frag_66,-268.031269
CC(=O)O,Frag_67,-228.799479
C1CCC1,Frag_68,-156.923535
CC(C)C(=O)O,Frag_69,-307.290363
C1OCOCO1,Frag_70,-343.147214
CC(O)O,Frag_71,-229.962368
OCO,Frag_72,-190.717111
CC(C)=C(C)C,Frag_73,-235.418617
