Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.875764
C=C(C)OC,Frag_2,-232.050251
C=CC,Frag_3,-117.673972
C1=CCCC1,Frag_4,-194.975679
C=C(C)C#N,Frag_5,-209.820636
c1cc[nH]c1,Frag_6,-209.851000
C=C(C)N,Frag_7,-172.960796
C=CN,Frag_8,-133.716652
C=C(C)C(=C)C,Frag_9,-234.191889
c1ccncc1,Frag_10,-247.912680
C=C(C)C(=O)O,Frag_11,-306.056391
C=C(C)C(N)=O,Frag_12,-286.184629
C=C(C)C(C)=O,Frag_13,-270.120398
CC(=O)C(C)=O,Frag_14,-306.047918
CC(C)=O,Frag_15,-192.848763
C1CCCC1,Frag_16,-196.175716
CC(C)C#N,Frag_17,-211.024128
CCC,Frag_18,-118.880629
C1CC1,Frag_19,-117.667265
C=C(C)C1CC1,Frag_20,-234.180446
C=C(C)NC,Frag_21,-212.186871
CNC,Frag_22,-134.902413
COC,Frag_23,-154.761668
C=C(C)CC,Frag_24,-196.152349
NC(N)[N+](=O)[O-],Frag_25,-355.275392
NC(N)N,Frag_26,-206.229586
C1NCNCN1,Frag_27,-283.515400
CN(C)[N+](=O)[O-],Frag_28,-339.209325
CC[N+](=O)[O-],Frag_29,-283.953821
CCCN,Frag_30,-174.150238
CCN,Frag_31,-134.913288
CC(C)[N+](=O)[O-],Frag_32,-323.195268
CO[N+](=O)[O-],Frag_33,-319.819151
CCON,Frag_34,-209.996252
CCCO,Frag_35,-194.015998
CON,Frag_36,-170.757861
CCO,Frag_37,-154.778164
CC(C)ON,Frag_38,-249.243520
c1ccoc1,Frag_39,-229.700833
C=C(O)[N+](=O)[O-],Frag_40,-357.900062
C=CO,Frag_41,-153.577689
C1NCNCNCN1,Frag_42,-378.013189
CCCC,Frag_43,-158.116564
CC(C)(C)[N+](=O)[O-],Frag_44,-362.436399
CCN(C)N,Frag_45,-229.390812
CN(C)N,Frag_46,-190.145360
NC[N+](=O)[O-],Frag_47,-299.994167
NCN,Frag_48,-150.949986
CC(C)(C)CO,Frag_49,-272.494414
CC(C)(C)C,Frag_50,-197.358665
C1CCNCC1,Frag_51,-251.449138
CN(C)N=O,Frag_52,-264.096255
C=C(C)O,Frag_53,-192.827405
C=C(C)[N+](=O)[O-],Frag_54,-321.988810
C=C(C)C,Frag_55,-156.917118
C[N+](=O)[O-],Frag_56,-244.711485
C=C(C)CN,Frag_57,-212.185504
C=C[N+](=O)[O-],Frag_58,-282.742605
CC(O)CO,Frag_59,-269.155180
CC(C)O,Frag_60,-194.021849
CC(N)[N+](=O)[O-],Frag_61,-339.237454
CCC(N)N,Frag_62,-229.430944
CC(N)N,Frag_63,-190.192867
C1CCNC1,Frag_64,-212.203636
CC(N)C(=O)O,Frag_65,-323.291966
COC(C)=O,Frag_66,-268.004885
CC(=O)O,Frag_67,-228.773813
C1CCC1,Frag_68,-156.908453
CC(C)C(=O)O,Frag_69,-307.257178
C1OCOCO1,Frag_70,-343.109620
CC(O)O,Frag_71,-229.929798
OCO,Frag_72,-190.687736
CC(C)=C(C)C,Frag_73,-235.393695
C/N=[N+](/C)[O-],Frag_74,-264.088761
C=C(C)N=N,Frag_75,-227.010100
C=C(C)[N+](=N)[O-],Frag_76,-302.114001
C[N+](=N)[O-],Frag_77,-224.839193
CN=N,Frag_78,-149.724114
CC(=O)N(C)C,Frag_79,-287.370997
CN(C)C,Frag_80,-174.135544
C=CCC,Frag_81,-156.910374
CC=C(C)C,Frag_82,-196.156753
C=NC,Frag_83,-133.708637
CC=N,Frag_84,-133.722028
C=CC(=C)C,Frag_85,-194.947167
C/C=C\C,Frag_86,-156.914473
C=CC=C,Frag_87,-155.710211
C/C(N)=C(\C)N,Frag_88,-267.478871
C=CC(=C)N,Frag_89,-210.994860
C/C=C(\C)N,Frag_90,-212.198330
C/C(O)=C(\C)O,Frag_91,-307.201290
C=CC(=C)O,Frag_92,-230.858583
C=C(N)C(=C)O,Frag_93,-286.143979
C/C=C(\C)O,Frag_94,-232.062242
C=C(N)O,Frag_95,-208.868982
CC(C)=C(C)N,Frag_96,-251.437062
COC(C)O,Frag_97,-269.159028
CN(N)CN,Frag_98,-245.420865
CC(C)C,Frag_99,-158.119620
CNC(C)C,Frag_100,-213.381953
CCNC,Frag_101,-174.142641
CCC(C)N,Frag_102,-213.391886
C/C=N\C,Frag_103,-172.950557
C=CN=C,Frag_104,-171.744108
C=C(C)C=N,Frag_105,-210.998100
C/C=C\N,Frag_106,-172.956365
C=C(N)OC,Frag_107,-248.093575
C=COC,Frag_108,-192.800993
C/C=C(/N)O,Frag_109,-248.109198
C/C=C\O,Frag_110,-192.819337
CC(C)N,Frag_111,-174.154449
C/C=C(/C)N,Frag_112,-212.200348
CCC(C)C,Frag_113,-197.355437
CC1CCC1,Frag_114,-196.149835
CN=[N+](C)[O-],Frag_115,-264.088761
