Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.934398
C=C(C)OC,Frag_2,-232.121769
C=CC,Frag_3,-117.710351
C1=CCCC1,Frag_4,-195.028739
C=C(C)C#N,Frag_5,-209.878145
c1cc[nH]c1,Frag_6,-209.907249
C=C(C)N,Frag_7,-173.015536
C=CN,Frag_8,-133.760324
C=C(C)C(=C)C,Frag_9,-234.258831
c1ccncc1,Frag_10,-247.975121
C=C(C)C(=O)O,Frag_11,-306.146034
C=C(C)C(N)=O,Frag_12,-286.269139
C=C(C)C(C)=O,Frag_13,-270.197176
CC(=O)C(C)=O,Frag_14,-306.135202
CC(C)=O,Frag_15,-192.907385
C1CCCC1,Frag_16,-196.230978
CC(C)C#N,Frag_17,-211.083959
CCC,Frag_18,-118.919068
C1CC1,Frag_19,-117.703371
C=C(C)C1CC1,Frag_20,-234.246768
C=C(C)NC,Frag_21,-212.251097
CNC,Frag_22,-134.946837
COC,Frag_23,-154.813657
C=C(C)CC,Frag_24,-196.210558
NC(N)[N+](=O)[O-],Frag_25,-355.383655
NC(N)N,Frag_26,-206.299852
C1NCNCN1,Frag_27,-283.597845
CN(C)[N+](=O)[O-],Frag_28,-339.308592
CC[N+](=O)[O-],Frag_29,-284.038547
CCCN,Frag_30,-174.206402
CCN,Frag_31,-134.958795
CC(C)[N+](=O)[O-],Frag_32,-323.290649
CO[N+](=O)[O-],Frag_33,-319.915964
CCON,Frag_34,-210.064828
CCCO,Frag_35,-194.079701
CON,Frag_36,-170.815716
CCO,Frag_37,-154.831646
CC(C)ON,Frag_38,-249.322644
c1ccoc1,Frag_39,-229.763709
C=C(O)[N+](=O)[O-],Frag_40,-358.005253
C=CO,Frag_41,-153.628690
C1NCNCNCN1,Frag_42,-378.121986
CCCC,Frag_43,-158.165754
CC(C)(C)[N+](=O)[O-],Frag_44,-362.541529
CCN(C)N,Frag_45,-229.461646
CN(C)N,Frag_46,-190.205833
NC[N+](=O)[O-],Frag_47,-300.085400
NCN,Frag_48,-151.002884
CC(C)(C)CO,Frag_49,-272.579422
CC(C)(C)C,Frag_50,-197.418839
C1CCNCC1,Frag_51,-251.519996
CN(C)N=O,Frag_52,-264.172013
C=C(C)O,Frag_53,-192.888659
C=C(C)[N+](=O)[O-],Frag_54,-322.081248
C=C(C)C,Frag_55,-156.964500
C[N+](=O)[O-],Frag_56,-244.786285
C=C(C)CN,Frag_57,-212.250615
C=C[N+](=O)[O-],Frag_58,-282.824941
CC(O)CO,Frag_59,-269.244892
CC(C)O,Frag_60,-194.085585
CC(N)[N+](=O)[O-],Frag_61,-339.339019
CCC(N)N,Frag_62,-229.504664
CC(N)N,Frag_63,-190.256495
C1CCNC1,Frag_64,-212.264848
CC(N)C(=O)O,Frag_65,-323.391736
COC(C)=O,Frag_66,-268.087274
CC(=O)O,Frag_67,-228.846639
C1CCC1,Frag_68,-156.953106
CC(C)C(=O)O,Frag_69,-307.350060
C1OCOCO1,Frag_70,-343.215236
CC(O)O,Frag_71,-230.007952
OCO,Frag_72,-190.755656
CC(C)=C(C)C,Frag_73,-235.462614
C/N=[N+](/C)[O-],Frag_74,-264.166228
C=C(C)N=N,Frag_75,-227.073843
C=C(C)[N+](=N)[O-],Frag_76,-302.201872
C[N+](=N)[O-],Frag_77,-224.908840
CN=N,Frag_78,-149.768179
CC(=O)N(C)C,Frag_79,-287.456241
CN(C)C,Frag_80,-174.189728
C=CCC,Frag_81,-156.957689
CC=C(C)C,Frag_82,-196.214753
C=NC,Frag_83,-133.748953
CC=N,Frag_84,-133.763696
C=CC(=C)C,Frag_85,-195.003139
C/C=C\C,Frag_86,-156.961545
C=CC=C,Frag_87,-155.755157
C/C(N)=C(\C)N,Frag_88,-267.561570
C=CC(=C)N,Frag_89,-211.057814
C/C=C(\C)N,Frag_90,-212.263397
C/C(O)=C(\C)O,Frag_91,-307.308807
C=CC(=C)O,Frag_92,-230.928383
C=C(N)C(=C)O,Frag_93,-286.230623
C/C=C(\C)O,Frag_94,-232.134531
C=C(N)O,Frag_95,-208.937284
CC(C)=C(C)N,Frag_96,-251.513155
COC(C)O,Frag_97,-269.246184
CN(N)CN,Frag_98,-245.499753
CC(C)C,Frag_99,-158.168857
CNC(C)C,Frag_100,-213.447747
CCNC,Frag_101,-174.197968
CCC(C)N,Frag_102,-213.458404
C/C=N\C,Frag_103,-173.001318
C=CN=C,Frag_104,-171.792991
C=C(C)C=N,Frag_105,-211.058983
C/C=C\N,Frag_106,-173.010803
C=C(N)OC,Frag_107,-248.166244
C=COC,Frag_108,-192.864976
C/C=C(/N)O,Frag_109,-248.187948
C/C=C\O,Frag_110,-192.880726
CC(C)N,Frag_111,-174.210679
C/C=C(/C)N,Frag_112,-212.265855
CCC(C)C,Frag_113,-197.415475
CC1CCC1,Frag_114,-196.205050
CN=[N+](C)[O-],Frag_115,-264.166228
