Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.840619
C=C(C)OC,Frag_2,-232.023336
C=CC,Frag_3,-117.654709
C1=CCCC1,Frag_4,-194.941275
C=C(C)C#N,Frag_5,-209.798919
c1cc[nH]c1,Frag_6,-209.823249
C=C(C)N,Frag_7,-172.937727
C=CN,Frag_8,-133.700875
C=C(C)C(=C)C,Frag_9,-234.155589
c1ccncc1,Frag_10,-247.883298
C=C(C)C(=O)O,Frag_11,-306.028703
C=C(C)C(N)=O,Frag_12,-286.156714
C=C(C)C(C)=O,Frag_13,-270.089432
CC(=O)C(C)=O,Frag_14,-306.021461
CC(C)=O,Frag_15,-192.827955
C1CCCC1,Frag_16,-196.138122
CC(C)C#N,Frag_17,-210.997552
CCC,Frag_18,-118.858657
C1CC1,Frag_19,-117.646545
C=C(C)C1CC1,Frag_20,-234.141399
C=C(C)NC,Frag_21,-212.157640
CNC,Frag_22,-134.884459
COC,Frag_23,-154.745762
C=C(C)CC,Frag_24,-196.118952
NC(N)[N+](=O)[O-],Frag_25,-355.265985
NC(N)N,Frag_26,-206.208543
C1NCNCN1,Frag_27,-283.482433
CN(C)[N+](=O)[O-],Frag_28,-339.199139
CC[N+](=O)[O-],Frag_29,-283.945321
CCCN,Frag_30,-174.124056
CCN,Frag_31,-134.894522
CC(C)[N+](=O)[O-],Frag_32,-323.179123
CO[N+](=O)[O-],Frag_33,-319.821794
CCON,Frag_34,-209.978662
CCCO,Frag_35,-193.990309
CON,Frag_36,-170.747253
CCO,Frag_37,-154.760121
CC(C)ON,Frag_38,-249.218167
c1ccoc1,Frag_39,-229.677400
C=C(O)[N+](=O)[O-],Frag_40,-357.894563
C=CO,Frag_41,-153.562776
C1NCNCNCN1,Frag_42,-377.968619
CCCC,Frag_43,-158.087226
CC(C)(C)[N+](=O)[O-],Frag_44,-362.412967
CCN(C)N,Frag_45,-229.362059
CN(C)N,Frag_46,-190.125022
NC[N+](=O)[O-],Frag_47,-299.989077
NCN,Frag_48,-150.934338
CC(C)(C)CO,Frag_49,-272.453700
CC(C)(C)C,Frag_50,-197.321613
C1CCNCC1,Frag_51,-251.408206
CN(C)N=O,Frag_52,-264.085493
C=C(C)O,Frag_53,-192.805130
C=C(C)[N+](=O)[O-],Frag_54,-321.977537
C=C(C)C,Frag_55,-156.890953
C[N+](=O)[O-],Frag_56,-244.710273
C=C(C)CN,Frag_57,-212.155309
C=C[N+](=O)[O-],Frag_58,-282.738037
CC(O)CO,Frag_59,-269.125641
CC(C)O,Frag_60,-193.996212
CC(N)[N+](=O)[O-],Frag_61,-339.224867
CCC(N)N,Frag_62,-229.399639
CC(N)N,Frag_63,-190.169496
C1CCNC1,Frag_64,-212.170574
CC(N)C(=O)O,Frag_65,-323.263002
COC(C)=O,Frag_66,-267.983355
CC(=O)O,Frag_67,-228.757176
C1CCC1,Frag_68,-156.879937
CC(C)C(=O)O,Frag_69,-307.225332
C1OCOCO1,Frag_70,-343.082772
CC(O)O,Frag_71,-229.907757
OCO,Frag_72,-190.673638
CC(C)=C(C)C,Frag_73,-235.354569
C/N=[N+](/C)[O-],Frag_74,-264.079270
C=C(C)N=N,Frag_75,-226.991723
C=C(C)[N+](=N)[O-],Frag_76,-302.101241
C[N+](=N)[O-],Frag_77,-224.836866
CN=N,Frag_78,-149.716733
CC(=O)N(C)C,Frag_79,-287.341421
CN(C)C,Frag_80,-174.110823
C=CCC,Frag_81,-156.883786
CC=C(C)C,Frag_82,-196.124073
C=NC,Frag_83,-133.695467
CC=N,Frag_84,-133.707846
C=CC(=C)C,Frag_85,-194.917454
C/C=C\C,Frag_86,-156.888494
C=CC=C,Frag_87,-155.687641
C/C(N)=C(\C)N,Frag_88,-267.445846
C=CC(=C)N,Frag_89,-210.968452
C/C=C(\C)N,Frag_90,-212.168933
C/C(O)=C(\C)O,Frag_91,-307.170710
C=CC(=C)O,Frag_92,-230.833101
C=C(N)C(=C)O,Frag_93,-286.114477
C/C=C(\C)O,Frag_94,-232.033692
C=C(N)O,Frag_95,-208.849607
CC(C)=C(C)N,Frag_96,-251.401224
COC(C)O,Frag_97,-269.132027
CN(N)CN,Frag_98,-245.395074
CC(C)C,Frag_99,-158.090090
CNC(C)C,Frag_100,-213.349135
CCNC,Frag_101,-174.117163
CCC(C)N,Frag_102,-213.357677
C/C=N\C,Frag_103,-172.931058
C=CN=C,Frag_104,-171.727340
C=C(C)C=N,Frag_105,-210.973789
C/C=C\N,Frag_106,-172.933948
C=C(N)OC,Frag_107,-248.068573
C=COC,Frag_108,-192.781297
C/C=C(/N)O,Frag_109,-248.082638
C/C=C\O,Frag_110,-192.799480
CC(C)N,Frag_111,-174.127971
C/C=C(/C)N,Frag_112,-212.170825
CCC(C)C,Frag_113,-197.318611
CC1CCC1,Frag_114,-196.113849
CN=[N+](C)[O-],Frag_115,-264.079270
