Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.848489
C=C(C)OC,Frag_2,-232.025797
C=CC,Frag_3,-117.652900
C1=CCCC1,Frag_4,-194.941869
C=C(C)C#N,Frag_5,-209.805030
c1cc[nH]c1,Frag_6,-209.832670
C=C(C)N,Frag_7,-172.938081
C=CN,Frag_8,-133.702675
C=C(C)C(=C)C,Frag_9,-234.154460
c1ccncc1,Frag_10,-247.893108
C=C(C)C(=O)O,Frag_11,-306.042219
C=C(C)C(N)=O,Frag_12,-286.165350
C=C(C)C(C)=O,Frag_13,-270.094984
CC(=O)C(C)=O,Frag_14,-306.034281
CC(C)=O,Frag_15,-192.831250
C1CCCC1,Frag_16,-196.133875
CC(C)C#N,Frag_17,-210.999156
CCC,Frag_18,-118.851474
C1CC1,Frag_19,-117.643634
C=C(C)C1CC1,Frag_20,-234.140068
C=C(C)NC,Frag_21,-212.156833
CNC,Frag_22,-134.880472
COC,Frag_23,-154.745482
C=C(C)CC,Frag_24,-196.114547
NC(N)[N+](=O)[O-],Frag_25,-355.285867
NC(N)N,Frag_26,-206.211151
C1NCNCN1,Frag_27,-283.486106
CN(C)[N+](=O)[O-],Frag_28,-339.215787
CC[N+](=O)[O-],Frag_29,-283.959306
CCCN,Frag_30,-174.119374
CCN,Frag_31,-134.890676
CC(C)[N+](=O)[O-],Frag_32,-323.192165
CO[N+](=O)[O-],Frag_33,-319.843610
CCON,Frag_34,-209.981276
CCCO,Frag_35,-193.989809
CON,Frag_36,-170.750300
CCO,Frag_37,-154.760232
CC(C)ON,Frag_38,-249.219314
c1ccoc1,Frag_39,-229.689383
C=C(O)[N+](=O)[O-],Frag_40,-357.920751
C=CO,Frag_41,-153.568772
C1NCNCNCN1,Frag_42,-377.974293
CCCC,Frag_43,-158.079075
CC(C)(C)[N+](=O)[O-],Frag_44,-362.424866
CCN(C)N,Frag_45,-229.360430
CN(C)N,Frag_46,-190.123814
NC[N+](=O)[O-],Frag_47,-300.006534
NCN,Frag_48,-150.933656
CC(C)(C)CO,Frag_49,-272.451144
CC(C)(C)C,Frag_50,-197.312268
C1CCNCC1,Frag_51,-251.405792
CN(C)N=O,Frag_52,-264.094861
C=C(C)O,Frag_53,-192.809762
C=C(C)[N+](=O)[O-],Frag_54,-321.994901
C=C(C)C,Frag_55,-156.887703
C[N+](=O)[O-],Frag_56,-244.725090
C=C(C)CN,Frag_57,-212.154433
C=C[N+](=O)[O-],Frag_58,-282.756761
CC(O)CO,Frag_59,-269.131277
CC(C)O,Frag_60,-193.995666
CC(N)[N+](=O)[O-],Frag_61,-339.241423
CCC(N)N,Frag_62,-229.397714
CC(N)N,Frag_63,-190.167914
C1CCNC1,Frag_64,-212.169163
CC(N)C(=O)O,Frag_65,-323.275221
COC(C)=O,Frag_66,-267.991618
CC(=O)O,Frag_67,-228.768133
C1CCC1,Frag_68,-156.876397
CC(C)C(=O)O,Frag_69,-307.234105
C1OCOCO1,Frag_70,-343.097195
CC(O)O,Frag_71,-229.914540
OCO,Frag_72,-190.680821
CC(C)=C(C)C,Frag_73,-235.348276
C/N=[N+](/C)[O-],Frag_74,-264.088491
C=C(C)N=N,Frag_75,-226.997642
C=C(C)[N+](=N)[O-],Frag_76,-302.114597
C[N+](=N)[O-],Frag_77,-224.847340
CN=N,Frag_78,-149.720949
CC(=O)N(C)C,Frag_79,-287.345064
CN(C)C,Frag_80,-174.106124
C=CCC,Frag_81,-156.880903
CC=C(C)C,Frag_82,-196.119396
C=NC,Frag_83,-133.695800
CC=N,Frag_84,-133.708061
C=CC(=C)C,Frag_85,-194.917871
C/C=C\C,Frag_86,-156.885384
C=CC=C,Frag_87,-155.689735
C/C(N)=C(\C)N,Frag_88,-267.446809
C=CC(=C)N,Frag_89,-210.972816
C/C=C(\C)N,Frag_90,-212.167778
C/C(O)=C(\C)O,Frag_91,-307.190848
C=CC(=C)O,Frag_92,-230.842120
C=C(N)C(=C)O,Frag_93,-286.125444
C/C=C(\C)O,Frag_94,-232.036929
C=C(N)O,Frag_95,-208.859449
CC(C)=C(C)N,Frag_96,-251.398581
COC(C)O,Frag_97,-269.137127
CN(N)CN,Frag_98,-245.396659
CC(C)C,Frag_99,-158.082037
CNC(C)C,Frag_100,-213.343231
CCNC,Frag_101,-174.112294
CCC(C)N,Frag_102,-213.352441
C/C=N\C,Frag_103,-172.929745
C=CN=C,Frag_104,-171.731589
C=C(C)C=N,Frag_105,-210.976329
C/C=C\N,Frag_106,-172.934405
C=C(N)OC,Frag_107,-248.074923
C=COC,Frag_108,-192.785436
C/C=C(/N)O,Frag_109,-248.089979
C/C=C\O,Frag_110,-192.804440
CC(C)N,Frag_111,-174.123347
C/C=C(/C)N,Frag_112,-212.169776
CCC(C)C,Frag_113,-197.309506
CC1CCC1,Frag_114,-196.109440
CN=[N+](C)[O-],Frag_115,-264.088491
