Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.911534
C=C(C)OC,Frag_2,-232.102694
C=CC,Frag_3,-117.693168
C1=CCCC1,Frag_4,-194.999895
C=C(C)C#N,Frag_5,-209.867170
c1cc[nH]c1,Frag_6,-209.892792
C=C(C)N,Frag_7,-172.997787
C=CN,Frag_8,-133.750151
C=C(C)C(=C)C,Frag_9,-234.227544
c1ccncc1,Frag_10,-247.959749
C=C(C)C(=O)O,Frag_11,-306.137857
C=C(C)C(N)=O,Frag_12,-286.255969
C=C(C)C(C)=O,Frag_13,-270.177877
CC(=O)C(C)=O,Frag_14,-306.127589
CC(C)=O,Frag_15,-192.894700
C1CCCC1,Frag_16,-196.194845
CC(C)C#N,Frag_17,-211.064459
CCC,Frag_18,-118.894647
C1CC1,Frag_19,-117.683691
C=C(C)C1CC1,Frag_20,-234.212782
C=C(C)NC,Frag_21,-212.226877
CNC,Frag_22,-134.929413
COC,Frag_23,-154.801542
C=C(C)CC,Frag_24,-196.178875
NC(N)[N+](=O)[O-],Frag_25,-355.399648
NC(N)N,Frag_26,-206.287397
C1NCNCN1,Frag_27,-283.574937
CN(C)[N+](=O)[O-],Frag_28,-339.319925
CC[N+](=O)[O-],Frag_29,-284.048388
CCCN,Frag_30,-174.181320
CCN,Frag_31,-134.940942
CC(C)[N+](=O)[O-],Frag_32,-323.293050
CO[N+](=O)[O-],Frag_33,-319.943612
CCON,Frag_34,-210.055082
CCCO,Frag_35,-194.059290
CON,Frag_36,-170.812708
CCO,Frag_37,-154.818455
CC(C)ON,Frag_38,-249.305166
c1ccoc1,Frag_39,-229.755578
C=C(O)[N+](=O)[O-],Frag_40,-358.029538
C=CO,Frag_41,-153.623427
C1NCNCNCN1,Frag_42,-378.091708
CCCC,Frag_43,-158.134074
CC(C)(C)[N+](=O)[O-],Frag_44,-362.536592
CCN(C)N,Frag_45,-229.437847
CN(C)N,Frag_46,-190.189848
NC[N+](=O)[O-],Frag_47,-300.102285
NCN,Frag_48,-150.991445
CC(C)(C)CO,Frag_49,-272.544073
CC(C)(C)C,Frag_50,-197.379501
C1CCNCC1,Frag_51,-251.483090
CN(C)N=O,Frag_52,-264.175436
C=C(C)O,Frag_53,-192.875835
C=C(C)[N+](=O)[O-],Frag_54,-322.091884
C=C(C)C,Frag_55,-156.940088
C[N+](=O)[O-],Frag_56,-244.803218
C=C(C)CN,Frag_57,-212.225653
C=C[N+](=O)[O-],Frag_58,-282.842556
CC(O)CO,Frag_59,-269.227987
CC(C)O,Frag_60,-194.065141
CC(N)[N+](=O)[O-],Frag_61,-339.348494
CCC(N)N,Frag_62,-229.478459
CC(N)N,Frag_63,-190.237488
C1CCNC1,Frag_64,-212.235954
CC(N)C(=O)O,Frag_65,-323.381878
COC(C)=O,Frag_66,-268.079436
CC(=O)O,Frag_67,-228.845509
C1CCC1,Frag_68,-156.925754
CC(C)C(=O)O,Frag_69,-307.333875
C1OCOCO1,Frag_70,-343.207859
CC(O)O,Frag_71,-229.999439
OCO,Frag_72,-190.753527
CC(C)=C(C)C,Frag_73,-235.424433
C/N=[N+](/C)[O-],Frag_74,-264.170690
C=C(C)N=N,Frag_75,-227.066327
C=C(C)[N+](=N)[O-],Frag_76,-302.207202
C[N+](=N)[O-],Frag_77,-224.920549
CN=N,Frag_78,-149.768335
CC(=O)N(C)C,Frag_79,-287.436935
CN(C)C,Frag_80,-174.165608
C=CCC,Frag_81,-156.933214
CC=C(C)C,Frag_82,-196.183536
C=NC,Frag_83,-133.739707
CC=N,Frag_84,-133.753641
C=CC(=C)C,Frag_85,-194.979102
C/C=C\C,Frag_86,-156.937479
C=CC=C,Frag_87,-155.738719
C/C(N)=C(\C)N,Frag_88,-267.536867
C=CC(=C)N,Frag_89,-211.040923
C/C=C(\C)N,Frag_90,-212.238956
C/C(O)=C(\C)O,Frag_91,-307.293818
C=CC(=C)O,Frag_92,-230.916777
C=C(N)C(=C)O,Frag_93,-286.218088
C/C=C(\C)O,Frag_94,-232.115084
C=C(N)O,Frag_95,-208.932592
CC(C)=C(C)N,Frag_96,-251.481847
COC(C)O,Frag_97,-269.230577
CN(N)CN,Frag_98,-245.482274
CC(C)C,Frag_99,-158.137056
CNC(C)C,Frag_100,-213.415730
CCNC,Frag_101,-174.173261
CCC(C)N,Frag_102,-213.425862
C/C=N\C,Frag_103,-172.985026
C=CN=C,Frag_104,-171.784310
C=C(C)C=N,Frag_105,-211.042362
C/C=C\N,Frag_106,-172.993766
C=C(N)OC,Frag_107,-248.153425
C=COC,Frag_108,-192.853504
C/C=C(/N)O,Frag_109,-248.174356
C/C=C\O,Frag_110,-192.868362
CC(C)N,Frag_111,-174.185405
C/C=C(/C)N,Frag_112,-212.241373
CCC(C)C,Frag_113,-197.376413
CC1CCC1,Frag_114,-196.170486
CN=[N+](C)[O-],Frag_115,-264.170690
