Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.914580
C=C(C)OC,Frag_2,-232.106483
C=CC,Frag_3,-117.694650
C1=CCCC1,Frag_4,-195.003636
C=C(C)C#N,Frag_5,-209.869689
c1cc[nH]c1,Frag_6,-209.894896
C=C(C)N,Frag_7,-173.000386
C=CN,Frag_8,-133.751321
C=C(C)C(=C)C,Frag_9,-234.233161
c1ccncc1,Frag_10,-247.962424
C=C(C)C(=O)O,Frag_11,-306.141714
C=C(C)C(N)=O,Frag_12,-286.260306
C=C(C)C(C)=O,Frag_13,-270.182761
CC(=O)C(C)=O,Frag_14,-306.131673
CC(C)=O,Frag_15,-192.897181
C1CCCC1,Frag_16,-196.199812
CC(C)C#N,Frag_17,-211.068145
CCC,Frag_18,-118.897037
C1CC1,Frag_19,-117.685125
C=C(C)C1CC1,Frag_20,-234.218231
C=C(C)NC,Frag_21,-212.231084
CNC,Frag_22,-134.931291
COC,Frag_23,-154.803263
C=C(C)CC,Frag_24,-196.183713
NC(N)[N+](=O)[O-],Frag_25,-355.403513
NC(N)N,Frag_26,-206.290238
C1NCNCN1,Frag_27,-283.580560
CN(C)[N+](=O)[O-],Frag_28,-339.323888
CC[N+](=O)[O-],Frag_29,-284.051264
CCCN,Frag_30,-174.185138
CCN,Frag_31,-134.942992
CC(C)[N+](=O)[O-],Frag_32,-323.298021
CO[N+](=O)[O-],Frag_33,-319.945385
CCON,Frag_34,-210.058103
CCCO,Frag_35,-194.062735
CON,Frag_36,-170.814026
CCO,Frag_37,-154.820262
CC(C)ON,Frag_38,-249.309820
c1ccoc1,Frag_39,-229.757362
C=C(O)[N+](=O)[O-],Frag_40,-358.031893
C=CO,Frag_41,-153.624387
C1NCNCNCN1,Frag_42,-378.101487
CCCC,Frag_43,-158.138187
CC(C)(C)[N+](=O)[O-],Frag_44,-362.544178
CCN(C)N,Frag_45,-229.442719
CN(C)N,Frag_46,-190.192948
NC[N+](=O)[O-],Frag_47,-300.104839
NCN,Frag_48,-150.993043
CC(C)(C)CO,Frag_49,-272.552329
CC(C)(C)C,Frag_50,-197.386287
C1CCNCC1,Frag_51,-251.489851
CN(C)N=O,Frag_52,-264.178440
C=C(C)O,Frag_53,-192.878141
C=C(C)[N+](=O)[O-],Frag_54,-322.095325
C=C(C)C,Frag_55,-156.943121
C[N+](=O)[O-],Frag_56,-244.804579
C=C(C)CN,Frag_57,-212.230198
C=C[N+](=O)[O-],Frag_58,-282.844356
CC(O)CO,Frag_59,-269.232487
CC(C)O,Frag_60,-194.068724
CC(N)[N+](=O)[O-],Frag_61,-339.353007
CCC(N)N,Frag_62,-229.483516
CC(N)N,Frag_63,-190.240806
C1CCNC1,Frag_64,-212.240355
CC(N)C(=O)O,Frag_65,-323.386503
COC(C)=O,Frag_66,-268.082454
CC(=O)O,Frag_67,-228.847219
C1CCC1,Frag_68,-156.928848
CC(C)C(=O)O,Frag_69,-307.339219
C1OCOCO1,Frag_70,-343.211904
CC(O)O,Frag_71,-230.002226
OCO,Frag_72,-190.754718
CC(C)=C(C)C,Frag_73,-235.430866
C/N=[N+](/C)[O-],Frag_74,-264.173477
C=C(C)N=N,Frag_75,-227.069172
C=C(C)[N+](=N)[O-],Frag_76,-302.211023
C[N+](=N)[O-],Frag_77,-224.922205
CN=N,Frag_78,-149.769172
CC(=O)N(C)C,Frag_79,-287.442202
CN(C)C,Frag_80,-174.169232
C=CCC,Frag_81,-156.936147
CC=C(C)C,Frag_82,-196.187987
C=NC,Frag_83,-133.740800
CC=N,Frag_84,-133.754777
C=CC(=C)C,Frag_85,-194.982783
C/C=C\C,Frag_86,-156.940281
C=CC=C,Frag_87,-155.740698
C/C(N)=C(\C)N,Frag_88,-267.542326
C=CC(=C)N,Frag_89,-211.044155
C/C=C(\C)N,Frag_90,-212.242960
C/C(O)=C(\C)O,Frag_91,-307.298402
C=CC(=C)O,Frag_92,-230.919648
C=C(N)C(=C)O,Frag_93,-286.222287
C/C=C(\C)O,Frag_94,-232.118795
C=C(N)O,Frag_95,-208.932706
CC(C)=C(C)N,Frag_96,-251.487843
COC(C)O,Frag_97,-269.234824
CN(N)CN,Frag_98,-245.486562
CC(C)C,Frag_99,-158.141384
CNC(C)C,Frag_100,-213.421256
CCNC,Frag_101,-174.176516
CCC(C)N,Frag_102,-213.431500
C/C=N\C,Frag_103,-172.988217
C=CN=C,Frag_104,-171.786072
C=C(C)C=N,Frag_105,-211.045825
C/C=C\N,Frag_106,-172.996298
C=C(N)OC,Frag_107,-248.156943
C=COC,Frag_108,-192.852481
C/C=C(/N)O,Frag_109,-248.177637
C/C=C\O,Frag_110,-192.872157
CC(C)N,Frag_111,-174.189277
C/C=C(/C)N,Frag_112,-212.245438
CCC(C)C,Frag_113,-197.382585
CC1CCC1,Frag_114,-196.175388
CN=[N+](C)[O-],Frag_115,-264.173477
