Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.082641
C=C(C)OC,Frag_2,-232.266782
C=CC,Frag_3,-117.791831
C1=CCCC1,Frag_4,-195.161335
C=C(C)C#N,Frag_5,-210.011270
c1cc[nH]c1,Frag_6,-210.036847
C=C(C)N,Frag_7,-173.130154
C=CN,Frag_8,-133.847122
C=C(C)C(=C)C,Frag_9,-234.420202
c1ccncc1,Frag_10,-248.128913
C=C(C)C(=O)O,Frag_11,-306.324438
C=C(C)C(N)=O,Frag_12,-286.444325
C=C(C)C(C)=O,Frag_13,-270.368554
CC(=O)C(C)=O,Frag_14,-306.317013
CC(C)=O,Frag_15,-193.026871
CCC,Frag_18,-119.005404
C1CC1,Frag_19,-117.782459
C=C(C)NC,Frag_21,-212.393712
CNC,Frag_22,-135.038846
COC,Frag_23,-154.908465
C=C(C)CC,Frag_24,-196.349383
C1NCNCN1,Frag_27,-283.781828
CN(C)[N+](=O)[O-],Frag_28,-339.497578
CC[N+](=O)[O-],Frag_29,-284.196775
CCCN,Frag_30,-174.327961
CCN,Frag_31,-135.051628
CC(C)[N+](=O)[O-],Frag_32,-323.478257
CO[N+](=O)[O-],Frag_33,-320.078798
CCON,Frag_34,-210.193459
CCCO,Frag_35,-194.204972
CON,Frag_36,-170.916940
CCO,Frag_37,-154.928578
CC(C)ON,Frag_38,-249.480243
c1ccoc1,Frag_39,-229.896336
C=C(O)[N+](=O)[O-],Frag_40,-358.192815
C=CO,Frag_41,-153.720034
CCCC,Frag_43,-158.281201
CC(C)(C)[N+](=O)[O-],Frag_44,-362.758921
CCN(C)N,Frag_45,-229.615285
CN(C)N,Frag_46,-190.331815
NC[N+](=O)[O-],Frag_47,-300.249674
NCN,Frag_48,-151.102063
CC(C)(C)CO,Frag_49,-272.764056
CC(C)(C)C,Frag_50,-197.564666
CN(C)N=O,Frag_52,-264.328122
C=C(C)O,Frag_53,-193.006881
C=C(C)[N+](=O)[O-],Frag_54,-322.261825
C=C(C)C,Frag_55,-157.074089
C=C(C)CN,Frag_57,-212.395391
C=C[N+](=O)[O-],Frag_58,-282.978068
CC(O)CO,Frag_59,-269.408991
CC(C)O,Frag_60,-194.210951
C1CCNC1,Frag_64,-212.409258
CC(N)C(=O)O,Frag_65,-323.581936
COC(C)=O,Frag_66,-268.241131
CC(=O)O,Frag_67,-228.974330
CC(O)O,Frag_71,-230.142445
CC(C)=C(C)C,Frag_73,-235.628170
C/N=[N+](/C)[O-],Frag_74,-264.320307
C=C(C)N=N,Frag_75,-227.217674
C=C(C)[N+](=N)[O-],Frag_76,-302.379224
C[N+](=N)[O-],Frag_77,-225.036272
CN=N,Frag_78,-149.860899
CC(=O)N(C)C,Frag_79,-287.635165
CN(C)C,Frag_80,-174.309503
C=CCC,Frag_81,-157.067742
CC=C(C)C,Frag_82,-196.351975
C=NC,Frag_83,-133.836201
CC=N,Frag_84,-133.851677
C=CC(=C)C,Frag_85,-195.140624
C/C=C\C,Frag_86,-157.070260
C=CC=C,Frag_87,-155.859290
C/C(N)=C(\C)N,Frag_88,-267.738000
C=CC(=C)N,Frag_89,-211.194803
C/C=C(\C)N,Frag_90,-212.405480
C=CC(=C)O,Frag_92,-231.068855
C=C(N)C(=C)O,Frag_93,-286.405341
C/C=C(\C)O,Frag_94,-232.280399
C=C(N)O,Frag_95,-209.062840
CC(C)=C(C)N,Frag_96,-251.683889
COC(C)O,Frag_97,-269.403908
CN(N)CN,Frag_98,-245.659867
CC(C)C,Frag_99,-158.284503
CNC(C)C,Frag_100,-213.597380
CCNC,Frag_101,-174.316520
CCC(C)N,Frag_102,-213.608868
C/C=N\C,Frag_103,-173.116612
C=CN=C,Frag_104,-171.905213
C=C(C)C=N,Frag_105,-211.193236
C/C=C\N,Frag_106,-173.125196
C=C(N)OC,Frag_107,-248.322021
C=COC,Frag_108,-192.982360
C/C=C(/N)O,Frag_109,-248.337963
C/C=C\O,Frag_110,-192.999916
CC(C)N,Frag_111,-174.332380
C/C=C(/C)N,Frag_112,-212.408226
CCC(C)C,Frag_113,-197.560406
C1CNC1,Frag_116,-173.103050
CC(C)(N)[N+](=O)[O-],Frag_117,-378.807005
CN(C)C=O,Frag_118,-248.353994
C1C2CC3CC2CC13,Frag_119,-311.787346
CNC(C)=O,Frag_120,-248.369877
