Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.135228
C=C(C)OC,Frag_2,-232.325000
C=CC,Frag_3,-117.823773
C1=CCCC1,Frag_4,-195.207401
C=C(C)C#N,Frag_5,-210.061104
c1cc[nH]c1,Frag_6,-210.083529
C=C(C)N,Frag_7,-173.171564
C=CN,Frag_8,-133.879110
C=C(C)C(=C)C,Frag_9,-234.478147
c1ccncc1,Frag_10,-248.182326
C=C(C)C(=O)O,Frag_11,-306.395159
C=C(C)C(N)=O,Frag_12,-286.509577
C=C(C)C(C)=O,Frag_13,-270.432717
CC(=O)C(C)=O,Frag_14,-306.387384
CC(C)=O,Frag_15,-193.073763
C1CCCC1,Frag_16,-196.417199
CC(C)C#N,Frag_17,-211.274566
CCC,Frag_18,-119.039161
C1CC1,Frag_19,-117.813670
C=C(C)C1CC1,Frag_20,-234.463793
C=C(C)NC,Frag_21,-212.445330
CNC,Frag_22,-135.072758
COC,Frag_23,-154.948755
C=C(C)CC,Frag_24,-196.399519
NC(N)[N+](=O)[O-],Frag_25,-355.653570
NC(N)N,Frag_26,-206.474812
C1NCNCN1,Frag_27,-283.840279
CN(C)[N+](=O)[O-],Frag_28,-339.571433
CC[N+](=O)[O-],Frag_29,-284.258868
CCCN,Frag_30,-174.370351
CCN,Frag_31,-135.084648
CC(C)[N+](=O)[O-],Frag_32,-323.549745
CO[N+](=O)[O-],Frag_33,-320.149633
CCON,Frag_34,-210.242674
CCCO,Frag_35,-194.252152
CON,Frag_36,-170.956217
CCO,Frag_37,-154.966218
CC(C)ON,Frag_38,-249.538426
c1ccoc1,Frag_39,-229.949614
C=C(O)[N+](=O)[O-],Frag_40,-358.269396
C=CO,Frag_41,-153.756696
C1NCNCNCN1,Frag_42,-378.448164
CCCC,Frag_43,-158.323830
CC(C)(C)[N+](=O)[O-],Frag_44,-362.839455
CCN(C)N,Frag_45,-229.668650
CN(C)N,Frag_46,-190.375272
NC[N+](=O)[O-],Frag_47,-300.311903
NCN,Frag_48,-151.134398
CC(C)(C)CO,Frag_49,-272.829424
CC(C)(C)C,Frag_50,-197.615908
C1CCNCC1,Frag_51,-251.750905
CN(C)N=O,Frag_52,-264.385509
C=C(C)O,Frag_53,-193.053571
C=C(C)[N+](=O)[O-],Frag_54,-322.332256
C=C(C)C,Frag_55,-157.115271
C[N+](=O)[O-],Frag_56,-244.969570
C=C(C)CN,Frag_57,-212.445289
C=C[N+](=O)[O-],Frag_58,-283.038874
CC(O)CO,Frag_59,-269.469624
CC(C)O,Frag_60,-194.258140
CC(N)[N+](=O)[O-],Frag_61,-339.603668
CCC(N)N,Frag_62,-229.712049
CC(N)N,Frag_63,-190.425863
C1CCNC1,Frag_64,-212.456786
CC(N)C(=O)O,Frag_65,-323.653795
COC(C)=O,Frag_66,-268.306012
CC(=O)O,Frag_67,-229.027542
C1CCC1,Frag_68,-157.102033
CC(C)C(=O)O,Frag_69,-307.606950
C1OCOCO1,Frag_70,-343.483369
CC(O)O,Frag_71,-230.194643
OCO,Frag_72,-190.905011
CC(C)=C(C)C,Frag_73,-235.687536
C/N=[N+](/C)[O-],Frag_74,-264.377542
C=C(C)N=N,Frag_75,-227.266442
C=C(C)[N+](=N)[O-],Frag_76,-302.443631
C[N+](=N)[O-],Frag_77,-225.082809
CN=N,Frag_78,-149.893041
CC(=O)N(C)C,Frag_79,-287.703681
CN(C)C,Frag_80,-174.353687
C=CCC,Frag_81,-157.108807
CC=C(C)C,Frag_82,-196.402690
C=NC,Frag_83,-133.868607
CC=N,Frag_84,-133.883125
C=CC(=C)C,Frag_85,-195.184976
C/C=C\C,Frag_86,-157.111844
C=CC=C,Frag_87,-155.898457
C/C(N)=C(\C)N,Frag_88,-267.797735
C=CC(=C)N,Frag_89,-211.243920
C/C=C(\C)N,Frag_90,-212.456633
C/C(O)=C(\C)O,Frag_91,-307.562429
C=CC(=C)O,Frag_92,-231.123124
C=C(N)C(=C)O,Frag_93,-286.468786
C/C=C(\C)O,Frag_94,-232.336670
C=C(N)O,Frag_95,-209.107686
CC(C)=C(C)N,Frag_96,-251.744038
COC(C)O,Frag_97,-269.470875
CN(N)CN,Frag_98,-245.712399
CC(C)C,Frag_99,-158.327253
CNC(C)C,Frag_100,-213.649904
CCNC,Frag_101,-174.361298
CCC(C)N,Frag_102,-213.660273
C/C=N\C,Frag_103,-173.158006
C=CN=C,Frag_104,-171.943549
C=C(C)C=N,Frag_105,-211.246442
C/C=C\N,Frag_106,-173.166581
C=C(N)OC,Frag_107,-248.380833
C=COC,Frag_108,-193.027538
C/C=C(/N)O,Frag_109,-248.394750
C/C=C\O,Frag_110,-193.046731
CC(C)N,Frag_111,-174.374627
C/C=C(/C)N,Frag_112,-212.459048
CCC(C)C,Frag_113,-197.612060
CC1CCC1,Frag_114,-196.392375
CN=[N+](C)[O-],Frag_115,-264.377542
