LogFile,HOF_Raw,HOF_Correct
B3LYP6-31Gdp.10.log,34.53,31.22
B3LYP6-31Gdp.ACOWIY.log,103.17,61.48
B3LYP6-31Gdp.ACOWOE.log,-47.21,-98.19
B3LYP6-31Gdp.AFAZUD.log,97.06,-44.95
B3LYP6-31Gdp.AFEXEP.log,-143.25,-170.35
B3LYP6-31Gdp.AFOVUP.log,68.15,47.0
B3LYP6-31Gdp.AMNPHA.log,-96.63,-138.99
B3LYP6-31Gdp.AMNTPY.log,87.32,67.81
B3LYP6-31Gdp.ARIFUD.log,-120.3,-149.55
B3LYP6-31Gdp.BABBUB.log,85.56,61.54
B3LYP6-31Gdp.BANFIG.log,17.09,-18.37
B3LYP6-31Gdp.BAZPIC.log,83.14,50.05
B3LYP6-31Gdp.BAZPOI.log,60.08,27.0
B3LYP6-31Gdp.BAZPUO.log,-56.55,-80.16
B3LYP6-31Gdp.BUGKIY.log,251.14,238.0
B3LYP6-31Gdp.BUXJAH.log,432.54,362.65
B3LYP6-31Gdp.CASBOQ01.log,562.63,570.73
B3LYP6-31Gdp.CASYIG01.log,-276.02,-339.2
B3LYP6-31Gdp.CEDZUG.log,616.65,365.52
B3LYP6-31Gdp.CIFROY.log,207.0,196.7
B3LYP6-31Gdp.CIJYIE.log,245.45,220.73
B3LYP6-31Gdp.CIWMAW01.log,99.52,80.06
B3LYP6-31Gdp.CIWMEA10.log,124.8,91.48
B3LYP6-31Gdp.CUZDEG.log,44.43,3.78
B3LYP6-31Gdp.CUZMOZ.log,152.56,151.84
B3LYP6-31Gdp.CUZMUF.log,144.9,149.02
B3LYP6-31Gdp.DAFBOB.log,-2.22,-27.96
B3LYP6-31Gdp.DATGEL.log,2.59,-38.48
B3LYP6-31Gdp.DELPEQ.log,159.69,139.98
B3LYP6-31Gdp.DIDHIJ.log,-174.55,-259.62
B3LYP6-31Gdp.DIMNAN03.log,68.15,47.0
B3LYP6-31Gdp.DIXDUJ.log,-122.6,-149.34
B3LYP6-31Gdp.DMNPYO.log,60.9,32.0
B3LYP6-31Gdp.DNBENZ10.log,66.98,35.69
B3LYP6-31Gdp.DNCOOC.log,297.7,263.1
B3LYP6-31Gdp.DNITPY.log,135.31,113.15
B3LYP6-31Gdp.DNOPHL03.log,-75.93,-122.44
B3LYP6-31Gdp.DNPHOL.log,-94.39,-136.21
B3LYP6-31Gdp.DNPIMZ.log,128.23,131.46
B3LYP6-31Gdp.DUJQOP.log,-302.84,-357.79
B3LYP6-31Gdp.DUMPEG.log,-258.45,-290.09
B3LYP6-31Gdp.ECIBIB01.log,136.3,131.36
B3LYP6-31Gdp.EKELAH.log,175.41,164.96
B3LYP6-31Gdp.ELOXOS.log,-78.99,-103.59
B3LYP6-31Gdp.ERIWIL.log,-138.52,-172.96
B3LYP6-31Gdp.ERUDAX.log,-293.04,-331.43
B3LYP6-31Gdp.ESIRIJ.log,265.95,217.5
B3LYP6-31Gdp.EVIXEM.log,-13.99,-39.56
B3LYP6-31Gdp.EWEVIM02.log,-294.13,-347.21
B3LYP6-31Gdp.EWUKAI.log,-126.79,-108.36
B3LYP6-31Gdp.EWUKIQ01.log,161.05,145.11
B3LYP6-31Gdp.EZESUY.log,302.91,256.12
B3LYP6-31Gdp.FESNEW16.log,-67.31,-101.06
B3LYP6-31Gdp.FESNIA01.log,-33.36,-64.31
B3LYP6-31Gdp.FEXBUF.log,63.12,39.04
B3LYP6-31Gdp.FICDOK.log,-33.14,-42.93
B3LYP6-31Gdp.FOHMUK.log,26.77,-18.96
B3LYP6-31Gdp.FUHSEG.log,315.1,267.31
B3LYP6-31Gdp.FUXNAN.log,62.92,42.9
B3LYP6-31Gdp.GADFID.log,142.41,140.39
B3LYP6-31Gdp.GARBUY.log,-307.22,-363.59
B3LYP6-31Gdp.GEDYEU.log,469.84,474.5
B3LYP6-31Gdp.GIZSOX.log,-3.82,-65.49
B3LYP6-31Gdp.GULGAV.log,160.27,152.54
B3LYP6-31Gdp.HABMAZ.log,132.96,108.99
B3LYP6-31Gdp.HABMED.log,130.16,114.5
B3LYP6-31Gdp.HACVAL.log,62.84,-16.45
B3LYP6-31Gdp.HAWSOO.log,49.22,7.74
B3LYP6-31Gdp.HEHTUJ.log,121.19,113.38
B3LYP6-31Gdp.HEHVAR.log,119.24,111.27
B3LYP6-31Gdp.HNIMOZ.log,36.22,7.64
B3LYP6-31Gdp.HOFDOV01.log,178.2,170.18
B3LYP6-31Gdp.IDEHAD.log,-82.26,-106.5
B3LYP6-31Gdp.IJIVEC.log,172.18,151.57
B3LYP6-31Gdp.IJIVIG.log,189.96,180.5
B3LYP6-31Gdp.IMIVOP.log,220.11,201.26
B3LYP6-31Gdp.INEZUY.log,333.16,338.29
B3LYP6-31Gdp.ISAJAN.log,281.81,247.53
B3LYP6-31Gdp.ISAJER.log,244.5,213.25
B3LYP6-31Gdp.ISAYAC02.log,64.07,20.15
B3LYP6-31Gdp.IVEREH.log,-82.41,-108.59
B3LYP6-31Gdp.JABLUW01.log,622.75,650.51
B3LYP6-31Gdp.JABMAD01.log,641.5,666.14
B3LYP6-31Gdp.JACYOB.log,-93.73,-131.71
B3LYP6-31Gdp.JEDSUG.log,-25.82,-8.43
B3LYP6-31Gdp.JEJZAA.log,184.51,170.73
B3LYP6-31Gdp.JERVUY.log,-54.41,-83.13
B3LYP6-31Gdp.JILKEU.log,468.31,311.27
B3LYP6-31Gdp.JIZJIL.log,65.28,58.1
B3LYP6-31Gdp.JOHBUD01.log,162.23,57.49
B3LYP6-31Gdp.JOLNED.log,281.76,277.64
B3LYP6-31Gdp.JOWWIB.log,195.07,175.61
B3LYP6-31Gdp.JUMFAA.log,-97.85,-149.78
B3LYP6-31Gdp.KAHHUY.log,190.07,171.31
B3LYP6-31Gdp.KAJFAD.log,56.54,33.55
B3LYP6-31Gdp.KASBAH.log,340.43,319.95
B3LYP6-31Gdp.KAVFUI01.log,217.04,227.64
B3LYP6-31Gdp.KAXLOK.log,-165.97,-195.18
B3LYP6-31Gdp.KAYTUZ.log,82.0,50.24
B3LYP6-31Gdp.KEFYOK.log,30.11,-0.83
B3LYP6-31Gdp.KIBSAS01.log,337.48,324.16
B3LYP6-31Gdp.KIKNEY.log,206.28,206.06
B3LYP6-31Gdp.KOBXOO.log,-8.33,-27.04
B3LYP6-31Gdp.KOFKAR.log,56.94,67.37
B3LYP6-31Gdp.KOFKEV.log,41.14,50.82
B3LYP6-31Gdp.KOMHAV.log,123.84,122.74
B3LYP6-31Gdp.KOTSIV.log,-89.23,-118.82
B3LYP6-31Gdp.KOVHAE.log,34.88,15.66
B3LYP6-31Gdp.KOVHIM.log,5.49,-10.12
B3LYP6-31Gdp.LAHCEC.log,-279.24,-325.55
B3LYP6-31Gdp.LEHNIW.log,-282.56,-298.04
B3LYP6-31Gdp.LEKHUE.log,29.53,23.48
B3LYP6-31Gdp.LOJBAN.log,15.3,-3.75
B3LYP6-31Gdp.LOJBER.log,-6.66,-26.46
B3LYP6-31Gdp.LOJKAX.log,209.68,160.16
B3LYP6-31Gdp.LOLFEX.log,-81.0,-95.4
B3LYP6-31Gdp.LORNAI.log,200.07,142.68
B3LYP6-31Gdp.LUHPAF.log,-107.35,-104.64
B3LYP6-31Gdp.MADKOT.log,-89.05,-143.72
B3LYP6-31Gdp.MADKUZ.log,-115.14,-178.96
B3LYP6-31Gdp.MENFXN.log,168.75,173.64
B3LYP6-31Gdp.MENOIM.log,74.52,71.61
