Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.945426
C=C(C)OC,Frag_2,-232.127244
C=CC,Frag_3,-117.709185
C1=CCCC1,Frag_4,-195.024892
C=C(C)C#N,Frag_5,-209.898575
c1cc[nH]c1,Frag_6,-209.915253
C=C(C)N,Frag_7,-173.015669
C=CN,Frag_8,-133.762638
C=C(C)C(=C)C,Frag_9,-234.259832
c1ccncc1,Frag_10,-247.992284
C=C(C)C(=O)O,Frag_11,-306.167643
C=C(C)C(N)=O,Frag_12,-286.284767
C=C(C)C(C)=O,Frag_13,-270.209855
CC(=O)C(C)=O,Frag_14,-306.159630
CC(C)=O,Frag_15,-192.916041
C1CCCC1,Frag_16,-196.219481
CC(C)C#N,Frag_17,-211.096569
CCC,Frag_18,-118.909943
C1CC1,Frag_19,-117.695573
C=C(C)C1CC1,Frag_20,-234.241436
C=C(C)NC,Frag_21,-212.249793
CNC,Frag_22,-134.943447
COC,Frag_23,-154.817006
C=C(C)CC,Frag_24,-196.205532
NC(N)[N+](=O)[O-],Frag_25,-355.408915
NC(N)N,Frag_26,-206.304415
C1NCNCN1,Frag_27,-283.600690
CN(C)[N+](=O)[O-],Frag_28,-339.326961
CC[N+](=O)[O-],Frag_29,-284.056770
CCCN,Frag_30,-174.199826
CCN,Frag_31,-134.954718
CC(C)[N+](=O)[O-],Frag_32,-323.307803
CO[N+](=O)[O-],Frag_33,-319.940970
CCON,Frag_34,-210.067402
CCCO,Frag_35,-194.079352
CON,Frag_36,-170.822112
CCO,Frag_37,-154.833853
CC(C)ON,Frag_38,-249.324861
c1ccoc1,Frag_39,-229.778554
C=C(O)[N+](=O)[O-],Frag_40,-358.036428
C=CO,Frag_41,-153.637186
C1NCNCNCN1,Frag_42,-378.126227
CCCC,Frag_43,-158.154439
CC(C)(C)[N+](=O)[O-],Frag_44,-362.557467
CCN(C)N,Frag_45,-229.458028
CN(C)N,Frag_46,-190.205789
NC[N+](=O)[O-],Frag_47,-300.107787
NCN,Frag_48,-151.004053
CC(C)(C)CO,Frag_49,-272.576345
CC(C)(C)C,Frag_50,-197.407448
C1CCNCC1,Frag_51,-251.512287
CN(C)N=O,Frag_52,-264.185892
C=C(C)O,Frag_53,-192.894575
C=C(C)[N+](=O)[O-],Frag_54,-322.105214
C=C(C)C,Frag_55,-156.961197
C[N+](=O)[O-],Frag_56,-244.807180
C=C(C)CN,Frag_57,-212.250105
C=C[N+](=O)[O-],Frag_58,-282.851507
CC(O)CO,Frag_59,-269.254328
CC(C)O,Frag_60,-194.085746
CC(N)[N+](=O)[O-],Frag_61,-339.360100
CCC(N)N,Frag_62,-229.501596
CC(N)N,Frag_63,-190.256083
C1CCNC1,Frag_64,-212.259051
CC(N)C(=O)O,Frag_65,-323.410170
COC(C)=O,Frag_66,-268.104726
CC(=O)O,Frag_67,-228.864012
C1CCC1,Frag_68,-156.943684
CC(C)C(=O)O,Frag_69,-307.364435
C1OCOCO1,Frag_70,-343.236543
CC(O)O,Frag_71,-230.018568
OCO,Frag_72,-190.768896
CC(C)=C(C)C,Frag_73,-235.454138
C/N=[N+](/C)[O-],Frag_74,-264.181392
C=C(C)N=N,Frag_75,-227.086712
C=C(C)[N+](=N)[O-],Frag_76,-302.220154
C[N+](=N)[O-],Frag_77,-224.924394
CN=N,Frag_78,-149.776549
CC(=O)N(C)C,Frag_79,-287.464996
CN(C)C,Frag_80,-174.185383
C=CCC,Frag_81,-156.954712
CC=C(C)C,Frag_82,-196.208492
C=NC,Frag_83,-133.754679
CC=N,Frag_84,-133.768243
C=CC(=C)C,Frag_85,-195.006441
C/C=C\C,Frag_86,-156.957318
C=CC=C,Frag_87,-155.760309
C/C(N)=C(\C)N,Frag_88,-267.561223
C=CC(=C)N,Frag_89,-211.064094
C/C=C(\C)N,Frag_90,-212.260715
C/C(O)=C(\C)O,Frag_91,-307.319638
C=CC(=C)O,Frag_92,-230.940060
C=C(N)C(=C)O,Frag_93,-286.243786
C/C=C(\C)O,Frag_94,-232.137433
C=C(N)O,Frag_95,-208.946695
CC(C)=C(C)N,Frag_96,-251.508564
COC(C)O,Frag_97,-269.255754
CN(N)CN,Frag_98,-245.501206
CC(C)C,Frag_99,-158.158184
CNC(C)C,Frag_100,-213.440314
CCNC,Frag_101,-174.192319
CCC(C)N,Frag_102,-213.450275
C/C=N\C,Frag_103,-173.004236
C=CN=C,Frag_104,-171.804045
C=C(C)C=N,Frag_105,-211.067069
C/C=C\N,Frag_106,-173.010513
C=C(N)OC,Frag_107,-248.180801
C=COC,Frag_108,-192.869567
C/C=C(/N)O,Frag_109,-248.194135
C/C=C\O,Frag_110,-192.887391
CC(C)N,Frag_111,-174.204961
C/C=C(/C)N,Frag_112,-212.263450
CCC(C)C,Frag_113,-197.402663
CC1CCC1,Frag_114,-196.193808
CN=[N+](C)[O-],Frag_115,-264.181392
C1CNC1,Frag_116,-172.983136
CC(C)(N)[N+](=O)[O-],Frag_117,-378.604884
CN(C)C=O,Frag_118,-248.214377
C1C2CC3CC2CC13,Frag_119,-311.562817
CNC(C)=O,Frag_120,-248.225466
CCC(N)=O,Frag_121,-248.236018
CC(N)=O,Frag_122,-208.990282
C=C(C)N(C)C,Frag_123,-251.488977
CC(=N)N,Frag_124,-189.087068
c1c[nH]cn1,Frag_125,-225.974205
C=C(N)[N+](=O)[O-],Frag_126,-338.157792
CCN(C)C,Frag_127,-213.432073
N=CN,Frag_128,-149.830336
N=C1NCCN1,Frag_129,-282.448410
C=N[N+](=O)[O-],Frag_130,-298.880848
C=N,Frag_131,-94.511010
CC(=O)NN,Frag_132,-264.242363
N=C(N)[N+](=O)[O-],Frag_133,-354.220573
c1cn[nH]c1,Frag_134,-225.957062
c1nnn[nH]1,Frag_135,-258.031529
CC(=N)N(C)N,Frag_136,-283.580334
CNN,Frag_137,-150.966810
C=C1NCCN1,Frag_138,-266.371318
CC(N)O,Frag_139,-210.139652
C12C3C4C1C1C2C3C41,Frag_140,-309.057747
c1nc[nH]n1,Frag_141,-242.018365
C=C(N)C#N,Frag_142,-225.948571
c1cnccn1,Frag_143,-264.035338
CC(=N)[N+](=O)[O-],Frag_144,-338.158214
C=C(N)N,Frag_145,-189.070729
C=C1CCCN1,Frag_146,-250.323500
C=C,Frag_147,-78.457962
C=NNC,Frag_148,-189.027322
CC(C)=NN,Frag_149,-228.293680
C=C(C)NN,Frag_150,-228.272168
C=NN,Frag_151,-149.787291
CC(C)(N)CO,Frag_152,-288.629131
CN(C)C(C)(C)C,Frag_153,-291.923068
[O-][n+]1ccccc1,Frag_154,-323.114283
C1=C\C=C/C=C\C=C/1,Frag_155,-309.181660
CC(C)C(=N)N,Frag_156,-267.578225
C1COC1,Frag_157,-192.861077
C=C(C)N(C)N,Frag_158,-267.511433
O=c1cccc[nH]1,Frag_159,-323.187232
COC(N)=O,Frag_160,-284.171536
CNC(=O)O,Frag_161,-284.166872
NC(=O)O,Frag_162,-244.940415
c1ccc2c(c1)CN2,Frag_163,-325.263997
CNC(=N)N,Frag_164,-244.380706
N=C1NCNCN1,Frag_165,-337.739002
C=C(C)C(C)=N,Frag_166,-250.318985
O=[N+]([O-])C1CC1,Frag_167,-322.092829
C/C=C/N,Frag_168,-173.010348
C=CN(C)C,Frag_169,-212.240917
C1Cn2nnnc2N1,Frag_170,-390.631265
N=C1CCCC1,Frag_171,-250.334369
C=NO,Frag_172,-169.643454
N=c1cccc[nH]1,Frag_173,-303.282912
CN(C)O,Frag_174,-210.070752
CN[N+](=O)[O-],Frag_175,-300.086205
CC(=N)NN,Frag_176,-244.341517
C1CN1,Frag_177,-133.734169
C=C(C)C1CN1,Frag_178,-250.281332
OCC1CN1,Frag_179,-248.154431
