Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.934091
C=C(C)OC,Frag_2,-232.114874
C=CC,Frag_3,-117.702553
C1=CCCC1,Frag_4,-195.017047
C=C(C)C#N,Frag_5,-209.888734
c1cc[nH]c1,Frag_6,-209.902603
C=C(C)N,Frag_7,-173.003958
C=CN,Frag_8,-133.751707
C=C(C)C(=C)C,Frag_9,-234.249184
c1ccncc1,Frag_10,-247.980083
C=C(C)C(=O)O,Frag_11,-306.149384
C=C(C)C(N)=O,Frag_12,-286.266646
C=C(C)C(C)=O,Frag_13,-270.196017
CC(=O)C(C)=O,Frag_14,-306.142205
CC(C)=O,Frag_15,-192.904160
C1CCCC1,Frag_16,-196.214423
CC(C)C#N,Frag_17,-211.087541
CCC,Frag_18,-118.905583
C1CC1,Frag_19,-117.690379
C=C(C)C1CC1,Frag_20,-234.231532
C=C(C)NC,Frag_21,-212.238377
CNC,Frag_22,-134.935495
COC,Frag_23,-154.807325
C=C(C)CC,Frag_24,-196.197175
NC(N)[N+](=O)[O-],Frag_25,-355.384121
NC(N)N,Frag_26,-206.284630
C1NCNCN1,Frag_27,-283.584249
CN(C)[N+](=O)[O-],Frag_28,-339.309403
CC[N+](=O)[O-],Frag_29,-284.040353
CCCN,Frag_30,-174.190218
CCN,Frag_31,-134.945860
CC(C)[N+](=O)[O-],Frag_32,-323.290373
CO[N+](=O)[O-],Frag_33,-319.923647
CCON,Frag_34,-210.054629
CCCO,Frag_35,-194.066865
CON,Frag_36,-170.809029
CCO,Frag_37,-154.821628
CC(C)ON,Frag_38,-249.310102
c1ccoc1,Frag_39,-229.766306
C=C(O)[N+](=O)[O-],Frag_40,-358.015838
C=CO,Frag_41,-153.624157
C1NCNCNCN1,Frag_42,-378.105116
CCCC,Frag_43,-158.149110
CC(C)(C)[N+](=O)[O-],Frag_44,-362.539951
CCN(C)N,Frag_45,-229.445499
CN(C)N,Frag_46,-190.193300
NC[N+](=O)[O-],Frag_47,-300.087511
NCN,Frag_48,-150.990095
CC(C)(C)CO,Frag_49,-272.561989
CC(C)(C)C,Frag_50,-197.400507
C1CCNCC1,Frag_51,-251.502494
CN(C)N=O,Frag_52,-264.171668
C=C(C)O,Frag_53,-192.881328
C=C(C)[N+](=O)[O-],Frag_54,-322.088050
C=C(C)C,Frag_55,-156.953850
C[N+](=O)[O-],Frag_56,-244.790780
C=C(C)CN,Frag_57,-212.237628
C=C[N+](=O)[O-],Frag_58,-282.834063
CC(O)CO,Frag_59,-269.232676
CC(C)O,Frag_60,-194.072776
CC(N)[N+](=O)[O-],Frag_61,-339.339035
CCC(N)N,Frag_62,-229.485984
CC(N)N,Frag_63,-190.240857
C1CCNC1,Frag_64,-212.249660
CC(N)C(=O)O,Frag_65,-323.388107
COC(C)=O,Frag_66,-268.088955
CC(=O)O,Frag_67,-228.847480
C1CCC1,Frag_68,-156.938423
CC(C)C(=O)O,Frag_69,-307.346509
C1OCOCO1,Frag_70,-343.216698
CC(O)O,Frag_71,-229.998888
OCO,Frag_72,-190.749553
CC(C)=C(C)C,Frag_73,-235.445843
