Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.152272
C=C(C)OC,Frag_2,-232.327114
C=CC,Frag_3,-117.831696
C1=CCCC1,Frag_4,-195.216288
C=C(C)C#N,Frag_5,-210.073308
c1cc[nH]c1,Frag_6,-210.088753
C=C(C)N,Frag_7,-173.174169
C=CN,Frag_8,-133.880358
C=C(C)C(=C)C,Frag_9,-234.491163
c1ccncc1,Frag_10,-248.198499
C=C(C)C(=O)O,Frag_11,-306.389422
C=C(C)C(N)=O,Frag_12,-286.508171
C=C(C)C(C)=O,Frag_13,-270.438041
CC(=O)C(C)=O,Frag_14,-306.383088
CC(C)=O,Frag_15,-193.074109
C1CCCC1,Frag_16,-196.423985
CC(C)C#N,Frag_17,-211.283145
CCC,Frag_18,-119.046175
C1CC1,Frag_19,-117.818379
C=C(C)C1CC1,Frag_20,-234.472831
C=C(C)NC,Frag_21,-212.450982
CNC,Frag_22,-135.076057
COC,Frag_23,-154.947804
C=C(C)CC,Frag_24,-196.409383
NC(N)[N+](=O)[O-],Frag_25,-355.633845
NC(N)N,Frag_26,-206.463879
C1NCNCN1,Frag_27,-283.836678
CN(C)[N+](=O)[O-],Frag_28,-339.561576
CC[N+](=O)[O-],Frag_29,-284.249826
CCCN,Frag_30,-174.372020
CCN,Frag_31,-135.085774
CC(C)[N+](=O)[O-],Frag_32,-323.540705
CO[N+](=O)[O-],Frag_33,-320.133044
CCON,Frag_34,-210.238036
CCCO,Frag_35,-194.248290
CON,Frag_36,-170.950832
CCO,Frag_37,-154.961255
CC(C)ON,Frag_38,-249.535424
c1ccoc1,Frag_39,-229.952566
C=C(O)[N+](=O)[O-],Frag_40,-358.253773
C=CO,Frag_41,-153.751672
C1NCNCNCN1,Frag_42,-378.440515
CCCC,Frag_43,-158.331524
CC(C)(C)[N+](=O)[O-],Frag_44,-362.830558
CCN(C)N,Frag_45,-229.669811
CN(C)N,Frag_46,-190.375804
NC[N+](=O)[O-],Frag_47,-300.296715
NCN,Frag_48,-151.129289
CC(C)(C)CO,Frag_49,-272.824311
CC(C)(C)C,Frag_50,-197.622192
C1CCNCC1,Frag_51,-251.754924
CN(C)N=O,Frag_52,-264.384659
C=C(C)O,Frag_53,-193.050927
C=C(C)[N+](=O)[O-],Frag_54,-322.327515
C=C(C)C,Frag_55,-157.124489
C[N+](=O)[O-],Frag_56,-244.958078
C=C(C)CN,Frag_57,-212.449296
C=C[N+](=O)[O-],Frag_58,-283.031931
CC(O)CO,Frag_59,-269.454639
CC(C)O,Frag_60,-194.254102
CC(N)[N+](=O)[O-],Frag_61,-339.589402
CCC(N)N,Frag_62,-229.708278
CC(N)N,Frag_63,-190.421410
C1CCNC1,Frag_64,-212.460300
CC(N)C(=O)O,Frag_65,-323.638354
COC(C)=O,Frag_66,-268.299723
CC(=O)O,Frag_67,-229.014519
C1CCC1,Frag_68,-157.108339
CC(C)C(=O)O,Frag_69,-307.597122
C1OCOCO1,Frag_70,-343.467583
CC(O)O,Frag_71,-230.178848
OCO,Frag_72,-190.887636
CC(C)=C(C)C,Frag_73,-235.699872
C/N=[N+](/C)[O-],Frag_74,-264.377720
C=C(C)N=N,Frag_75,-227.275592
C=C(C)[N+](=N)[O-],Frag_76,-302.443334
C[N+](=N)[O-],Frag_77,-225.077327
CN=N,Frag_78,-149.897265
CC(=O)N(C)C,Frag_79,-287.703442
CN(C)C,Frag_80,-174.359207
C=CCC,Frag_81,-157.117921
CC=C(C)C,Frag_82,-196.413650
C=NC,Frag_83,-133.875964
CC=N,Frag_84,-133.888009
C=CC(=C)C,Frag_85,-195.197350
C/C=C\C,Frag_86,-157.121710
C=CC=C,Frag_87,-155.910753
C/C(N)=C(\C)N,Frag_88,-267.797602
C=CC(=C)N,Frag_89,-211.250728
C/C=C(\C)N,Frag_90,-212.461498
C/C(O)=C(\C)O,Frag_91,-307.541452
C=CC(=C)O,Frag_92,-231.124515
C=C(N)C(=C)O,Frag_93,-286.465388
C/C=C(\C)O,Frag_94,-232.335642
C=C(N)O,Frag_95,-209.098540
CC(C)=C(C)N,Frag_96,-251.749526
COC(C)O,Frag_97,-269.461139
CN(N)CN,Frag_98,-245.706744
CC(C)C,Frag_99,-158.334245
CNC(C)C,Frag_100,-213.654212
CCNC,Frag_101,-174.365806
CCC(C)N,Frag_102,-213.662484
C/C=N\C,Frag_103,-173.167625
C=CN=C,Frag_104,-171.953387
C=C(C)C=N,Frag_105,-211.256304
C/C=C\N,Frag_106,-173.169769
C=C(N)OC,Frag_107,-248.375795
C=COC,Frag_108,-193.031666
C/C=C(/N)O,Frag_109,-248.387843
C/C=C\O,Frag_110,-193.044489
CC(C)N,Frag_111,-174.376021
C/C=C(/C)N,Frag_112,-212.463378
CCC(C)C,Frag_113,-197.619456
CC1CCC1,Frag_114,-196.398908
CN=[N+](C)[O-],Frag_115,-264.377719
C1CNC1,Frag_116,-173.144311
CC(C)(N)[N+](=O)[O-],Frag_117,-378.873385
CN(C)C=O,Frag_118,-248.411987
C1C2CC3CC2CC13,Frag_119,-311.857183
CNC(C)=O,Frag_120,-248.421663
CCC(N)=O,Frag_121,-248.430951
CC(N)=O,Frag_122,-209.143455
C=C(C)N(C)C,Frag_123,-251.730616
CC(=N)N,Frag_124,-189.242595
c1c[nH]cn1,Frag_125,-226.147119
C=C(N)[N+](=O)[O-],Frag_126,-338.376674
CCN(C)C,Frag_127,-213.646453
N=CN,Frag_128,-149.945954
N=C1NCCN1,Frag_129,-282.671674
C=N[N+](=O)[O-],Frag_130,-299.062605
C=N,Frag_131,-94.589609
CC(=O)NN,Frag_132,-264.434999
N=C(N)[N+](=O)[O-],Frag_133,-354.437237
c1cn[nH]c1,Frag_134,-226.130926
c1nnn[nH]1,Frag_135,-258.204573
CC(=N)N(C)N,Frag_136,-283.818433
CNN,Frag_137,-151.091078
C=C1NCCN1,Frag_138,-266.597305
CC(N)O,Frag_139,-210.302610
C12C3C4C1C1C2C3C41,Frag_140,-309.333597
c1nc[nH]n1,Frag_141,-242.191371
C=C(N)C#N,Frag_142,-226.119157
c1cnccn1,Frag_143,-264.240987
CC(=N)[N+](=O)[O-],Frag_144,-338.378182
C=C(N)N,Frag_145,-189.224704
C=C1CCCN1,Frag_146,-250.552522
C=C,Frag_147,-78.538689
C=NNC,Frag_148,-189.188566
CC(C)=NN,Frag_149,-228.494252
C=C(C)NN,Frag_150,-228.470171
C=NN,Frag_151,-149.906168
CC(C)(N)CO,Frag_152,-288.869950
CN(C)C(C)(C)C,Frag_153,-292.216321
[O-][n+]1ccccc1,Frag_154,-323.355923
C1=C\C=C/C=C\C=C/1,Frag_155,-309.455885
CC(C)C(=N)N,Frag_156,-267.814852
C1COC1,Frag_157,-193.021067
C=C(C)N(C)N,Frag_158,-267.750605
O=c1cccc[nH]1,Frag_159,-323.427609
COC(N)=O,Frag_160,-284.361885
CNC(=O)O,Frag_161,-284.355928
NC(=O)O,Frag_162,-245.086878
c1ccc2c(c1)CN2,Frag_163,-325.537512
CNC(=N)N,Frag_164,-244.574191
N=C1NCNCN1,Frag_165,-338.000245
C=C(C)C(C)=N,Frag_166,-250.548558
O=[N+]([O-])C1CC1,Frag_167,-322.314529
C/C=C/N,Frag_168,-173.170442
C=CN(C)C,Frag_169,-212.442101
C1Cn2nnnc2N1,Frag_170,-390.911906
N=C1CCCC1,Frag_171,-250.564091
C=NO,Frag_172,-169.760471
N=c1cccc[nH]1,Frag_173,-303.525581
CN(C)O,Frag_174,-210.240218
CN[N+](=O)[O-],Frag_175,-300.278631
CC(=N)NN,Frag_176,-244.537586
C1CN1,Frag_177,-133.853965
C=C(C)C1CN1,Frag_178,-250.509747
OCC1CN1,Frag_179,-248.348176
CC(C)=N,Frag_180,-173.183492
c1cn2c(n1)OCC2,Frag_181,-378.725200
NN=C(N)N,Frag_182,-260.601627
CN(N)C(=N)N,Frag_183,-299.880802
N=C(N)N,Frag_184,-205.297737
c1cn[nH]n1,Frag_185,-242.171901
NN(N)N,Frag_186,-222.425789
