Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.171094
C=C(C)OC,Frag_2,-232.341584
C=CC,Frag_3,-117.839693
C1=CCCC1,Frag_4,-195.233228
C=C(C)C#N,Frag_5,-210.085612
c1cc[nH]c1,Frag_6,-210.101843
C=C(C)N,Frag_7,-173.185934
C=CN,Frag_8,-133.887191
C=C(C)C(=C)C,Frag_9,-234.513727
c1ccncc1,Frag_10,-248.215576
C=C(C)C(=O)O,Frag_11,-306.404543
C=C(C)C(N)=O,Frag_12,-286.525368
C=C(C)C(C)=O,Frag_13,-270.456656
CC(=O)C(C)=O,Frag_14,-306.397789
CC(C)=O,Frag_15,-193.083944
C1CCCC1,Frag_16,-196.443200
CC(C)C#N,Frag_17,-211.297630
CCC,Frag_18,-119.056012
C1CC1,Frag_19,-117.826122
C=C(C)C1CC1,Frag_20,-234.494184
C=C(C)NC,Frag_21,-212.467813
CNC,Frag_22,-135.084547
COC,Frag_23,-154.954535
C=C(C)CC,Frag_24,-196.427777
NC(N)[N+](=O)[O-],Frag_25,-355.646983
NC(N)N,Frag_26,-206.475078
C1NCNCN1,Frag_27,-283.857676
CN(C)[N+](=O)[O-],Frag_28,-339.575820
CC[N+](=O)[O-],Frag_29,-284.260216
CCCN,Frag_30,-174.385741
CCN,Frag_31,-135.094445
CC(C)[N+](=O)[O-],Frag_32,-323.556729
CO[N+](=O)[O-],Frag_33,-320.140229
CCON,Frag_34,-210.248410
CCCO,Frag_35,-194.260158
CON,Frag_36,-170.956333
CCO,Frag_37,-154.968338
CC(C)ON,Frag_38,-249.550425
c1ccoc1,Frag_39,-229.963599
C=C(O)[N+](=O)[O-],Frag_40,-358.264419
C=CO,Frag_41,-153.756989
C1NCNCNCN1,Frag_42,-378.472064
CCCC,Frag_43,-158.346433
CC(C)(C)[N+](=O)[O-],Frag_44,-362.853242
CCN(C)N,Frag_45,-229.687130
CN(C)N,Frag_46,-190.388144
NC[N+](=O)[O-],Frag_47,-300.305910
NCN,Frag_48,-151.136707
CC(C)(C)CO,Frag_49,-272.848797
CC(C)(C)C,Frag_50,-197.644145
C1CCNCC1,Frag_51,-251.779038
CN(C)N=O,Frag_52,-264.396680
C=C(C)O,Frag_53,-193.060858
C=C(C)[N+](=O)[O-],Frag_54,-322.341277
C=C(C)C,Frag_55,-157.137588
C[N+](=O)[O-],Frag_56,-244.963914
C=C(C)CN,Frag_57,-212.466447
C=C[N+](=O)[O-],Frag_58,-283.040497
CC(O)CO,Frag_59,-269.468476
CC(C)O,Frag_60,-194.266184
CC(N)[N+](=O)[O-],Frag_61,-339.603998
CCC(N)N,Frag_62,-229.725856
CC(N)N,Frag_63,-190.433933
C1CCNC1,Frag_64,-212.477948
CC(N)C(=O)O,Frag_65,-323.654228
COC(C)=O,Frag_66,-268.310655
CC(=O)O,Frag_67,-229.021654
C1CCC1,Frag_68,-157.121503
CC(C)C(=O)O,Frag_69,-307.614561
