Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.188053
C=C(C)OC,Frag_2,-232.360775
C=CC,Frag_3,-117.844700
C1=CCCC1,Frag_4,-195.242899
C=C(C)C#N,Frag_5,-210.103574
c1cc[nH]c1,Frag_6,-210.124149
C=C(C)N,Frag_7,-173.202858
C=CN,Frag_8,-133.903852
C=C(C)C(=C)C,Frag_9,-234.525166
c1ccncc1,Frag_10,-248.237634
C=C(C)C(=O)O,Frag_11,-306.442343
C=C(C)C(N)=O,Frag_12,-286.558407
C=C(C)C(C)=O,Frag_13,-270.479247
CC(=O)C(C)=O,Frag_14,-306.432897
CC(C)=O,Frag_15,-193.102266
CCC,Frag_18,-119.055388
C1CC1,Frag_19,-117.830393
C=C(C)NC,Frag_21,-212.482837
CNC,Frag_22,-135.093260
COC,Frag_23,-154.968549
C=C(C)CC,Frag_24,-196.434166
C1NCNCN1,Frag_27,-283.888385
CN(C)[N+](=O)[O-],Frag_28,-339.622746
CC[N+](=O)[O-],Frag_29,-284.301240
CCCN,Frag_30,-174.397346
CCN,Frag_31,-135.105411
CC(C)[N+](=O)[O-],Frag_32,-323.599542
CO[N+](=O)[O-],Frag_33,-320.193015
CCON,Frag_34,-210.273616
CCCO,Frag_35,-194.279292
CON,Frag_36,-170.981368
CCO,Frag_37,-154.987262
CC(C)ON,Frag_38,-249.576229
c1ccoc1,Frag_39,-229.988541
C=C(O)[N+](=O)[O-],Frag_40,-358.324820
C=CO,Frag_41,-153.780840
CCCC,Frag_43,-158.346843
CC(C)(C)[N+](=O)[O-],Frag_44,-362.894914
CCN(C)N,Frag_45,-229.705858
CN(C)N,Frag_46,-190.406957
NC[N+](=O)[O-],Frag_47,-300.357804
NCN,Frag_48,-151.159694
CC(C)(C)CO,Frag_49,-272.869583
CC(C)(C)C,Frag_50,-197.646039
CN(C)N=O,Frag_52,-264.429057
C=C(C)O,Frag_53,-193.083641
C=C(C)[N+](=O)[O-],Frag_54,-322.385845
C=C(C)C,Frag_55,-157.143100
C=C(C)CN,Frag_57,-212.484003
C=C[N+](=O)[O-],Frag_58,-283.085818
CC(O)CO,Frag_59,-269.507839
CC(C)O,Frag_60,-194.285241
C1CCNC1,Frag_64,-212.492235
CC(N)C(=O)O,Frag_65,-323.700005
COC(C)=O,Frag_66,-268.341042
CC(=O)O,Frag_67,-229.056802
CC(O)O,Frag_71,-230.224836
CC(C)=C(C)C,Frag_73,-235.729671
C/N=[N+](/C)[O-],Frag_74,-264.422570
C=C(C)N=N,Frag_75,-227.313600
C=C(C)[N+](=N)[O-],Frag_76,-302.500501
C[N+](=N)[O-],Frag_77,-225.122388
CN=N,Frag_78,-149.921757
CC(=O)N(C)C,Frag_79,-287.747299
CN(C)C,Frag_80,-174.380463
C=CCC,Frag_81,-157.136465
CC=C(C)C,Frag_82,-196.436953
C=NC,Frag_83,-133.893189
CC=N,Frag_84,-133.907786
C=CC(=C)C,Frag_85,-195.229706
C/C=C\C,Frag_86,-157.139297
C=CC=C,Frag_87,-155.932385
C/C(N)=C(\C)N,Frag_88,-267.846543
C=CC(=C)N,Frag_89,-211.287899
C/C=C(\C)N,Frag_90,-212.494342
C=CC(=C)O,Frag_92,-231.166249
C=C(N)C(=C)O,Frag_93,-286.521815
C/C=C(\C)O,Frag_94,-232.373375
C=C(N)O,Frag_95,-209.142853
CC(C)=C(C)N,Frag_96,-251.788998
COC(C)O,Frag_97,-269.503533
CN(N)CN,Frag_98,-245.754090
CC(C)C,Frag_99,-158.350216
CNC(C)C,Frag_100,-213.683132
CCNC,Frag_101,-174.386522
CCC(C)N,Frag_102,-213.693957
C/C=N\C,Frag_103,-173.189404
C=CN=C,Frag_104,-171.982037
C=C(C)C=N,Frag_105,-211.284696
C/C=C\N,Frag_106,-173.197964
C=C(N)OC,Frag_107,-248.419336
C=COC,Frag_108,-193.060387
C/C=C(/N)O,Frag_109,-248.434390
C/C=C\O,Frag_110,-193.076888
CC(C)N,Frag_111,-174.401889
C/C=C(/C)N,Frag_112,-212.496959
CCC(C)C,Frag_113,-197.641706
C1CNC1,Frag_116,-173.169181
CC(C)(N)[N+](=O)[O-],Frag_117,-378.946711
CN(C)C=O,Frag_118,-248.450219
C1C2CC3CC2CC13,Frag_119,-311.906676
CNC(C)=O,Frag_120,-248.465155
CCC(N)=O,Frag_121,-248.473225
CC(N)=O,Frag_122,-209.180940
C=C(C)N(C)C,Frag_123,-251.767750
CC(=N)N,Frag_124,-189.276016
c1c[nH]cn1,Frag_125,-226.185707
C=C(N)[N+](=O)[O-],Frag_126,-338.443924
CCN(C)C,Frag_127,-213.673915
N=CN,Frag_128,-149.978134
N=C1NCCN1,Frag_129,-282.723817
C=N[N+](=O)[O-],Frag_130,-299.119393
C=N,Frag_131,-94.604868
CC(=O)NN,Frag_132,-264.490497
N=C(N)[N+](=O)[O-],Frag_133,-354.509876
c1cn[nH]c1,Frag_134,-226.169498
c1nnn[nH]1,Frag_135,-258.251823
CC(=N)N(C)N,Frag_136,-283.873766
CNN,Frag_137,-151.123498
C=C1NCCN1,Frag_138,-266.643809
CC(N)O,Frag_139,-210.338328
C12C3C4C1C1C2C3C41,Frag_140,-309.379772
