Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.176173
C=C(C)OC,Frag_2,-232.340989
C=CC,Frag_3,-117.835549
C1=CCCC1,Frag_4,-195.230315
C=C(C)C#N,Frag_5,-210.089546
c1cc[nH]c1,Frag_6,-210.108996
C=C(C)N,Frag_7,-173.183742
C=CN,Frag_8,-133.887249
C=C(C)C(=C)C,Frag_9,-234.508737
c1ccncc1,Frag_10,-248.222911
C=C(C)C(=O)O,Frag_11,-306.415877
C=C(C)C(N)=O,Frag_12,-286.531332
C=C(C)C(C)=O,Frag_13,-270.459021
CC(=O)C(C)=O,Frag_14,-306.408362
CC(C)=O,Frag_15,-193.084897
C1CCCC1,Frag_16,-196.435777
CC(C)C#N,Frag_17,-211.296423
CCC,Frag_18,-119.045802
C1CC1,Frag_19,-117.820717
C=C(C)C1CC1,Frag_20,-234.488583
C=C(C)NC,Frag_21,-212.463619
CNC,Frag_22,-135.078012
COC,Frag_23,-154.951981
C=C(C)CC,Frag_24,-196.419428
NC(N)[N+](=O)[O-],Frag_25,-355.666051
NC(N)N,Frag_26,-206.475671
C1NCNCN1,Frag_27,-283.858282
CN(C)[N+](=O)[O-],Frag_28,-339.590918
CC[N+](=O)[O-],Frag_29,-284.272981
CCCN,Frag_30,-174.377835
CCN,Frag_31,-135.088161
CC(C)[N+](=O)[O-],Frag_32,-323.567683
CO[N+](=O)[O-],Frag_33,-320.161798
CCON,Frag_34,-210.248896
CCCO,Frag_35,-194.256828
CON,Frag_36,-170.958077
CCO,Frag_37,-154.966430
CC(C)ON,Frag_38,-249.548620
c1ccoc1,Frag_39,-229.973674
C=C(O)[N+](=O)[O-],Frag_40,-358.289971
C=CO,Frag_41,-153.761665
C1NCNCNCN1,Frag_42,-378.473554
CCCC,Frag_43,-158.334454
CC(C)(C)[N+](=O)[O-],Frag_44,-362.862289
CCN(C)N,Frag_45,-229.681980
CN(C)N,Frag_46,-190.384288
NC[N+](=O)[O-],Frag_47,-300.322783
NCN,Frag_48,-151.134203
CC(C)(C)CO,Frag_49,-272.841867
CC(C)(C)C,Frag_50,-197.630243
C1CCNCC1,Frag_51,-251.772413
CN(C)N=O,Frag_52,-264.403965
C=C(C)O,Frag_53,-193.063390
C=C(C)[N+](=O)[O-],Frag_54,-322.357231
C=C(C)C,Frag_55,-157.131207
C[N+](=O)[O-],Frag_56,-244.978272
C=C(C)CN,Frag_57,-212.462227
C=C[N+](=O)[O-],Frag_58,-283.058599
CC(O)CO,Frag_59,-269.471506
CC(C)O,Frag_60,-194.262789
CC(N)[N+](=O)[O-],Frag_61,-339.619114
CCC(N)N,Frag_62,-229.720494
CC(N)N,Frag_63,-190.429718
C1CCNC1,Frag_64,-212.472967
CC(N)C(=O)O,Frag_65,-323.664102
COC(C)=O,Frag_66,-268.316653
CC(=O)O,Frag_67,-229.031376
C1CCC1,Frag_68,-157.114536
CC(C)C(=O)O,Frag_69,-307.620418
C1OCOCO1,Frag_70,-343.493699
CC(O)O,Frag_71,-230.192836
OCO,Frag_72,-190.898405
CC(C)=C(C)C,Frag_73,-235.712808
C/N=[N+](/C)[O-],Frag_74,-264.396363
C=C(C)N=N,Frag_75,-227.292562
C=C(C)[N+](=N)[O-],Frag_76,-302.470553
C[N+](=N)[O-],Frag_77,-225.094168
CN=N,Frag_78,-149.905622
CC(=O)N(C)C,Frag_79,-287.722423
CN(C)C,Frag_80,-174.364837
C=CCC,Frag_81,-157.124526
CC=C(C)C,Frag_82,-196.422919
C=NC,Frag_83,-133.880876
CC=N,Frag_84,-133.892972
C=CC(=C)C,Frag_85,-195.210865
C/C=C\C,Frag_86,-157.128037
C=CC=C,Frag_87,-155.921246
C/C(N)=C(\C)N,Frag_88,-267.815946
C=CC(=C)N,Frag_89,-211.267534
C/C=C(\C)N,Frag_90,-212.473493
C/C(O)=C(\C)O,Frag_91,-307.575856
C=CC(=C)O,Frag_92,-231.144324
C=C(N)C(=C)O,Frag_93,-286.491263
C/C=C(\C)O,Frag_94,-232.350567
C=C(N)O,Frag_95,-209.113764
CC(C)=C(C)N,Frag_96,-251.765194
COC(C)O,Frag_97,-269.476499
CN(N)CN,Frag_98,-245.721193
CC(C)C,Frag_99,-158.337734
CNC(C)C,Frag_100,-213.663148
CCNC,Frag_101,-174.370544
CCC(C)N,Frag_102,-213.672313
C/C=N\C,Frag_103,-173.174617
C=CN=C,Frag_104,-171.965160
C=C(C)C=N,Frag_105,-211.271308
C/C=C\N,Frag_106,-173.179090
C=C(N)OC,Frag_107,-248.392893
C=COC,Frag_108,-193.039453
C/C=C(/N)O,Frag_109,-248.406110
C/C=C\O,Frag_110,-193.057197
CC(C)N,Frag_111,-174.382117
C/C=C(/C)N,Frag_112,-212.475511
CCC(C)C,Frag_113,-197.626403
CC1CCC1,Frag_114,-196.408619
CN=[N+](C)[O-],Frag_115,-264.396363
