Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.227653
C=C(C)OC,Frag_2,-232.409809
C=CC,Frag_3,-117.872459
C1=CCCC1,Frag_4,-195.277636
C=C(C)C#N,Frag_5,-210.145834
c1cc[nH]c1,Frag_6,-210.161751
C=C(C)N,Frag_7,-173.236959
C=CN,Frag_8,-133.932005
C=C(C)C(=C)C,Frag_9,-234.567397
c1ccncc1,Frag_10,-248.279367
C=C(C)C(=O)O,Frag_11,-306.502913
C=C(C)C(N)=O,Frag_12,-286.611809
C=C(C)C(C)=O,Frag_13,-270.530739
CC(=O)C(C)=O,Frag_14,-306.493584
CC(C)=O,Frag_15,-193.143586
C1CCCC1,Frag_16,-196.482857
CC(C)C#N,Frag_17,-211.353807
CCC,Frag_18,-119.083832
C1CC1,Frag_19,-117.857269
C=C(C)C1CC1,Frag_20,-234.547919
C=C(C)NC,Frag_21,-212.523480
CNC,Frag_22,-135.122624
COC,Frag_23,-155.005251
C=C(C)CC,Frag_24,-196.472478
NC(N)[N+](=O)[O-],Frag_25,-355.772116
NC(N)N,Frag_26,-206.544630
C1NCNCN1,Frag_27,-283.932274
CN(C)[N+](=O)[O-],Frag_28,-339.686988
CC[N+](=O)[O-],Frag_29,-284.356890
CCCN,Frag_30,-174.431368
CCN,Frag_31,-135.133759
CC(C)[N+](=O)[O-],Frag_32,-323.659084
CO[N+](=O)[O-],Frag_33,-320.259061
CCON,Frag_34,-210.316465
CCCO,Frag_35,-194.319278
CON,Frag_36,-171.017720
CCO,Frag_37,-155.021074
CC(C)ON,Frag_38,-249.624818
c1ccoc1,Frag_39,-230.034210
C=C(O)[N+](=O)[O-],Frag_40,-358.393834
C=CO,Frag_41,-153.814625
C1NCNCNCN1,Frag_42,-378.567699
CCCC,Frag_43,-158.380535
CC(C)(C)[N+](=O)[O-],Frag_44,-362.959135
CCN(C)N,Frag_45,-229.748028
CN(C)N,Frag_46,-190.442599
NC[N+](=O)[O-],Frag_47,-300.413939
NCN,Frag_48,-151.187891
CC(C)(C)CO,Frag_49,-272.917636
CC(C)(C)C,Frag_50,-197.682616
C1CCNCC1,Frag_51,-251.832735
CN(C)N=O,Frag_52,-264.478684
C=C(C)O,Frag_53,-193.124299
C=C(C)[N+](=O)[O-],Frag_54,-322.446742
C=C(C)C,Frag_55,-157.176312
C[N+](=O)[O-],Frag_56,-245.054472
C=C(C)CN,Frag_57,-212.522772
C=C[N+](=O)[O-],Frag_58,-283.140889
CC(O)CO,Frag_59,-269.559272
CC(C)O,Frag_60,-194.324979
CC(N)[N+](=O)[O-],Frag_61,-339.717635
CCC(N)N,Frag_62,-229.789553
CC(N)N,Frag_63,-190.491320
C1CCNC1,Frag_64,-212.527841
CC(N)C(=O)O,Frag_65,-323.760972
COC(C)=O,Frag_66,-268.399338
CC(=O)O,Frag_67,-229.105725
C1CCC1,Frag_68,-157.155919
CC(C)C(=O)O,Frag_69,-307.709475
C1OCOCO1,Frag_70,-343.595809
CC(O)O,Frag_71,-230.271308
OCO,Frag_72,-190.968965
CC(C)=C(C)C,Frag_73,-235.773211
C/N=[N+](/C)[O-],Frag_74,-264.472824
C=C(C)N=N,Frag_75,-227.353998
C=C(C)[N+](=N)[O-],Frag_76,-302.554004
C[N+](=N)[O-],Frag_77,-225.164319
CN=N,Frag_78,-149.950931
CC(=O)N(C)C,Frag_79,-287.802947
CN(C)C,Frag_80,-174.416049
C=CCC,Frag_81,-157.170135
CC=C(C)C,Frag_82,-196.476218
C=NC,Frag_83,-133.922368
CC=N,Frag_84,-133.936000
C=CC(=C)C,Frag_85,-195.262812
C/C=C\C,Frag_86,-157.173445
C=CC=C,Frag_87,-155.965376
C/C(N)=C(\C)N,Frag_88,-267.892135
C=CC(=C)N,Frag_89,-211.327068
C/C=C(\C)N,Frag_90,-212.534642
C/C(O)=C(\C)O,Frag_91,-307.668328
C=CC(=C)O,Frag_92,-231.211865
C=C(N)C(=C)O,Frag_93,-286.573202
C/C=C(\C)O,Frag_94,-232.420111
C=C(N)O,Frag_95,-209.184420
CC(C)=C(C)N,Frag_96,-251.833635
COC(C)O,Frag_97,-269.562248
CN(N)CN,Frag_98,-245.796241
CC(C)C,Frag_99,-158.383339
CNC(C)C,Frag_100,-213.723425
CCNC,Frag_101,-174.423985
CCC(C)N,Frag_102,-213.733171
C/C=N\C,Frag_103,-173.224413
C=CN=C,Frag_104,-172.013761
C=C(C)C=N,Frag_105,-211.328648
C/C=C\N,Frag_106,-173.232383
C=C(N)OC,Frag_107,-248.464338
C=COC,Frag_108,-193.103165
C/C=C(/N)O,Frag_109,-248.482598
C/C=C\O,Frag_110,-193.116726
CC(C)N,Frag_111,-174.435464
C/C=C(/C)N,Frag_112,-212.537055
CCC(C)C,Frag_113,-197.679861
CC1CCC1,Frag_114,-196.457786
CN=[N+](C)[O-],Frag_115,-264.472824
