Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.246548
C=C(C)OC,Frag_2,-232.424326
C=CC,Frag_3,-117.880489
C1=CCCC1,Frag_4,-195.294632
C=C(C)C#N,Frag_5,-210.158200
c1cc[nH]c1,Frag_6,-210.174853
C=C(C)N,Frag_7,-173.248766
C=CN,Frag_8,-133.938855
C=C(C)C(=C)C,Frag_9,-234.590096
c1ccncc1,Frag_10,-248.296497
C=C(C)C(=O)O,Frag_11,-306.518097
C=C(C)C(N)=O,Frag_12,-286.629079
C=C(C)C(C)=O,Frag_13,-270.549436
CC(=O)C(C)=O,Frag_14,-306.508329
CC(C)=O,Frag_15,-193.154404
C1CCCC1,Frag_16,-196.503090
CC(C)C#N,Frag_17,-211.368367
CCC,Frag_18,-119.093710
C1CC1,Frag_19,-117.865041
C=C(C)C1CC1,Frag_20,-234.569370
C=C(C)NC,Frag_21,-212.540376
CNC,Frag_22,-135.131138
COC,Frag_23,-155.011999
C=C(C)CC,Frag_24,-196.490954
NC(N)[N+](=O)[O-],Frag_25,-355.785250
NC(N)N,Frag_26,-206.555823
C1NCNCN1,Frag_27,-283.953265
CN(C)[N+](=O)[O-],Frag_28,-339.701263
CC[N+](=O)[O-],Frag_29,-284.367301
CCCN,Frag_30,-174.445116
CCN,Frag_31,-135.142440
CC(C)[N+](=O)[O-],Frag_32,-323.675144
CO[N+](=O)[O-],Frag_33,-320.266253
CCON,Frag_34,-210.326853
CCCO,Frag_35,-194.331150
CON,Frag_36,-171.023227
CCO,Frag_37,-155.028179
CC(C)ON,Frag_38,-249.639860
c1ccoc1,Frag_39,-230.045267
C=C(O)[N+](=O)[O-],Frag_40,-358.404498
C=CO,Frag_41,-153.819959
C1NCNCNCN1,Frag_42,-378.599283
CCCC,Frag_43,-158.395500
CC(C)(C)[N+](=O)[O-],Frag_44,-362.981913
CCN(C)N,Frag_45,-229.765383
CN(C)N,Frag_46,-190.454971
NC[N+](=O)[O-],Frag_47,-300.423125
NCN,Frag_48,-151.195310
CC(C)(C)CO,Frag_49,-272.942205
CC(C)(C)C,Frag_50,-197.704629
C1CCNCC1,Frag_51,-251.856929
CN(C)N=O,Frag_52,-264.490746
C=C(C)O,Frag_53,-193.134264
C=C(C)[N+](=O)[O-],Frag_54,-322.460539
C=C(C)C,Frag_55,-157.189473
C[N+](=O)[O-],Frag_56,-245.060326
C=C(C)CN,Frag_57,-212.539979
C=C[N+](=O)[O-],Frag_58,-283.149473
CC(O)CO,Frag_59,-269.573132
CC(C)O,Frag_60,-194.337090
CC(N)[N+](=O)[O-],Frag_61,-339.732251
CCC(N)N,Frag_62,-229.807156
CC(N)N,Frag_63,-190.503874
C1CCNC1,Frag_64,-212.545542
CC(N)C(=O)O,Frag_65,-323.776884
COC(C)=O,Frag_66,-268.410290
CC(=O)O,Frag_67,-229.112882
C1CCC1,Frag_68,-157.169133
CC(C)C(=O)O,Frag_69,-307.726983
C1OCOCO1,Frag_70,-343.609889
CC(O)O,Frag_71,-230.280384
OCO,Frag_72,-190.973526
CC(C)=C(C)C,Frag_73,-235.797371
C/N=[N+](/C)[O-],Frag_74,-264.484292
C=C(C)N=N,Frag_75,-227.367228
C=C(C)[N+](=N)[O-],Frag_76,-302.569889
C[N+](=N)[O-],Frag_77,-225.171732
CN=N,Frag_78,-149.956555
CC(=O)N(C)C,Frag_79,-287.821947
CN(C)C,Frag_80,-174.429904
C=CCC,Frag_81,-157.182809
CC=C(C)C,Frag_82,-196.494258
C=NC,Frag_83,-133.929035
CC=N,Frag_84,-133.942721
C=CC(=C)C,Frag_85,-195.279207
C/C=C\C,Frag_86,-157.186137
C=CC=C,Frag_87,-155.976173
C/C(N)=C(\C)N,Frag_88,-267.913313
C=CC(=C)N,Frag_89,-211.342144
C/C=C(\C)N,Frag_90,-212.551285
C/C(O)=C(\C)O,Frag_91,-307.685311
C=CC(=C)O,Frag_92,-231.225013
C=C(N)C(=C)O,Frag_93,-286.590531
C/C=C(\C)O,Frag_94,-232.434886
C=C(N)O,Frag_95,-209.193156
CC(C)=C(C)N,Frag_96,-251.856342
COC(C)O,Frag_97,-269.575377
CN(N)CN,Frag_98,-245.812035
CC(C)C,Frag_99,-158.398741
CNC(C)C,Frag_100,-213.742418
CCNC,Frag_101,-174.436949
CCC(C)N,Frag_102,-213.752296
C/C=N\C,Frag_103,-173.236324
C=CN=C,Frag_104,-172.023419
C=C(C)C=N,Frag_105,-211.343908
C/C=C\N,Frag_106,-173.243920
C=C(N)OC,Frag_107,-248.482638
C=COC,Frag_108,-193.109676
C/C=C(/N)O,Frag_109,-248.495922
C/C=C\O,Frag_110,-193.127621
CC(C)N,Frag_111,-174.449466
C/C=C(/C)N,Frag_112,-212.553771
CCC(C)C,Frag_113,-197.700596
CC1CCC1,Frag_114,-196.476247
CN=[N+](C)[O-],Frag_115,-264.484292
