Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.978911
C=C(C)OC,Frag_2,-232.147341
C=CC,Frag_3,-117.738877
C1=CCCC1,Frag_4,-195.065251
C=C(C)C#N,Frag_5,-209.910481
c1cc[nH]c1,Frag_6,-209.934146
C=C(C)N,Frag_7,-173.040173
C=CN,Frag_8,-133.777779
C=C(C)C(=C)C,Frag_9,-234.308450
c1ccncc1,Frag_10,-248.011368
C=C(C)C(=O)O,Frag_11,-306.157504
C=C(C)C(N)=O,Frag_12,-286.290442
C=C(C)C(C)=O,Frag_13,-270.229596
CC(=O)C(C)=O,Frag_14,-306.149473
CC(C)=O,Frag_15,-192.923937
C1CCCC1,Frag_16,-196.270018
CC(C)C#N,Frag_17,-211.116551
CCC,Frag_18,-118.949019
C1CC1,Frag_19,-117.726185
C=C(C)C1CC1,Frag_20,-234.291667
C=C(C)NC,Frag_21,-212.286418
CNC,Frag_22,-134.967534
COC,Frag_23,-154.825179
C=C(C)CC,Frag_24,-196.254159
NC(N)[N+](=O)[O-],Frag_25,-355.363389
NC(N)N,Frag_26,-206.302085
C1NCNCN1,Frag_27,-283.617339
CN(C)[N+](=O)[O-],Frag_28,-339.303039
CC[N+](=O)[O-],Frag_29,-284.031754
CCCN,Frag_30,-174.232514
CCN,Frag_31,-134.976850
CC(C)[N+](=O)[O-],Frag_32,-323.291606
CO[N+](=O)[O-],Frag_33,-319.889244
CCON,Frag_34,-210.071166
CCCO,Frag_35,-194.095425
CON,Frag_36,-170.814885
CCO,Frag_37,-154.838876
CC(C)ON,Frag_38,-249.337691
c1ccoc1,Frag_39,-229.781410
C=C(O)[N+](=O)[O-],Frag_40,-357.984656
C=CO,Frag_41,-153.634975
C1NCNCNCN1,Frag_42,-378.151006
CCCC,Frag_43,-158.203566
CC(C)(C)[N+](=O)[O-],Frag_44,-362.550505
CCN(C)N,Frag_45,-229.488130
CN(C)N,Frag_46,-190.223518
NC[N+](=O)[O-],Frag_47,-300.067807
NCN,Frag_48,-151.009121
CC(C)(C)CO,Frag_49,-272.609497
CC(C)(C)C,Frag_50,-197.462699
C1CCNCC1,Frag_51,-251.558431
CN(C)N=O,Frag_52,-264.180157
C=C(C)O,Frag_53,-192.902873
C=C(C)[N+](=O)[O-],Frag_54,-322.081755
C=C(C)C,Frag_55,-157.000291
C[N+](=O)[O-],Frag_56,-244.770701
C=C(C)CN,Frag_57,-212.282540
C=C[N+](=O)[O-],Frag_58,-282.817166
CC(O)CO,Frag_59,-269.246247
CC(C)O,Frag_60,-194.100836
CC(N)[N+](=O)[O-],Frag_61,-339.329679
CCC(N)N,Frag_62,-229.527099
CC(N)N,Frag_63,-190.270369
C1CCNC1,Frag_64,-212.293115
CC(N)C(=O)O,Frag_65,-323.391920
COC(C)=O,Frag_66,-268.093836
CC(=O)O,Frag_67,-228.840714
C1CCC1,Frag_68,-156.984206
CC(C)C(=O)O,Frag_69,-307.361528
C1OCOCO1,Frag_70,-343.205366
CC(O)O,Frag_71,-230.001126
OCO,Frag_72,-190.740439
CC(C)=C(C)C,Frag_73,-235.513323
C/N=[N+](/C)[O-],Frag_74,-264.172115
C=C(C)N=N,Frag_75,-227.097688
C=C(C)[N+](=N)[O-],Frag_76,-302.210773
C[N+](=N)[O-],Frag_77,-224.902936
CN=N,Frag_78,-149.776535
CC(=O)N(C)C,Frag_79,-287.482037
CN(C)C,Frag_80,-174.219974
C=CCC,Frag_81,-156.994052
CC=C(C)C,Frag_82,-196.258430
C=NC,Frag_83,-133.769568
CC=N,Frag_84,-133.782041
C=CC(=C)C,Frag_85,-195.046018
C/C=C\C,Frag_86,-156.998020
C=CC=C,Frag_87,-155.791001
C/C(N)=C(\C)N,Frag_88,-267.590068
C=CC(=C)N,Frag_89,-211.089874
C/C=C(\C)N,Frag_90,-212.296219
C/C(O)=C(\C)O,Frag_91,-307.317575
C=CC(=C)O,Frag_92,-230.949561
C=C(N)C(=C)O,Frag_93,-286.249463
C/C=C(\C)O,Frag_94,-232.156357
C=C(N)O,Frag_95,-208.942638
CC(C)=C(C)N,Frag_96,-251.553031
COC(C)O,Frag_97,-269.252139
CN(N)CN,Frag_98,-245.513820
CC(C)C,Frag_99,-158.206096
CNC(C)C,Frag_100,-213.484004
CCNC,Frag_101,-174.226550
CCC(C)N,Frag_102,-213.492333
C/C=N\C,Frag_103,-173.030020
C=CN=C,Frag_104,-171.820642
C=C(C)C=N,Frag_105,-211.091383
C/C=C\N,Frag_106,-173.036064
C=C(N)OC,Frag_107,-248.186580
C=COC,Frag_108,-192.880151
C/C=C(/N)O,Frag_109,-248.199272
C/C=C\O,Frag_110,-192.896642
CC(C)N,Frag_111,-174.236313
C/C=C(/C)N,Frag_112,-212.298281
CCC(C)C,Frag_113,-197.460415
CC1CCC1,Frag_114,-196.244061
CN=[N+](C)[O-],Frag_115,-264.172115
