Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.997720
C=C(C)OC,Frag_2,-232.161800
C=CC,Frag_3,-117.746874
C1=CCCC1,Frag_4,-195.082190
C=C(C)C#N,Frag_5,-209.922776
c1cc[nH]c1,Frag_6,-209.947238
C=C(C)N,Frag_7,-173.051930
C=CN,Frag_8,-133.784603
C=C(C)C(=C)C,Frag_9,-234.331010
c1ccncc1,Frag_10,-248.028441
C=C(C)C(=O)O,Frag_11,-306.172641
C=C(C)C(N)=O,Frag_12,-286.307647
C=C(C)C(C)=O,Frag_13,-270.248218
CC(=O)C(C)=O,Frag_14,-306.164198
CC(C)=O,Frag_15,-192.934732
C1CCCC1,Frag_16,-196.289233
CC(C)C#N,Frag_17,-211.131035
CCC,Frag_18,-118.958850
C1CC1,Frag_19,-117.733932
C=C(C)C1CC1,Frag_20,-234.312996
C=C(C)NC,Frag_21,-212.303223
CNC,Frag_22,-134.976014
COC,Frag_23,-154.831906
C=C(C)CC,Frag_24,-196.272537
NC(N)[N+](=O)[O-],Frag_25,-355.376540
NC(N)N,Frag_26,-206.313279
C1NCNCN1,Frag_27,-283.638352
CN(C)[N+](=O)[O-],Frag_28,-339.317252
CC[N+](=O)[O-],Frag_29,-284.042155
CCCN,Frag_30,-174.246234
CCN,Frag_31,-134.985524
CC(C)[N+](=O)[O-],Frag_32,-323.307641
CO[N+](=O)[O-],Frag_33,-319.896430
CCON,Frag_34,-210.081538
CCCO,Frag_35,-194.107296
CON,Frag_36,-170.820371
CCO,Frag_37,-154.845968
CC(C)ON,Frag_38,-249.352689
c1ccoc1,Frag_39,-229.792435
C=C(O)[N+](=O)[O-],Frag_40,-357.995311
C=CO,Frag_41,-153.640297
C1NCNCNCN1,Frag_42,-378.182484
CCCC,Frag_43,-158.218458
CC(C)(C)[N+](=O)[O-],Frag_44,-362.573218
CCN(C)N,Frag_45,-229.505418
CN(C)N,Frag_46,-190.235830
NC[N+](=O)[O-],Frag_47,-300.077016
NCN,Frag_48,-151.016533
CC(C)(C)CO,Frag_49,-272.634001
CC(C)(C)C,Frag_50,-197.484734
C1CCNCC1,Frag_51,-251.582533
CN(C)N=O,Frag_52,-264.192193
C=C(C)O,Frag_53,-192.912802
C=C(C)[N+](=O)[O-],Frag_54,-322.095514
C=C(C)C,Frag_55,-157.013372
C[N+](=O)[O-],Frag_56,-244.776546
C=C(C)CN,Frag_57,-212.299694
C=C[N+](=O)[O-],Frag_58,-282.825736
CC(O)CO,Frag_59,-269.260102
CC(C)O,Frag_60,-194.112918
CC(N)[N+](=O)[O-],Frag_61,-339.344281
CCC(N)N,Frag_62,-229.544683
CC(N)N,Frag_63,-190.282894
C1CCNC1,Frag_64,-212.310761
CC(N)C(=O)O,Frag_65,-323.407804
COC(C)=O,Frag_66,-268.104767
CC(=O)O,Frag_67,-228.847862
C1CCC1,Frag_68,-156.997366
CC(C)C(=O)O,Frag_69,-307.378972
C1OCOCO1,Frag_70,-343.219390
CC(O)O,Frag_71,-230.010184
OCO,Frag_72,-190.745006
CC(C)=C(C)C,Frag_73,-235.537343
C/N=[N+](/C)[O-],Frag_74,-264.183571
C=C(C)N=N,Frag_75,-227.110879
C=C(C)[N+](=N)[O-],Frag_76,-302.226613
C[N+](=N)[O-],Frag_77,-224.910347
CN=N,Frag_78,-149.782150
CC(=O)N(C)C,Frag_79,-287.500969
CN(C)C,Frag_80,-174.233742
C=CCC,Frag_81,-157.006658
CC=C(C)C,Frag_82,-196.276370
C=NC,Frag_83,-133.776221
CC=N,Frag_84,-133.788744
C=CC(=C)C,Frag_85,-195.062326
C/C=C\C,Frag_86,-157.010642
C=CC=C,Frag_87,-155.801769
C/C(N)=C(\C)N,Frag_88,-267.611154
C=CC(=C)N,Frag_89,-211.104885
C/C=C(\C)N,Frag_90,-212.312783
C/C(O)=C(\C)O,Frag_91,-307.334500
C=CC(=C)O,Frag_92,-230.962667
C=C(N)C(=C)O,Frag_93,-286.266732
C/C=C(\C)O,Frag_94,-232.171068
C=C(N)O,Frag_95,-208.948732
CC(C)=C(C)N,Frag_96,-251.575609
COC(C)O,Frag_97,-269.265260
CN(N)CN,Frag_98,-245.529548
CC(C)C,Frag_99,-158.221406
CNC(C)C,Frag_100,-213.502900
CCNC,Frag_101,-174.239466
CCC(C)N,Frag_102,-213.511415
C/C=N\C,Frag_103,-173.041210
C=CN=C,Frag_104,-171.830260
C=C(C)C=N,Frag_105,-211.106583
C/C=C\N,Frag_106,-173.047536
C=C(N)OC,Frag_107,-248.199793
C=COC,Frag_108,-192.889160
C/C=C(/N)O,Frag_109,-248.212641
C/C=C\O,Frag_110,-192.906584
CC(C)N,Frag_111,-174.250271
C/C=C(/C)N,Frag_112,-212.314918
CCC(C)C,Frag_113,-197.481052
CC1CCC1,Frag_114,-196.262442
CN=[N+](C)[O-],Frag_115,-264.183568
