Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.231832
C=C(C)OC,Frag_2,-232.414647
C=CC,Frag_3,-117.873242
C1=CCCC1,Frag_4,-195.279925
C=C(C)C#N,Frag_5,-210.150365
c1cc[nH]c1,Frag_6,-210.166234
C=C(C)N,Frag_7,-173.239416
C=CN,Frag_8,-133.934200
C=C(C)C(=C)C,Frag_9,-234.569743
c1ccncc1,Frag_10,-248.285166
C=C(C)C(=O)O,Frag_11,-306.512017
C=C(C)C(N)=O,Frag_12,-286.619362
C=C(C)C(C)=O,Frag_13,-270.536849
CC(=O)C(C)=O,Frag_14,-306.503640
CC(C)=O,Frag_15,-193.148607
C1CCCC1,Frag_16,-196.484319
CC(C)C#N,Frag_17,-211.357694
CCC,Frag_18,-119.083760
C1CC1,Frag_19,-117.858019
C=C(C)C1CC1,Frag_20,-234.550328
C=C(C)NC,Frag_21,-212.526235
CNC,Frag_22,-135.124203
COC,Frag_23,-155.009058
C=C(C)CC,Frag_24,-196.473785
NC(N)[N+](=O)[O-],Frag_25,-355.786104
NC(N)N,Frag_26,-206.548727
C1NCNCN1,Frag_27,-283.938445
CN(C)[N+](=O)[O-],Frag_28,-339.699649
CC[N+](=O)[O-],Frag_29,-284.368075
CCCN,Frag_30,-174.432832
CCN,Frag_31,-135.135047
CC(C)[N+](=O)[O-],Frag_32,-323.670372
CO[N+](=O)[O-],Frag_33,-320.273367
CCON,Frag_34,-210.321162
CCCO,Frag_35,-194.322832
CON,Frag_36,-171.022429
CCO,Frag_37,-155.024609
CC(C)ON,Frag_38,-249.629704
c1ccoc1,Frag_39,-230.040728
C=C(O)[N+](=O)[O-],Frag_40,-358.408521
C=CO,Frag_41,-153.818694
C1NCNCNCN1,Frag_42,-378.575502
CCCC,Frag_43,-158.380727
CC(C)(C)[N+](=O)[O-],Frag_44,-362.970451
CCN(C)N,Frag_45,-229.751009
CN(C)N,Frag_46,-190.445588
NC[N+](=O)[O-],Frag_47,-300.426462
NCN,Frag_48,-151.190771
CC(C)(C)CO,Frag_49,-272.921523
CC(C)(C)C,Frag_50,-197.682967
C1CCNCC1,Frag_51,-251.836018
CN(C)N=O,Frag_52,-264.487380
C=C(C)O,Frag_53,-193.128548
C=C(C)[N+](=O)[O-],Frag_54,-322.458711
C=C(C)C,Frag_55,-157.177366
C[N+](=O)[O-],Frag_56,-245.065669
C=C(C)CN,Frag_57,-212.525330
C=C[N+](=O)[O-],Frag_58,-283.152808
CC(O)CO,Frag_59,-269.566610
CC(C)O,Frag_60,-194.328596
CC(N)[N+](=O)[O-],Frag_61,-339.730231
CCC(N)N,Frag_62,-229.792572
CC(N)N,Frag_63,-190.494431
C1CCNC1,Frag_64,-212.530874
CC(N)C(=O)O,Frag_65,-323.770912
COC(C)=O,Frag_66,-268.408114
CC(=O)O,Frag_67,-229.113899
C1CCC1,Frag_68,-157.156987
CC(C)C(=O)O,Frag_69,-307.718021
C1OCOCO1,Frag_70,-343.608513
CC(O)O,Frag_71,-230.278391
OCO,Frag_72,-190.976119
CC(C)=C(C)C,Frag_73,-235.774669
C/N=[N+](/C)[O-],Frag_74,-264.481522
C=C(C)N=N,Frag_75,-227.359360
C=C(C)[N+](=N)[O-],Frag_76,-302.563449
C[N+](=N)[O-],Frag_77,-225.172934
CN=N,Frag_78,-149.954895
CC(=O)N(C)C,Frag_79,-287.809963
CN(C)C,Frag_80,-174.417914
C=CCC,Frag_81,-157.171200
CC=C(C)C,Frag_82,-196.477460
C=NC,Frag_83,-133.924970
CC=N,Frag_84,-133.938539
C=CC(=C)C,Frag_85,-195.264903
C/C=C\C,Frag_86,-157.174438
C=CC=C,Frag_87,-155.967194
C/C(N)=C(\C)N,Frag_88,-267.896218
C=CC(=C)N,Frag_89,-211.330402
C/C=C(\C)N,Frag_90,-212.537258
C/C(O)=C(\C)O,Frag_91,-307.676421
C=CC(=C)O,Frag_92,-231.216981
C=C(N)C(=C)O,Frag_93,-286.579660
C/C=C(\C)O,Frag_94,-232.424489
C=C(N)O,Frag_95,-209.190016
CC(C)=C(C)N,Frag_96,-251.836502
COC(C)O,Frag_97,-269.569549
CN(N)CN,Frag_98,-245.800771
CC(C)C,Frag_99,-158.383553
CNC(C)C,Frag_100,-213.725306
CCNC,Frag_101,-174.425783
CCC(C)N,Frag_102,-213.734702
C/C=N\C,Frag_103,-173.227888
C=CN=C,Frag_104,-172.017353
C=C(C)C=N,Frag_105,-211.332293
C/C=C\N,Frag_106,-173.234783
C=C(N)OC,Frag_107,-248.470315
C=COC,Frag_108,-193.107763
C/C=C(/N)O,Frag_109,-248.488257
C/C=C\O,Frag_110,-193.120941
CC(C)N,Frag_111,-174.436980
C/C=C(/C)N,Frag_112,-212.539729
CCC(C)C,Frag_113,-197.680329
CC1CCC1,Frag_114,-196.459129
CN=[N+](C)[O-],Frag_115,-264.481522
