Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.061853
C=C(C)OC,Frag_2,-232.237423
C=CC,Frag_3,-117.785467
C1=CCCC1,Frag_4,-195.145733
C=C(C)C#N,Frag_5,-209.986796
c1cc[nH]c1,Frag_6,-210.010975
C=C(C)N,Frag_7,-173.108883
C=CN,Frag_8,-133.828976
C=C(C)C(=C)C,Frag_9,-234.400275
c1ccncc1,Frag_10,-248.101239
C=C(C)C(=O)O,Frag_11,-306.271222
C=C(C)C(N)=O,Frag_12,-286.398315
C=C(C)C(C)=O,Frag_13,-270.332930
CC(=O)C(C)=O,Frag_14,-306.263758
CC(C)=O,Frag_15,-193.000069
C1CCCC1,Frag_16,-196.356160
CC(C)C#N,Frag_17,-211.199855
CCC,Frag_18,-119.002909
C1CC1,Frag_19,-117.777972
C=C(C)C1CC1,Frag_20,-234.387616
C=C(C)NC,Frag_21,-212.370886
CNC,Frag_22,-135.025972
COC,Frag_23,-154.888032
C=C(C)CC,Frag_24,-196.335337
NC(N)[N+](=O)[O-],Frag_25,-355.502901
NC(N)N,Frag_26,-206.389107
C1NCNCN1,Frag_27,-283.735013
CN(C)[N+](=O)[O-],Frag_28,-339.435985
CC[N+](=O)[O-],Frag_29,-284.144306
CCCN,Frag_30,-174.308866
CCN,Frag_31,-135.036527
CC(C)[N+](=O)[O-],Frag_32,-323.421101
CO[N+](=O)[O-],Frag_33,-320.013200
CCON,Frag_34,-210.158657
CCCO,Frag_35,-194.176675
CON,Frag_36,-170.885384
CCO,Frag_37,-154.903650
CC(C)ON,Frag_38,-249.442043
c1ccoc1,Frag_39,-229.864882
C=C(O)[N+](=O)[O-],Frag_40,-358.118322
C=CO,Frag_41,-153.691945
C1NCNCNCN1,Frag_42,-378.303947
CCCC,Frag_43,-158.274315
CC(C)(C)[N+](=O)[O-],Frag_44,-362.697110
CCN(C)N,Frag_45,-229.585360
CN(C)N,Frag_46,-190.304924
NC[N+](=O)[O-],Frag_47,-300.185555
NCN,Frag_48,-151.074251
CC(C)(C)CO,Frag_49,-272.725092
CC(C)(C)C,Frag_50,-197.551212
C1CCNCC1,Frag_51,-251.666127
CN(C)N=O,Frag_52,-264.284870
C=C(C)O,Frag_53,-192.977390
C=C(C)[N+](=O)[O-],Frag_54,-322.204999
C=C(C)C,Frag_55,-157.064399
C[N+](=O)[O-],Frag_56,-244.866523
C=C(C)CN,Frag_57,-212.369331
C=C[N+](=O)[O-],Frag_58,-282.923177
CC(O)CO,Frag_59,-269.354636
CC(C)O,Frag_60,-194.182460
CC(N)[N+](=O)[O-],Frag_61,-339.464135
CCC(N)N,Frag_62,-229.625388
CC(N)N,Frag_63,-190.352427
C1CCNC1,Frag_64,-212.385693
CC(N)C(=O)O,Frag_65,-323.517551
COC(C)=O,Frag_66,-268.196505
CC(=O)O,Frag_67,-228.927585
C1CCC1,Frag_68,-157.054207
CC(C)C(=O)O,Frag_69,-307.482101
C1OCOCO1,Frag_70,-343.338014
CC(O)O,Frag_71,-230.093379
OCO,Frag_72,-190.816360
CC(C)=C(C)C,Frag_73,-235.612564
C/N=[N+](/C)[O-],Frag_74,-264.278312
C=C(C)N=N,Frag_75,-227.186087
C=C(C)[N+](=N)[O-],Frag_76,-302.328112
C[N+](=N)[O-],Frag_77,-224.992611
CN=N,Frag_78,-149.838027
CC(=O)N(C)C,Frag_79,-287.595222
CN(C)C,Frag_80,-174.294280
C=CCC,Frag_81,-157.057701
CC=C(C)C,Frag_82,-196.339983
C=NC,Frag_83,-133.822427
CC=N,Frag_84,-133.835635
C=CC(=C)C,Frag_85,-195.120187
C/C=C\C,Frag_86,-157.061856
C=CC=C,Frag_87,-155.847268
C/C(N)=C(\C)N,Frag_88,-267.699708
C=CC(=C)N,Frag_89,-211.168228
C/C=C(\C)N,Frag_90,-212.382446
C/C(O)=C(\C)O,Frag_91,-307.437773
C=CC(=C)O,Frag_92,-231.033682
C=C(N)C(=C)O,Frag_93,-286.355561
C/C=C(\C)O,Frag_94,-232.248319
C=C(N)O,Frag_95,-209.019779
CC(C)=C(C)N,Frag_96,-251.656818
COC(C)O,Frag_97,-269.359464
CN(N)CN,Frag_98,-245.616482
CC(C)C,Frag_99,-158.277075
CNC(C)C,Frag_100,-213.576285
CCNC,Frag_101,-174.301743
CCC(C)N,Frag_102,-213.585383
C/C=N\C,Frag_103,-173.100657
C=CN=C,Frag_104,-171.883339
C=C(C)C=N,Frag_105,-211.172949
C/C=C\N,Frag_106,-173.104630
C=C(N)OC,Frag_107,-248.281032
C=COC,Frag_108,-192.955840
C/C=C(/N)O,Frag_109,-248.295515
C/C=C\O,Frag_110,-192.971066
CC(C)N,Frag_111,-174.312819
C/C=C(/C)N,Frag_112,-212.384411
CCC(C)C,Frag_113,-197.548339
CC1CCC1,Frag_114,-196.330869
CN=[N+](C)[O-],Frag_115,-264.278312
C1CNC1,Frag_116,-173.083322
CC(C)(N)[N+](=O)[O-],Frag_117,-378.734144
CN(C)C=O,Frag_118,-248.317421
C1C2CC3CC2CC13,Frag_119,-311.756630
CNC(C)=O,Frag_120,-248.332057
CCC(N)=O,Frag_121,-248.338178
CC(N)=O,Frag_122,-209.064674
C=C(C)N(C)C,Frag_123,-251.635912
CC(=N)N,Frag_124,-189.170482
c1c[nH]cn1,Frag_125,-226.062627
C=C(N)[N+](=O)[O-],Frag_126,-338.249292
CCN(C)C,Frag_127,-213.567642
N=CN,Frag_128,-149.890681
N=C1NCCN1,Frag_129,-282.569129
C=N[N+](=O)[O-],Frag_130,-298.946570
C=N,Frag_131,-94.550868
CC(=O)NN,Frag_132,-264.342259
N=C(N)[N+](=O)[O-],Frag_133,-354.304193
c1cn[nH]c1,Frag_134,-226.046853
c1nnn[nH]1,Frag_135,-258.107674
CC(=N)N(C)N,Frag_136,-283.717648
CNN,Frag_137,-151.040590
C=C1NCCN1,Frag_138,-266.500491
CC(N)O,Frag_139,-210.219023
C12C3C4C1C1C2C3C41,Frag_140,-309.236147
c1nc[nH]n1,Frag_141,-242.100678
C=C(N)C#N,Frag_142,-226.027417
c1cnccn1,Frag_143,-264.136805
CC(=N)[N+](=O)[O-],Frag_144,-338.258221
C=C(N)N,Frag_145,-189.154179
C=C1CCCN1,Frag_146,-250.461922
C=C,Frag_147,-78.506209
C=NNC,Frag_148,-189.116027
CC(C)=NN,Frag_149,-228.408769
C=C(C)NN,Frag_150,-228.384960
C=NN,Frag_151,-149.848004
CC(C)(N)CO,Frag_152,-288.763171
CN(C)C(C)(C)C,Frag_153,-292.110166
[O-][n+]1ccccc1,Frag_154,-323.232004
C1=C\C=C/C=C\C=C/1,Frag_155,-309.333803
CC(C)C(=N)N,Frag_156,-267.715587
C1COC1,Frag_157,-192.950448
C=C(C)N(C)N,Frag_158,-267.652728
O=c1cccc[nH]1,Frag_159,-323.303636
COC(N)=O,Frag_160,-284.253923
CNC(=O)O,Frag_161,-284.249153
NC(=O)O,Frag_162,-244.995342
c1ccc2c(c1)CN2,Frag_163,-325.416625
CNC(=N)N,Frag_164,-244.486274
N=C1NCNCN1,Frag_165,-337.867245
C=C(C)C(C)=N,Frag_166,-250.448046
C/C=C/N,Frag_168,-173.105208
C=CN(C)C,Frag_169,-212.361059
C1Cn2nnnc2N1,Frag_170,-390.769376
N=C1CCCC1,Frag_171,-250.473614
C=NO,Frag_172,-169.700658
N=c1cccc[nH]1,Frag_173,-303.409532
CN(C)O,Frag_174,-210.163909
CN[N+](=O)[O-],Frag_175,-300.167923
CC(=N)NN,Frag_176,-244.446893
C1CN1,Frag_177,-133.806786
CC(C)=N,Frag_180,-173.117399
c1cn2c(n1)OCC2,Frag_181,-378.585717
NN=C(N)N,Frag_182,-260.505387
CN(N)C(=N)N,Frag_183,-299.765395
N=C(N)N,Frag_184,-205.221494
c1cn[nH]n1,Frag_185,-242.081736
NN(N)N,Frag_186,-222.350710
NNN,Frag_187,-167.057735
CC(=O)N=N,Frag_188,-263.115329
CN=[N+]=[N-],Frag_189,-203.961768
C=C1C=CC=CC1=O,Frag_190,-345.292119
C=CNC,Frag_191,-173.095059
CN(N)[N+](=O)[O-],Frag_192,-355.445791
O=C1NCCN1,Frag_193,-302.468667
C1=CC2CC1C1CC21,Frag_194,-310.533094
C1CC12CC2,Frag_199,-195.096655
C/N=N/N,Frag_200,-205.156736
CN(C)N=N,Frag_201,-244.423363
N=NN,Frag_202,-165.884815
CNC(C)=N,Frag_203,-228.432835
CN(N)C#N,Frag_204,-243.232191
CCOC,Frag_205,-194.164167
CC(N)CO,Frag_206,-249.486336
C/C(N)=C\N,Frag_207,-228.418893
NCCN,Frag_208,-190.341199
c1ncon1,Frag_209,-261.937483
c1cnon1,Frag_210,-261.899005
CC(=N)C(=N)N,Frag_211,-282.556157
N=C(N)O,Frag_212,-225.089165
N=CO,Frag_213,-169.750943
C=C(N)NN,Frag_214,-244.424132
O=c1cc[nH][nH]1,Frag_215,-301.227488
C1CNCNC1,Frag_216,-267.698764
C1CCNCNC1,Frag_217,-306.963590
C=C1NCCCCN1,Frag_218,-345.035795
NCC(=O)O,Frag_219,-284.244416
O=c1cc[nH]c(=O)[nH]1,Frag_220,-414.574300
CCC#N,Frag_221,-171.926200
CC(N)C(C)O,Frag_222,-288.769400
C=C(C)C(C)O,Frag_223,-271.512416
CC(O)C(C)(C)N,Frag_224,-328.038738
CC(C)(C)N,Frag_225,-213.588738
[O-][n+]1ccno1,Frag_226,-337.026940
N=C1NCCCCN1,Frag_227,-361.107534
NCCO,Frag_228,-210.211567
C1CNCN1,Frag_230,-228.417304
N=c1[nH]cn[nH]1,Frag_231,-297.407246
N=NC(=N)N,Frag_232,-259.291884
C/C=N/O,Frag_233,-208.976270
C=C(C)CO,Frag_234,-232.237294
C/C=[N+](/C)[O-],Frag_235,-248.243412
C1COCOC1,Frag_236,-307.433273
CC(C)(N)N=O,Frag_237,-303.548383
CC(C)(O)O,Frag_238,-269.374402
C#CCN,Frag_239,-171.851306
C=CN(C)N,Frag_240,-228.375920
C/C=N/N,Frag_241,-189.129437
CC(C)(C)ON,Frag_242,-288.718523
