Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.097606
C=C(C)OC,Frag_2,-232.271772
C=CC,Frag_3,-117.798849
C1=CCCC1,Frag_4,-195.173349
C=C(C)C#N,Frag_5,-210.016959
c1cc[nH]c1,Frag_6,-210.045479
C=C(C)N,Frag_7,-173.137250
C=CN,Frag_8,-133.851487
C=C(C)C(=C)C,Frag_9,-234.435651
c1ccncc1,Frag_10,-248.140334
C=C(C)C(=O)O,Frag_11,-306.322995
C=C(C)C(N)=O,Frag_12,-286.447620
C=C(C)C(C)=O,Frag_13,-270.374639
CC(=O)C(C)=O,Frag_14,-306.313207
CC(C)=O,Frag_15,-193.028363
CCC,Frag_18,-119.013429
C1CC1,Frag_19,-117.790192
C=C(C)NC,Frag_21,-212.403442
CNC,Frag_22,-135.043877
COC,Frag_23,-154.909447
C=C(C)CC,Frag_24,-196.361623
C1NCNCN1,Frag_27,-283.787058
CN(C)[N+](=O)[O-],Frag_28,-339.496946
CC[N+](=O)[O-],Frag_29,-284.194881
CCCN,Frag_30,-174.334964
CCN,Frag_31,-135.056451
CC(C)[N+](=O)[O-],Frag_32,-323.478840
CO[N+](=O)[O-],Frag_33,-320.072014
CCON,Frag_34,-210.194491
CCCO,Frag_35,-194.207884
CON,Frag_36,-170.915416
CCO,Frag_37,-154.929388
CC(C)ON,Frag_38,-249.483178
c1ccoc1,Frag_39,-229.900200
C=C(O)[N+](=O)[O-],Frag_40,-358.187447
C=CO,Frag_41,-153.719729
CCCC,Frag_43,-158.291399
CC(C)(C)[N+](=O)[O-],Frag_44,-362.761949
CCN(C)N,Frag_45,-229.622406
CN(C)N,Frag_46,-190.336538
NC[N+](=O)[O-],Frag_47,-300.244847
NCN,Frag_48,-151.103754
CC(C)(C)CO,Frag_49,-272.771533
CC(C)(C)C,Frag_50,-197.577239
CN(C)N=O,Frag_52,-264.329309
C=C(C)O,Frag_53,-193.009402
C=C(C)[N+](=O)[O-],Frag_54,-322.262721
C=C(C)C,Frag_55,-157.084017
C=C(C)CN,Frag_57,-212.404517
C=C[N+](=O)[O-],Frag_58,-282.975598
CC(O)CO,Frag_59,-269.406708
CC(C)O,Frag_60,-194.213787
C1CCNC1,Frag_64,-212.418656
