Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.069742
C=C(C)OC,Frag_2,-232.240860
C=CC,Frag_3,-117.784167
C1=CCCC1,Frag_4,-195.146686
C=C(C)C#N,Frag_5,-209.993609
c1cc[nH]c1,Frag_6,-210.020396
C=C(C)N,Frag_7,-173.109986
C=CN,Frag_8,-133.831259
C=C(C)C(=C)C,Frag_9,-234.400055
c1ccncc1,Frag_10,-248.111402
C=C(C)C(=O)O,Frag_11,-306.285603
C=C(C)C(N)=O,Frag_12,-286.407777
C=C(C)C(C)=O,Frag_13,-270.339417
CC(=O)C(C)=O,Frag_14,-306.277782
CC(C)=O,Frag_15,-193.004226
C1CCCC1,Frag_16,-196.352433
CC(C)C#N,Frag_17,-211.202491
CCC,Frag_18,-118.996601
C1CC1,Frag_19,-117.775345
C=C(C)C1CC1,Frag_20,-234.386817
C=C(C)NC,Frag_21,-212.371059
CNC,Frag_22,-135.023055
COC,Frag_23,-154.888808
C=C(C)CC,Frag_24,-196.331848
NC(N)[N+](=O)[O-],Frag_25,-355.524825
NC(N)N,Frag_26,-206.393155
C1NCNCN1,Frag_27,-283.740224
CN(C)[N+](=O)[O-],Frag_28,-339.454726
CC[N+](=O)[O-],Frag_29,-284.160047
CCCN,Frag_30,-174.305283
CCN,Frag_31,-135.033710
CC(C)[N+](=O)[O-],Frag_32,-323.435973
CO[N+](=O)[O-],Frag_33,-320.036723
CCON,Frag_34,-210.162754
CCCO,Frag_35,-194.177231
CON,Frag_36,-170.889849
CCO,Frag_37,-154.904755
CC(C)ON,Frag_38,-249.444646
c1ccoc1,Frag_39,-229.876908
C=C(O)[N+](=O)[O-],Frag_40,-358.145684
C=CO,Frag_41,-153.698376
C1NCNCNCN1,Frag_42,-378.311309
CCCC,Frag_43,-158.267156
CC(C)(C)[N+](=O)[O-],Frag_44,-362.711016
CCN(C)N,Frag_45,-229.585091
CN(C)N,Frag_46,-190.305164
NC[N+](=O)[O-],Frag_47,-300.204904
NCN,Frag_48,-151.074802
CC(C)(C)CO,Frag_49,-272.723835
CC(C)(C)C,Frag_50,-197.543023
C1CCNCC1,Frag_51,-251.664705
CN(C)N=O,Frag_52,-264.296555
C=C(C)O,Frag_53,-192.982691
C=C(C)[N+](=O)[O-],Frag_54,-322.223892
C=C(C)C,Frag_55,-157.061932
C[N+](=O)[O-],Frag_56,-244.883015
C=C(C)CN,Frag_57,-212.369492
C=C[N+](=O)[O-],Frag_58,-282.943127
CC(O)CO,Frag_59,-269.361499
CC(C)O,Frag_60,-194.182903
CC(N)[N+](=O)[O-],Frag_61,-339.482625
CCC(N)N,Frag_62,-229.624735
CC(N)N,Frag_63,-190.352032
C1CCNC1,Frag_64,-212.385098
CC(N)C(=O)O,Frag_65,-323.531018
COC(C)=O,Frag_66,-268.206055
CC(=O)O,Frag_67,-228.939499
C1CCC1,Frag_68,-157.051027
CC(C)C(=O)O,Frag_69,-307.492025
C1OCOCO1,Frag_70,-343.353756
CC(O)O,Frag_71,-230.101220
OCO,Frag_72,-190.824678
CC(C)=C(C)C,Frag_73,-235.607583
C/N=[N+](/C)[O-],Frag_74,-264.289312
C=C(C)N=N,Frag_75,-227.193363
C=C(C)[N+](=N)[O-],Frag_76,-302.343148
C[N+](=N)[O-],Frag_77,-225.004938
CN=N,Frag_78,-149.843606
CC(=O)N(C)C,Frag_79,-287.600312
CN(C)C,Frag_80,-174.290680
C=CCC,Frag_81,-157.055459
CC=C(C)C,Frag_82,-196.336321
C=NC,Frag_83,-133.823648
CC=N,Frag_84,-133.836747
C=CC(=C)C,Frag_85,-195.121169
C/C=C\C,Frag_86,-157.059493
C=CC=C,Frag_87,-155.849701
C/C(N)=C(\C)N,Frag_88,-267.701651
C=CC(=C)N,Frag_89,-211.173137
C/C=C(\C)N,Frag_90,-212.382326
C/C(O)=C(\C)O,Frag_91,-307.447811
C=CC(=C)O,Frag_92,-231.043031
C=C(N)C(=C)O,Frag_93,-286.367132
C/C=C(\C)O,Frag_94,-232.252395
C=C(N)O,Frag_95,-209.028483
CC(C)=C(C)N,Frag_96,-251.655435
COC(C)O,Frag_97,-269.365812
CN(N)CN,Frag_98,-245.619721
CC(C)C,Frag_99,-158.269946
CNC(C)C,Frag_100,-213.571659
CCNC,Frag_101,-174.298059
CCC(C)N,Frag_102,-213.581294
C/C=N\C,Frag_103,-173.100446
C=CN=C,Frag_104,-171.888198
C=C(C)C=N,Frag_105,-211.176525
C/C=C\N,Frag_106,-173.105807
C=C(N)OC,Frag_107,-248.288333
C=COC,Frag_108,-192.957308
C/C=C(/N)O,Frag_109,-248.303718
C/C=C\O,Frag_110,-192.976673
CC(C)N,Frag_111,-174.309261
C/C=C(/C)N,Frag_112,-212.384317
CCC(C)C,Frag_113,-197.540344
CC1CCC1,Frag_114,-196.327009
CN=[N+](C)[O-],Frag_115,-264.289312
