Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.075576
C=C(C)OC,Frag_2,-232.248522
C=CC,Frag_3,-117.787188
C1=CCCC1,Frag_4,-195.154219
C=C(C)C#N,Frag_5,-209.998627
c1cc[nH]c1,Frag_6,-210.024585
C=C(C)N,Frag_7,-173.115234
C=CN,Frag_8,-133.833669
C=C(C)C(=C)C,Frag_9,-234.411064
c1ccncc1,Frag_10,-248.116605
C=C(C)C(=O)O,Frag_11,-306.293388
C=C(C)C(N)=O,Frag_12,-286.416503
C=C(C)C(C)=O,Frag_13,-270.349193
CC(=O)C(C)=O,Frag_14,-306.286048
CC(C)=O,Frag_15,-193.009185
C1CCCC1,Frag_16,-196.362402
CC(C)C#N,Frag_17,-211.209889
CCC,Frag_18,-119.001471
C1CC1,Frag_19,-117.778356
C=C(C)C1CC1,Frag_20,-234.397555
C=C(C)NC,Frag_21,-212.379469
CNC,Frag_22,-135.026950
COC,Frag_23,-154.892470
C=C(C)CC,Frag_24,-196.341377
NC(N)[N+](=O)[O-],Frag_25,-355.532782
NC(N)N,Frag_26,-206.399028
C1NCNCN1,Frag_27,-283.751764
CN(C)[N+](=O)[O-],Frag_28,-339.462717
CC[N+](=O)[O-],Frag_29,-284.165975
CCCN,Frag_30,-174.313053
CCN,Frag_31,-135.037956
CC(C)[N+](=O)[O-],Frag_32,-323.445982
CO[N+](=O)[O-],Frag_33,-320.040428
CCON,Frag_34,-210.168952
CCCO,Frag_35,-194.184330
CON,Frag_36,-170.892586
CCO,Frag_37,-154.908548
CC(C)ON,Frag_38,-249.453918
c1ccoc1,Frag_39,-229.880467
C=C(O)[N+](=O)[O-],Frag_40,-358.150490
C=CO,Frag_41,-153.700363
C1NCNCNCN1,Frag_42,-378.330625
CCCC,Frag_43,-158.275405
CC(C)(C)[N+](=O)[O-],Frag_44,-362.726204
CCN(C)N,Frag_45,-229.594827
CN(C)N,Frag_46,-190.311468
NC[N+](=O)[O-],Frag_47,-300.210245
NCN,Frag_48,-151.078147
CC(C)(C)CO,Frag_49,-272.740382
CC(C)(C)C,Frag_50,-197.556680
C1CCNCC1,Frag_51,-251.678248
CN(C)N=O,Frag_52,-264.302078
C=C(C)O,Frag_53,-192.987339
C=C(C)[N+](=O)[O-],Frag_54,-322.230880
C=C(C)C,Frag_55,-157.067997
C[N+](=O)[O-],Frag_56,-244.885850
C=C(C)CN,Frag_57,-212.378536
C=C[N+](=O)[O-],Frag_58,-282.946866
CC(O)CO,Frag_59,-269.370703
CC(C)O,Frag_60,-194.190225
CC(N)[N+](=O)[O-],Frag_61,-339.491843
CCC(N)N,Frag_62,-229.634881
CC(N)N,Frag_63,-190.358792
C1CCNC1,Frag_64,-212.394000
CC(N)C(=O)O,Frag_65,-323.540317
COC(C)=O,Frag_66,-268.212230
CC(=O)O,Frag_67,-228.942969
C1CCC1,Frag_68,-157.057499
CC(C)C(=O)O,Frag_69,-307.502652
C1OCOCO1,Frag_70,-343.362183
CC(O)O,Frag_71,-230.106873
OCO,Frag_72,-190.827322
CC(C)=C(C)C,Frag_73,-235.620054
C/N=[N+](/C)[O-],Frag_74,-264.295052
C=C(C)N=N,Frag_75,-227.199047
C=C(C)[N+](=N)[O-],Frag_76,-302.350806
C[N+](=N)[O-],Frag_77,-225.008355
CN=N,Frag_78,-149.845375
CC(=O)N(C)C,Frag_79,-287.610711
CN(C)C,Frag_80,-174.298062
C=CCC,Frag_81,-157.061327
CC=C(C)C,Frag_82,-196.345043
C=NC,Frag_83,-133.825900
CC=N,Frag_84,-133.839083
C=CC(=C)C,Frag_85,-195.128522
C/C=C\C,Frag_86,-157.065032
C=CC=C,Frag_87,-155.853731
C/C(N)=C(\C)N,Frag_88,-267.712407
C=CC(=C)N,Frag_89,-211.179685
C/C=C(\C)N,Frag_90,-212.390204
C/C(O)=C(\C)O,Frag_91,-307.456847
C=CC(=C)O,Frag_92,-231.048941
C=C(N)C(=C)O,Frag_93,-286.375536
C/C=C(\C)O,Frag_94,-232.259740
C=C(N)O,Frag_95,-209.032438
CC(C)=C(C)N,Frag_96,-251.667134
COC(C)O,Frag_97,-269.374524
CN(N)CN,Frag_98,-245.628290
CC(C)C,Frag_99,-158.278641
CNC(C)C,Frag_100,-213.582685
CCNC,Frag_101,-174.304697
CCC(C)N,Frag_102,-213.592606
C/C=N\C,Frag_103,-173.104563
C=CN=C,Frag_104,-171.891808
C=C(C)C=N,Frag_105,-211.183542
C/C=C\N,Frag_106,-173.110865
C=C(N)OC,Frag_107,-248.295207
C=COC,Frag_108,-192.961613
C/C=C(/N)O,Frag_109,-248.310254
C/C=C\O,Frag_110,-192.981260
CC(C)N,Frag_111,-174.317132
C/C=C(/C)N,Frag_112,-212.392396
CCC(C)C,Frag_113,-197.552629
CC1CCC1,Frag_114,-196.336872
CN=[N+](C)[O-],Frag_115,-264.295052
