Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.131508
C=C(C)OC,Frag_2,-232.315152
C=CC,Frag_3,-117.822613
C1=CCCC1,Frag_4,-195.202592
C=C(C)C#N,Frag_5,-210.053957
c1cc[nH]c1,Frag_6,-210.079107
C=C(C)N,Frag_7,-173.167172
C=CN,Frag_8,-133.876793
C=C(C)C(=C)C,Frag_9,-234.470659
c1ccncc1,Frag_10,-248.176781
C=C(C)C(=O)O,Frag_11,-306.378284
C=C(C)C(N)=O,Frag_12,-286.495531
C=C(C)C(C)=O,Frag_13,-270.419586
CC(=O)C(C)=O,Frag_14,-306.368160
CC(C)=O,Frag_15,-193.065173
C1CCCC1,Frag_16,-196.410663
CC(C)C#N,Frag_17,-211.265289
CCC,Frag_18,-119.037250
C1CC1,Frag_19,-117.813421
C=C(C)C1CC1,Frag_20,-234.456738
C=C(C)NC,Frag_21,-212.438300
CNC,Frag_22,-135.069459
COC,Frag_23,-154.942557
C=C(C)CC,Frag_24,-196.393302
NC(N)[N+](=O)[O-],Frag_25,-355.635380
NC(N)N,Frag_26,-206.465600
C1NCNCN1,Frag_27,-283.825589
CN(C)[N+](=O)[O-],Frag_28,-339.556397
CC[N+](=O)[O-],Frag_29,-284.246790
CCCN,Frag_30,-174.364060
CCN,Frag_31,-135.081209
CC(C)[N+](=O)[O-],Frag_32,-323.533985
CO[N+](=O)[O-],Frag_33,-320.134970
CCON,Frag_34,-210.233392
CCCO,Frag_35,-194.243384
CON,Frag_36,-170.949193
CCO,Frag_37,-154.960044
CC(C)ON,Frag_38,-249.526469
c1ccoc1,Frag_39,-229.941952
C=C(O)[N+](=O)[O-],Frag_40,-358.252893
C=CO,Frag_41,-153.751011
C1NCNCNCN1,Frag_42,-378.424275
CCCC,Frag_43,-158.319173
CC(C)(C)[N+](=O)[O-],Frag_44,-362.819397
CCN(C)N,Frag_45,-229.658855
CN(C)N,Frag_46,-190.367910
NC[N+](=O)[O-],Frag_47,-300.298010
NCN,Frag_48,-151.129491
CC(C)(C)CO,Frag_49,-272.812455
CC(C)(C)C,Frag_50,-197.606628
C1CCNCC1,Frag_51,-251.738921
CN(C)N=O,Frag_52,-264.374519
C=C(C)O,Frag_53,-193.046158
C=C(C)[N+](=O)[O-],Frag_54,-322.318826
C=C(C)C,Frag_55,-157.111960
C[N+](=O)[O-],Frag_56,-244.959212
C=C(C)CN,Frag_57,-212.437644
C=C[N+](=O)[O-],Frag_58,-283.027336
CC(O)CO,Frag_59,-269.453842
CC(C)O,Frag_60,-194.249025
CC(N)[N+](=O)[O-],Frag_61,-339.586689
CCC(N)N,Frag_62,-229.701484
CC(N)N,Frag_63,-190.418023
C1CCNC1,Frag_64,-212.449040
CC(N)C(=O)O,Frag_65,-323.633765
COC(C)=O,Frag_66,-268.291023
CC(=O)O,Frag_67,-229.014247
C1CCC1,Frag_68,-157.098082
CC(C)C(=O)O,Frag_69,-307.588052
C1OCOCO1,Frag_70,-343.461602
CC(O)O,Frag_71,-230.181357
OCO,Frag_72,-190.894008
CC(C)=C(C)C,Frag_73,-235.680394
C/N=[N+](/C)[O-],Frag_74,-264.369049
C=C(C)N=N,Frag_75,-227.259680
C=C(C)[N+](=N)[O-],Frag_76,-302.433674
C[N+](=N)[O-],Frag_77,-225.076169
CN=N,Frag_78,-149.889215
CC(=O)N(C)C,Frag_79,-287.689009
CN(C)C,Frag_80,-174.347401
C=CCC,Frag_81,-157.105414
CC=C(C)C,Frag_82,-196.397615
C=NC,Frag_83,-133.865802
CC=N,Frag_84,-133.880291
C=CC(=C)C,Frag_85,-195.180213
C/C=C\C,Frag_86,-157.109278
C=CC=C,Frag_87,-155.897107
C/C(N)=C(\C)N,Frag_88,-267.787794
C=CC(=C)N,Frag_89,-211.238970
C/C=C(\C)N,Frag_90,-212.450486
C/C(O)=C(\C)O,Frag_91,-307.547088
C=CC(=C)O,Frag_92,-231.115479
C=C(N)C(=C)O,Frag_93,-286.456845
C/C=C(\C)O,Frag_94,-232.327556
C=C(N)O,Frag_95,-209.101116
CC(C)=C(C)N,Frag_96,-251.735192
COC(C)O,Frag_97,-269.455576
CN(N)CN,Frag_98,-245.701332
CC(C)C,Frag_99,-158.321986
CNC(C)C,Frag_100,-213.640637
CCNC,Frag_101,-174.355966
CCC(C)N,Frag_102,-213.651025
C/C=N\C,Frag_103,-173.154247
C=CN=C,Frag_104,-171.939358
C=C(C)C=N,Frag_105,-211.240283
C/C=C\N,Frag_106,-173.162728
C=C(N)OC,Frag_107,-248.363904
C=COC,Frag_108,-193.023084
C/C=C(/N)O,Frag_109,-248.384903
C/C=C\O,Frag_110,-193.038565
CC(C)N,Frag_111,-174.368068
C/C=C(/C)N,Frag_112,-212.452884
CCC(C)C,Frag_113,-197.603784
CC1CCC1,Frag_114,-196.385240
CN=[N+](C)[O-],Frag_115,-264.369048
