Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.135871
C=C(C)OC,Frag_2,-232.320272
C=CC,Frag_3,-117.823621
C1=CCCC1,Frag_4,-195.205129
C=C(C)C#N,Frag_5,-210.058685
c1cc[nH]c1,Frag_6,-210.083597
C=C(C)N,Frag_7,-173.169751
C=CN,Frag_8,-133.879014
C=C(C)C(=C)C,Frag_9,-234.473383
c1ccncc1,Frag_10,-248.182730
C=C(C)C(=O)O,Frag_11,-306.387460
C=C(C)C(N)=O,Frag_12,-286.503148
C=C(C)C(C)=O,Frag_13,-270.425962
CC(=O)C(C)=O,Frag_14,-306.378294
CC(C)=O,Frag_15,-193.070355
C1CCCC1,Frag_16,-196.412485
CC(C)C#N,Frag_17,-211.269436
CCC,Frag_18,-119.037522
C1CC1,Frag_19,-117.814415
C=C(C)C1CC1,Frag_20,-234.459556
C=C(C)NC,Frag_21,-212.441352
CNC,Frag_22,-135.071247
COC,Frag_23,-154.946542
C=C(C)CC,Frag_24,-196.395022
NC(N)[N+](=O)[O-],Frag_25,-355.648992
NC(N)N,Frag_26,-206.469594
C1NCNCN1,Frag_27,-283.831899
CN(C)[N+](=O)[O-],Frag_28,-339.569034
CC[N+](=O)[O-],Frag_29,-284.257866
CCCN,Frag_30,-174.365793
CCN,Frag_31,-135.082663
CC(C)[N+](=O)[O-],Frag_32,-323.545250
CO[N+](=O)[O-],Frag_33,-320.149163
CCON,Frag_34,-210.238209
CCCO,Frag_35,-194.247118
CON,Frag_36,-170.953947
CCO,Frag_37,-154.963649
CC(C)ON,Frag_38,-249.531642
c1ccoc1,Frag_39,-229.948527
C=C(O)[N+](=O)[O-],Frag_40,-358.267339
C=CO,Frag_41,-153.755068
C1NCNCNCN1,Frag_42,-378.432349
CCCC,Frag_43,-158.319808
CC(C)(C)[N+](=O)[O-],Frag_44,-362.830841
CCN(C)N,Frag_45,-229.662186
CN(C)N,Frag_46,-190.371080
NC[N+](=O)[O-],Frag_47,-300.310218
NCN,Frag_48,-151.132316
CC(C)(C)CO,Frag_49,-272.816767
CC(C)(C)C,Frag_50,-197.607584
C1CCNCC1,Frag_51,-251.742614
CN(C)N=O,Frag_52,-264.383229
C=C(C)O,Frag_53,-193.050503
C=C(C)[N+](=O)[O-],Frag_54,-322.330723
C=C(C)C,Frag_55,-157.113326
C[N+](=O)[O-],Frag_56,-244.970161
C=C(C)CN,Frag_57,-212.440439
C=C[N+](=O)[O-],Frag_58,-283.039070
CC(O)CO,Frag_59,-269.461159
CC(C)O,Frag_60,-194.252825
CC(N)[N+](=O)[O-],Frag_61,-339.599081
CCC(N)N,Frag_62,-229.704709
CC(N)N,Frag_63,-190.421204
C1CCNC1,Frag_64,-212.452308
CC(N)C(=O)O,Frag_65,-323.643640
COC(C)=O,Frag_66,-268.299894
CC(=O)O,Frag_67,-229.022344
C1CCC1,Frag_68,-157.099441
CC(C)C(=O)O,Frag_69,-307.596736
C1OCOCO1,Frag_70,-343.474352
CC(O)O,Frag_71,-230.188332
OCO,Frag_72,-190.900931
CC(C)=C(C)C,Frag_73,-235.682356
C/N=[N+](/C)[O-],Frag_74,-264.377718
C=C(C)N=N,Frag_75,-227.265133
C=C(C)[N+](=N)[O-],Frag_76,-302.443008
C[N+](=N)[O-],Frag_77,-225.084496
CN=N,Frag_78,-149.893119
CC(=O)N(C)C,Frag_79,-287.696284
CN(C)C,Frag_80,-174.349578
C=CCC,Frag_81,-157.106800
CC=C(C)C,Frag_82,-196.399266
C=NC,Frag_83,-133.868550
CC=N,Frag_84,-133.882897
C=CC(=C)C,Frag_85,-195.182625
C/C=C\C,Frag_86,-157.110584
C=CC=C,Frag_87,-155.899146
C/C(N)=C(\C)N,Frag_88,-267.792072
C=CC(=C)N,Frag_89,-211.242436
C/C=C(\C)N,Frag_90,-212.453330
C/C(O)=C(\C)O,Frag_91,-307.555271
C=CC(=C)O,Frag_92,-231.120678
C=C(N)C(=C)O,Frag_93,-286.463376
C/C=C(\C)O,Frag_94,-232.332123
C=C(N)O,Frag_95,-209.104297
CC(C)=C(C)N,Frag_96,-251.738384
COC(C)O,Frag_97,-269.463005
CN(N)CN,Frag_98,-245.705969
CC(C)C,Frag_99,-158.322662
CNC(C)C,Frag_100,-213.642943
CCNC,Frag_101,-174.358064
CCC(C)N,Frag_102,-213.652969
C/C=N\C,Frag_103,-173.157281
C=CN=C,Frag_104,-171.943112
C=C(C)C=N,Frag_105,-211.244093
C/C=C\N,Frag_106,-173.165235
C=C(N)OC,Frag_107,-248.370029
C=COC,Frag_108,-193.027888
C/C=C(/N)O,Frag_109,-248.390568
C/C=C\O,Frag_110,-193.042868
CC(C)N,Frag_111,-174.369863
C/C=C(/C)N,Frag_112,-212.455775
CCC(C)C,Frag_113,-197.604789
CC1CCC1,Frag_114,-196.386967
CN=[N+](C)[O-],Frag_115,-264.377718
