Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.105073
C=C(C)OC,Frag_2,-232.283354
C=CC,Frag_3,-117.792093
C1=CCCC1,Frag_4,-195.164105
C=C(C)C#N,Frag_5,-210.037969
c1cc[nH]c1,Frag_6,-210.058991
C=C(C)N,Frag_7,-173.135587
C=CN,Frag_8,-133.853383
C=C(C)C(=C)C,Frag_9,-234.427584
c1ccncc1,Frag_10,-248.157481
C=C(C)C(=O)O,Frag_11,-306.358407
C=C(C)C(N)=O,Frag_12,-286.469476
C=C(C)C(C)=O,Frag_13,-270.387114
CC(=O)C(C)=O,Frag_14,-306.347212
CC(C)=O,Frag_15,-193.037741
C1CCCC1,Frag_16,-196.361810
CC(C)C#N,Frag_17,-211.240150
CCC,Frag_18,-118.995219
C1CC1,Frag_19,-117.784599
C=C(C)C1CC1,Frag_20,-234.414874
C=C(C)NC,Frag_21,-212.399242
CNC,Frag_22,-135.036392
COC,Frag_23,-154.916671
C=C(C)CC,Frag_24,-196.346760
NC(N)[N+](=O)[O-],Frag_25,-355.615606
NC(N)N,Frag_26,-206.439873
C1NCNCN1,Frag_27,-283.795900
CN(C)[N+](=O)[O-],Frag_28,-339.526828
CC[N+](=O)[O-],Frag_29,-284.219480
CCCN,Frag_30,-174.322089
CCN,Frag_31,-135.047359
CC(C)[N+](=O)[O-],Frag_32,-323.499699
CO[N+](=O)[O-],Frag_33,-320.115977
CCON,Frag_34,-210.203253
CCCO,Frag_35,-194.207930
CON,Frag_36,-170.928093
CCO,Frag_37,-154.932961
CC(C)ON,Frag_38,-249.489336
c1ccoc1,Frag_39,-229.927912
C=C(O)[N+](=O)[O-],Frag_40,-358.238695
C=CO,Frag_41,-153.734413
C1NCNCNCN1,Frag_42,-378.389208
CCCC,Frag_43,-158.269391
CC(C)(C)[N+](=O)[O-],Frag_44,-362.779986
CCN(C)N,Frag_45,-229.616963
CN(C)N,Frag_46,-190.334917
NC[N+](=O)[O-],Frag_47,-300.277883
NCN,Frag_48,-151.103858
CC(C)(C)CO,Frag_49,-272.765133
CC(C)(C)C,Frag_50,-197.552264
C1CCNCC1,Frag_51,-251.692582
CN(C)N=O,Frag_52,-264.347194
C=C(C)O,Frag_53,-193.020941
C=C(C)[N+](=O)[O-],Frag_54,-322.294040
C=C(C)C,Frag_55,-157.073158
C[N+](=O)[O-],Frag_56,-244.940301
C=C(C)CN,Frag_57,-212.398713
C=C[N+](=O)[O-],Frag_58,-283.010465
CC(O)CO,Frag_59,-269.426148
CC(C)O,Frag_60,-194.214215
CC(N)[N+](=O)[O-],Frag_61,-339.559659
CCC(N)N,Frag_62,-229.660345
CC(N)N,Frag_63,-190.385028
C1CCNC1,Frag_64,-212.408571
CC(N)C(=O)O,Frag_65,-323.612107
COC(C)=O,Frag_66,-268.269678
CC(=O)O,Frag_67,-228.999617
C1CCC1,Frag_68,-157.057201
CC(C)C(=O)O,Frag_69,-307.558531
C1OCOCO1,Frag_70,-343.451467
CC(O)O,Frag_71,-230.160986
OCO,Frag_72,-190.881818
CC(C)=C(C)C,Frag_73,-235.624668
C/N=[N+](/C)[O-],Frag_74,-264.339454
C=C(C)N=N,Frag_75,-227.235890
C=C(C)[N+](=N)[O-],Frag_76,-302.405479
C[N+](=N)[O-],Frag_77,-225.053751
CN=N,Frag_78,-149.870769
CC(=O)N(C)C,Frag_79,-287.654352
CN(C)C,Frag_80,-174.307863
C=CCC,Frag_81,-157.066368
CC=C(C)C,Frag_82,-196.349402
C=NC,Frag_83,-133.843025
CC=N,Frag_84,-133.856441
C=CC(=C)C,Frag_85,-195.144287
C/C=C\C,Frag_86,-157.069168
C=CC=C,Frag_87,-155.868298
C/C(N)=C(\C)N,Frag_88,-267.747576
C=CC(=C)N,Frag_89,-211.209516
C/C=C(\C)N,Frag_90,-212.409555
C/C(O)=C(\C)O,Frag_91,-307.518890
C=CC(=C)O,Frag_92,-231.091961
C=C(N)C(=C)O,Frag_93,-286.433416
C/C=C(\C)O,Frag_94,-232.292922
C=C(N)O,Frag_95,-209.080979
CC(C)=C(C)N,Frag_96,-251.687196
COC(C)O,Frag_97,-269.427699
CN(N)CN,Frag_98,-245.667262
CC(C)C,Frag_99,-158.272983
CNC(C)C,Frag_100,-213.592290
CCNC,Frag_101,-174.314201
CCC(C)N,Frag_102,-213.601850
C/C=N\C,Frag_103,-173.122308
C=CN=C,Frag_104,-171.918952
C=C(C)C=N,Frag_105,-211.210546
C/C=C\N,Frag_106,-173.130479
C=C(N)OC,Frag_107,-248.345105
C=COC,Frag_108,-192.995606
C/C=C(/N)O,Frag_109,-248.357665
C/C=C\O,Frag_110,-193.013390
CC(C)N,Frag_111,-174.327005
C/C=C(/C)N,Frag_112,-212.412628
CCC(C)C,Frag_113,-197.547152
CC1CCC1,Frag_114,-196.336248
CN=[N+](C)[O-],Frag_115,-264.339454
C1CNC1,Frag_116,-173.103446
CC(C)(N)[N+](=O)[O-],Frag_117,-378.834687
CN(C)C=O,Frag_118,-248.372481
C1C2CC3CC2CC13,Frag_119,-311.788171
CNC(C)=O,Frag_120,-248.384199
CCC(N)=O,Frag_121,-248.394721
CC(N)=O,Frag_122,-209.119282
C=C(C)N(C)C,Frag_123,-251.668493
CC(=N)N,Frag_124,-189.212133
c1c[nH]cn1,Frag_125,-226.123574
C=C(N)[N+](=O)[O-],Frag_126,-338.353799
CCN(C)C,Frag_127,-213.583932
N=CN,Frag_128,-149.926153
N=C1NCCN1,Frag_129,-282.637212
C=N[N+](=O)[O-],Frag_130,-299.045669
C=N,Frag_131,-94.570943
CC(=O)NN,Frag_132,-264.408494
N=C(N)[N+](=O)[O-],Frag_133,-354.422438
c1cn[nH]c1,Frag_134,-226.104889
c1nnn[nH]1,Frag_135,-258.189064
CC(=N)N(C)N,Frag_136,-283.772518
CNN,Frag_137,-151.067225
C=C1NCCN1,Frag_138,-266.555066
CC(N)O,Frag_139,-210.275174
C12C3C4C1C1C2C3C41,Frag_140,-309.279940
c1nc[nH]n1,Frag_141,-242.172488
C=C(N)C#N,Frag_142,-226.095572
c1cnccn1,Frag_143,-264.206311
CC(=N)[N+](=O)[O-],Frag_144,-338.353003
C=C(N)N,Frag_145,-189.198287
C=C1CCCN1,Frag_146,-250.499449
C=C,Frag_147,-78.512209
C=NNC,Frag_148,-189.152810
CC(C)=NN,Frag_149,-228.447701
C=C(C)NN,Frag_150,-228.428853
C=NN,Frag_151,-149.883115
CC(C)(N)CO,Frag_152,-288.825124
CN(C)C(C)(C)C,Frag_153,-292.136211
[O-][n+]1ccccc1,Frag_154,-323.316060
C1=C\C=C/C=C\C=C/1,Frag_155,-309.398419
CC(C)C(=N)N,Frag_156,-267.762111
C1COC1,Frag_157,-192.987202
C=C(C)N(C)N,Frag_158,-267.698030
O=c1cccc[nH]1,Frag_159,-323.393077
COC(N)=O,Frag_160,-284.344717
CNC(=O)O,Frag_161,-284.340115
NC(=O)O,Frag_162,-245.084022
c1ccc2c(c1)CN2,Frag_163,-325.486274
CNC(=N)N,Frag_164,-244.543046
N=C1NCNCN1,Frag_165,-337.965413
C=C(C)C(C)=N,Frag_166,-250.492266
O=[N+]([O-])C1CC1,Frag_167,-322.287493
C/C=C/N,Frag_168,-173.129847
C=CN(C)C,Frag_169,-212.390234
C1Cn2nnnc2N1,Frag_170,-390.880246
N=C1CCCC1,Frag_171,-250.508588
C=NO,Frag_172,-169.745089
N=c1cccc[nH]1,Frag_173,-303.484925
CN(C)O,Frag_174,-210.206456
CN[N+](=O)[O-],Frag_175,-300.256552
CC(=N)NN,Frag_176,-244.503713
C1CN1,Frag_177,-133.829439
C=C(C)C1CN1,Frag_178,-250.460668
OCC1CN1,Frag_179,-248.321542
CC(C)=N,Frag_180,-173.139901
c1cn2c(n1)OCC2,Frag_181,-378.693648
NN=C(N)N,Frag_182,-260.579754
CN(N)C(=N)N,Frag_183,-299.846668
N=C(N)N,Frag_184,-205.279280
c1cn[nH]n1,Frag_185,-242.150204
NN(N)N,Frag_186,-222.404248
NNN,Frag_187,-167.100515
CC(=O)N=N,Frag_188,-263.192990
CN=[N+]=[N-],Frag_189,-204.017573
C=C1C=CC=CC1=O,Frag_190,-345.378591
C=CNC,Frag_191,-173.118741
CN(N)[N+](=O)[O-],Frag_192,-355.551907
O=C1NCCN1,Frag_193,-302.550727
C1=CC2CC1C1CC21,Frag_194,-310.579173
N#CC1(N)CC1,Frag_195,-265.362598
CC1([N+](=O)[O-])CC1,Frag_196,-361.569138
NC1CC1,Frag_197,-173.113087
CC1CC1,Frag_198,-157.062440
C1CC12CC2,Frag_199,-195.118944
C/N=N/N,Frag_200,-205.205480
CN(C)N=N,Frag_201,-244.474076
N=NN,Frag_202,-165.932553
CNC(C)=N,Frag_203,-228.474414
CN(N)C#N,Frag_204,-243.300356
CCOC,Frag_205,-194.194566
CC(N)CO,Frag_206,-249.539364
C/C(N)=C\N,Frag_207,-228.464002
NCCN,Frag_208,-190.373940
c1ncon1,Frag_209,-262.023482
c1cnon1,Frag_210,-261.979017
CC(=N)C(=N)N,Frag_211,-282.625315
N=C(N)O,Frag_212,-225.157289
N=CO,Frag_213,-169.810455
C=C(N)NN,Frag_214,-244.491386
O=c1cc[nH][nH]1,Frag_215,-301.317529
C1CNCNC1,Frag_216,-267.742314
C1CCNCNC1,Frag_217,-307.012997
C=C1NCCCCN1,Frag_218,-345.108616
NCC(=O)O,Frag_219,-284.333491
O=c1cc[nH]c(=O)[nH]1,Frag_220,-414.711449
CCC#N,Frag_221,-171.963493
CC(N)C(C)O,Frag_222,-288.821004
C=C(C)C(C)O,Frag_223,-271.563176
CC(O)C(C)(C)N,Frag_224,-328.100385
CC(C)(C)N,Frag_225,-213.607643
[O-][n+]1ccno1,Frag_226,-337.131118
N=C1NCCCCN1,Frag_227,-361.183455
NCCO,Frag_228,-210.261795
O=[N+]1C=CC(=[N+]([O-])[O-])C=C1,Frag_229,-527.812160
C1CNCN1,Frag_230,-228.458366
N=c1[nH]cn[nH]1,Frag_231,-297.495685
N=NC(=N)N,Frag_232,-259.363066
C/C=N/O,Frag_233,-209.035586
C=C(C)CO,Frag_234,-232.283125
C/C=[N+](/C)[O-],Frag_235,-248.294673
C1COCOC1,Frag_236,-307.503443
CC(C)(N)N=O,Frag_237,-303.627966
CC(C)(O)O,Frag_238,-269.445223
C#CCN,Frag_239,-171.897048
C=CN(C)N,Frag_240,-228.419420
C/C=N/N,Frag_241,-189.165337
CC(C)(C)ON,Frag_242,-288.770349
CCC(C)(C)O,Frag_243,-272.770055
C1=NOCC1,Frag_244,-247.121115
CC(C)(O)[N+](=O)[O-],Frag_245,-398.726774
CC(N)(O)C#N,Frag_246,-302.513881
CC(=N)C#N,Frag_247,-226.094830
O=c1[nH]cn[nH]1,Frag_248,-317.411174
CNC=O,Frag_249,-209.103481
c1c[nH]nn1,Frag_250,-242.143985
C1CCOC1,Frag_251,-232.293579
CC(C)CN,Frag_252,-213.599932
c1nn[nH]n1,Frag_253,-258.192197
NCN(N)N,Frag_254,-261.701500
c1cnoc1,Frag_255,-245.954134
CC(=N)C(=O)O,Frag_256,-322.422816
C/C=N\O,Frag_257,-209.035516
C=C(O)C=N,Frag_258,-247.152156
N=C(N)CO,Frag_259,-264.423154
CC(=O)C=N,Frag_260,-247.166518
CC=[N+]=[N-],Frag_261,-187.965389
C1=CC1,Frag_262,-116.542779
C=C(C)C1=CC1,Frag_263,-233.183136
CC1([N+](=O)[O-])C=C1,Frag_264,-360.332866
N#CC1(N)C=C1,Frag_265,-264.123687
CC1C=C1,Frag_266,-155.820972
NC1C=C1,Frag_267,-171.877537
