Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.037341
C=C(C)OC,Frag_2,-232.206814
C=CC,Frag_3,-117.756399
C1=CCCC1,Frag_4,-195.109695
C=C(C)C#N,Frag_5,-209.971257
c1cc[nH]c1,Frag_6,-209.992132
C=C(C)N,Frag_7,-173.077791
C=CN,Frag_8,-133.805494
C=C(C)C(=C)C,Frag_9,-234.359244
c1ccncc1,Frag_10,-248.083009
C=C(C)C(=O)O,Frag_11,-306.252020
C=C(C)C(N)=O,Frag_12,-286.372206
C=C(C)C(C)=O,Frag_13,-270.301487
CC(=O)C(C)=O,Frag_14,-306.242623
CC(C)=O,Frag_15,-192.973213
C1CCCC1,Frag_16,-196.310563
CC(C)C#N,Frag_17,-211.175628
CCC,Frag_18,-118.963253
C1CC1,Frag_19,-117.750819
C=C(C)C1CC1,Frag_20,-234.347841
C=C(C)NC,Frag_21,-212.332947
CNC,Frag_22,-134.993719
COC,Frag_23,-154.863047
C=C(C)CC,Frag_24,-196.291141
NC(N)[N+](=O)[O-],Frag_25,-355.480721
NC(N)N,Frag_26,-206.362197
C1NCNCN1,Frag_27,-283.704863
CN(C)[N+](=O)[O-],Frag_28,-339.405483
CC[N+](=O)[O-],Frag_29,-284.116009
CCCN,Frag_30,-174.268408
CCN,Frag_31,-135.003452
CC(C)[N+](=O)[O-],Frag_32,-323.386288
CO[N+](=O)[O-],Frag_33,-319.993372
CCON,Frag_34,-210.129649
CCCO,Frag_35,-194.142906
CON,Frag_36,-170.864467
CCO,Frag_37,-154.877293
CC(C)ON,Frag_38,-249.406327
c1ccoc1,Frag_39,-229.852365
C=C(O)[N+](=O)[O-],Frag_40,-358.102615
C=CO,Frag_41,-153.675609
C1NCNCNCN1,Frag_42,-378.268765
CCCC,Frag_43,-158.227405
CC(C)(C)[N+](=O)[O-],Frag_44,-362.657648
CCN(C)N,Frag_45,-229.544964
CN(C)N,Frag_46,-190.272405
NC[N+](=O)[O-],Frag_47,-300.163374
NCN,Frag_48,-151.047774
CC(C)(C)CO,Frag_49,-272.680328
CC(C)(C)C,Frag_50,-197.499976
C1CCNCC1,Frag_51,-251.621791
CN(C)N=O,Frag_52,-264.257423
C=C(C)O,Frag_53,-192.952997
C=C(C)[N+](=O)[O-],Frag_54,-322.179198
