Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-232.118091
C=C(C)OC,Frag_2,-232.297715
C=CC,Frag_3,-117.800094
C1=CCCC1,Frag_4,-195.176245
C=C(C)C#N,Frag_5,-210.049250
c1cc[nH]c1,Frag_6,-210.070590
C=C(C)N,Frag_7,-173.146958
C=CN,Frag_8,-133.862127
C=C(C)C(=C)C,Frag_9,-234.442489
c1ccncc1,Frag_10,-248.170594
C=C(C)C(=O)O,Frag_11,-306.375603
C=C(C)C(N)=O,Frag_12,-286.485894
C=C(C)C(C)=O,Frag_13,-270.402776
CC(=O)C(C)=O,Frag_14,-306.363703
CC(C)=O,Frag_15,-193.049432
C1CCCC1,Frag_16,-196.374985
CC(C)C#N,Frag_17,-211.252522
CCC,Frag_18,-119.004216
C1CC1,Frag_19,-117.792786
C=C(C)C1CC1,Frag_20,-234.429650
C=C(C)NC,Frag_21,-212.412780
CNC,Frag_22,-135.045841
COC,Frag_23,-154.927117
C=C(C)CC,Frag_24,-196.359884
NC(N)[N+](=O)[O-],Frag_25,-355.634828
NC(N)N,Frag_26,-206.453948
C1NCNCN1,Frag_27,-283.812869
CN(C)[N+](=O)[O-],Frag_28,-339.544792
CC[N+](=O)[O-],Frag_29,-284.234933
CCCN,Frag_30,-174.334517
CCN,Frag_31,-135.057200
CC(C)[N+](=O)[O-],Frag_32,-323.517514
CO[N+](=O)[O-],Frag_33,-320.132464
CCON,Frag_34,-210.217079
CCCO,Frag_35,-194.221548
CON,Frag_36,-170.938996
CCO,Frag_37,-154.944102
CC(C)ON,Frag_38,-249.505150
c1ccoc1,Frag_39,-229.940388
C=C(O)[N+](=O)[O-],Frag_40,-358.257280
C=CO,Frag_41,-153.744377
C1NCNCNCN1,Frag_42,-378.411095
CCCC,Frag_43,-158.280952
CC(C)(C)[N+](=O)[O-],Frag_44,-362.800091
CCN(C)N,Frag_45,-229.631705
CN(C)N,Frag_46,-190.347524
NC[N+](=O)[O-],Frag_47,-300.294092
NCN,Frag_48,-151.114411
CC(C)(C)CO,Frag_49,-272.783740
CC(C)(C)C,Frag_50,-197.566228
C1CCNCC1,Frag_51,-251.708630
CN(C)N=O,Frag_52,-264.361787
C=C(C)O,Frag_53,-193.033280
C=C(C)[N+](=O)[O-],Frag_54,-322.310803
C=C(C)C,Frag_55,-157.083763
C[N+](=O)[O-],Frag_56,-244.953263
C=C(C)CN,Frag_57,-212.412653
C=C[N+](=O)[O-],Frag_58,-283.024769
CC(O)CO,Frag_59,-269.444154
CC(C)O,Frag_60,-194.227804
CC(N)[N+](=O)[O-],Frag_61,-339.578231
CCC(N)N,Frag_62,-229.675910
CC(N)N,Frag_63,-190.398063
C1CCNC1,Frag_64,-212.422284
CC(N)C(=O)O,Frag_65,-323.631161
COC(C)=O,Frag_66,-268.285164
CC(=O)O,Frag_67,-229.013404
C1CCC1,Frag_68,-157.068004
CC(C)C(=O)O,Frag_69,-307.576836
C1OCOCO1,Frag_70,-343.471573
CC(O)O,Frag_71,-230.176618
OCO,Frag_72,-190.894856
CC(C)=C(C)C,Frag_73,-235.640539
C/N=[N+](/C)[O-],Frag_74,-264.354345
C=C(C)N=N,Frag_75,-227.248742
C=C(C)[N+](=N)[O-],Frag_76,-302.422713
C[N+](=N)[O-],Frag_77,-225.067065
CN=N,Frag_78,-149.879957
CC(=O)N(C)C,Frag_79,-287.671282
CN(C)C,Frag_80,-174.319597
C=CCC,Frag_81,-157.076912
CC=C(C)C,Frag_82,-196.362667
C=NC,Frag_83,-133.851322
CC=N,Frag_84,-133.865235
C=CC(=C)C,Frag_85,-195.156372
C/C=C\C,Frag_86,-157.079861
C=CC=C,Frag_87,-155.877897
C/C(N)=C(\C)N,Frag_88,-267.764913
C=CC(=C)N,Frag_89,-211.222506
C/C=C(\C)N,Frag_90,-212.423558
C/C(O)=C(\C)O,Frag_91,-307.538047
C=CC(=C)O,Frag_92,-231.106070
C=C(N)C(=C)O,Frag_93,-286.450485
C/C=C(\C)O,Frag_94,-232.308208
C=C(N)O,Frag_95,-209.094049
CC(C)=C(C)N,Frag_96,-251.703773
COC(C)O,Frag_97,-269.445069
CN(N)CN,Frag_98,-245.682936
CC(C)C,Frag_99,-158.284542
CNC(C)C,Frag_100,-213.606736
CCNC,Frag_101,-174.326227
CCC(C)N,Frag_102,-213.616685
C/C=N\C,Frag_103,-173.133343
C=CN=C,Frag_104,-171.928712
C=C(C)C=N,Frag_105,-211.223626
C/C=C\N,Frag_106,-173.141909
C=C(N)OC,Frag_107,-248.360282
C=COC,Frag_108,-193.007534
C/C=C(/N)O,Frag_109,-248.373411
C/C=C\O,Frag_110,-193.026035
CC(C)N,Frag_111,-174.339346
C/C=C(/C)N,Frag_112,-212.426641
CCC(C)C,Frag_113,-197.561278
CC1CCC1,Frag_114,-196.349483
CN=[N+](C)[O-],Frag_115,-264.354345
C1CNC1,Frag_116,-173.114719
CC(C)(N)[N+](=O)[O-],Frag_117,-378.855557
CN(C)C=O,Frag_118,-248.386920
C1C2CC3CC2CC13,Frag_119,-311.807193
CNC(C)=O,Frag_120,-248.398776
CCC(N)=O,Frag_121,-248.409583
CC(N)=O,Frag_122,-209.131572
C=C(C)N(C)C,Frag_123,-251.684347
CC(=N)N,Frag_124,-189.224356
c1c[nH]cn1,Frag_125,-226.135557
C=C(N)[N+](=O)[O-],Frag_126,-338.371212
CCN(C)C,Frag_127,-213.598283
N=CN,Frag_128,-149.935763
N=C1NCCN1,Frag_129,-282.653639
C=N[N+](=O)[O-],Frag_130,-299.060269
C=N,Frag_131,-94.577052
CC(=O)NN,Frag_132,-264.423618
N=C(N)[N+](=O)[O-],Frag_133,-354.440665
c1cn[nH]c1,Frag_134,-226.116785
c1nnn[nH]1,Frag_135,-258.202000
CC(=N)N(C)N,Frag_136,-283.789652
CNN,Frag_137,-151.077337
C=C1NCCN1,Frag_138,-266.570612
CC(N)O,Frag_139,-210.289290
C12C3C4C1C1C2C3C41,Frag_140,-309.297820
c1nc[nH]n1,Frag_141,-242.184866
C=C(N)C#N,Frag_142,-226.107522
c1cnccn1,Frag_143,-264.219614
CC(=N)[N+](=O)[O-],Frag_144,-338.370485
C=C(N)N,Frag_145,-189.210341
C=C1CCCN1,Frag_146,-250.514492
C=C,Frag_147,-78.517551
C=NNC,Frag_148,-189.163949
CC(C)=NN,Frag_149,-228.461837
C=C(C)NN,Frag_150,-228.442717
C=NN,Frag_151,-149.891960
CC(C)(N)CO,Frag_152,-288.844268
CN(C)C(C)(C)C,Frag_153,-292.155540
[O-][n+]1ccccc1,Frag_154,-323.332965
C1=C\C=C/C=C\C=C/1,Frag_155,-309.414959
CC(C)C(=N)N,Frag_156,-267.779285
C1COC1,Frag_157,-192.999622
C=C(C)N(C)N,Frag_158,-267.714291
O=c1cccc[nH]1,Frag_159,-323.409892
COC(N)=O,Frag_160,-284.360793
CNC(=O)O,Frag_161,-284.356850
NC(=O)O,Frag_162,-245.098041
c1ccc2c(c1)CN2,Frag_163,-325.503679
CNC(=N)N,Frag_164,-244.558185
N=C1NCNCN1,Frag_165,-337.984699
C=C(C)C(C)=N,Frag_166,-250.507939
O=[N+]([O-])C1CC1,Frag_167,-322.304539
C/C=C/N,Frag_168,-173.141210
C=CN(C)C,Frag_169,-212.403517
C1Cn2nnnc2N1,Frag_170,-390.899739
N=C1CCCC1,Frag_171,-250.524067
C=NO,Frag_172,-169.755260
N=c1cccc[nH]1,Frag_173,-303.501568
