c1ccccc1,Frag_1.mol
C=C(C)OC,Frag_2.mol
C=CC,Frag_3.mol
C1=CCCC1,Frag_4.mol
C=C(C)C#N,Frag_5.mol
c1cc[nH]c1,Frag_6.mol
C=C(C)N,Frag_7.mol
C=CN,Frag_8.mol
C=C(C)C(=C)C,Frag_9.mol
c1ccncc1,Frag_10.mol
C=C(C)C(=O)O,Frag_11.mol
C=C(C)C(N)=O,Frag_12.mol
C=C(C)C(C)=O,Frag_13.mol
CC(=O)C(C)=O,Frag_14.mol
CC(C)=O,Frag_15.mol
C1CCCC1,Frag_16.mol
CC(C)C#N,Frag_17.mol
CCC,Frag_18.mol
C1CC1,Frag_19.mol
C=C(C)C1CC1,Frag_20.mol
C=C(C)NC,Frag_21.mol
CNC,Frag_22.mol
COC,Frag_23.mol
C=C(C)CC,Frag_24.mol
NC(N)[N+](=O)[O-],Frag_25.mol
NC(N)N,Frag_26.mol
C1NCNCN1,Frag_27.mol
CN(C)[N+](=O)[O-],Frag_28.mol
CC[N+](=O)[O-],Frag_29.mol
CCCN,Frag_30.mol
CCN,Frag_31.mol
CC(C)[N+](=O)[O-],Frag_32.mol
CO[N+](=O)[O-],Frag_33.mol
CCON,Frag_34.mol
CCCO,Frag_35.mol
CON,Frag_36.mol
CCO,Frag_37.mol
CC(C)ON,Frag_38.mol
c1ccoc1,Frag_39.mol
C=C(O)[N+](=O)[O-],Frag_40.mol
C=CO,Frag_41.mol
C1NCNCNCN1,Frag_42.mol
CCCC,Frag_43.mol
CC(C)(C)[N+](=O)[O-],Frag_44.mol
CCN(C)N,Frag_45.mol
CN(C)N,Frag_46.mol
NC[N+](=O)[O-],Frag_47.mol
NCN,Frag_48.mol
CC(C)(C)CO,Frag_49.mol
CC(C)(C)C,Frag_50.mol
C1CCNCC1,Frag_51.mol
CN(C)N=O,Frag_52.mol
C=C(C)O,Frag_53.mol
C=C(C)[N+](=O)[O-],Frag_54.mol
C=C(C)C,Frag_55.mol
C[N+](=O)[O-],Frag_56.mol
C=C(C)CN,Frag_57.mol
C=C[N+](=O)[O-],Frag_58.mol
CC(O)CO,Frag_59.mol
CC(C)O,Frag_60.mol
CC(N)[N+](=O)[O-],Frag_61.mol
CCC(N)N,Frag_62.mol
CC(N)N,Frag_63.mol
C1CCNC1,Frag_64.mol
CC(N)C(=O)O,Frag_65.mol
COC(C)=O,Frag_66.mol
CC(=O)O,Frag_67.mol
C1CCC1,Frag_68.mol
CC(C)C(=O)O,Frag_69.mol
C1OCOCO1,Frag_70.mol
CC(O)O,Frag_71.mol
OCO,Frag_72.mol
CC(C)=C(C)C,Frag_73.mol
C/N=[N+](/C)[O-],Frag_74.mol
C=C(C)N=N,Frag_75.mol
C=C(C)[N+](=N)[O-],Frag_76.mol
C[N+](=N)[O-],Frag_77.mol
CN=N,Frag_78.mol
CC(=O)N(C)C,Frag_79.mol
CN(C)C,Frag_80.mol
C=CCC,Frag_81.mol
CC=C(C)C,Frag_82.mol
C=NC,Frag_83.mol
CC=N,Frag_84.mol
C=CC(=C)C,Frag_85.mol
C/C=C\C,Frag_86.mol
C=CC=C,Frag_87.mol
C/C(N)=C(\C)N,Frag_88.mol
C=CC(=C)N,Frag_89.mol
C/C=C(\C)N,Frag_90.mol
C/C(O)=C(\C)O,Frag_91.mol
C=CC(=C)O,Frag_92.mol
C=C(N)C(=C)O,Frag_93.mol
C/C=C(\C)O,Frag_94.mol
C=C(N)O,Frag_95.mol
CC(C)=C(C)N,Frag_96.mol
COC(C)O,Frag_97.mol
CN(N)CN,Frag_98.mol
CC(C)C,Frag_99.mol
CNC(C)C,Frag_100.mol
CCNC,Frag_101.mol
CCC(C)N,Frag_102.mol
C/C=N\C,Frag_103.mol
C=CN=C,Frag_104.mol
C=C(C)C=N,Frag_105.mol
C/C=C\N,Frag_106.mol
C=C(N)OC,Frag_107.mol
C=COC,Frag_108.mol
C/C=C(/N)O,Frag_109.mol
C/C=C\O,Frag_110.mol
CC(C)N,Frag_111.mol
C/C=C(/C)N,Frag_112.mol
CCC(C)C,Frag_113.mol
CC1CCC1,Frag_114.mol
CN=[N+](C)[O-],Frag_115.mol
C1CNC1,Frag_116.mol
CC(C)(N)[N+](=O)[O-],Frag_117.mol
CN(C)C=O,Frag_118.mol
C1C2CC3CC2CC13,Frag_119.mol
CNC(C)=O,Frag_120.mol
CCC(N)=O,Frag_121.mol
CC(N)=O,Frag_122.mol
C=C(C)N(C)C,Frag_123.mol
CC(=N)N,Frag_124.mol
c1c[nH]cn1,Frag_125.mol
C=C(N)[N+](=O)[O-],Frag_126.mol
CCN(C)C,Frag_127.mol
N=CN,Frag_128.mol
N=C1NCCN1,Frag_129.mol
C=N[N+](=O)[O-],Frag_130.mol
C=N,Frag_131.mol
CC(=O)NN,Frag_132.mol
N=C(N)[N+](=O)[O-],Frag_133.mol
c1cn[nH]c1,Frag_134.mol
c1nnn[nH]1,Frag_135.mol
CC(=N)N(C)N,Frag_136.mol
CNN,Frag_137.mol
C=C1NCCN1,Frag_138.mol
CC(N)O,Frag_139.mol
C12C3C4C1C1C2C3C41,Frag_140.mol
