Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.883983
C=C(C)OC,Frag_2,-232.066796
C=CC,Frag_3,-117.683107
C1=CCCC1,Frag_4,-194.985774
C=C(C)C#N,Frag_5,-209.829565
c1cc[nH]c1,Frag_6,-209.860058
C=C(C)N,Frag_7,-172.974844
C=CN,Frag_8,-133.728152
C=C(C)C(=C)C,Frag_9,-234.206555
c1ccncc1,Frag_10,-247.920702
C=C(C)C(=O)O,Frag_11,-306.072582
C=C(C)C(N)=O,Frag_12,-286.201810
C=C(C)C(C)=O,Frag_13,-270.135201
CC(=O)C(C)=O,Frag_14,-306.063319
CC(C)=O,Frag_15,-192.862275
C1CCCC1,Frag_16,-196.187608
CC(C)C#N,Frag_17,-211.034958
CCC,Frag_18,-118.891558
C1CC1,Frag_19,-117.676443
C=C(C)C1CC1,Frag_20,-234.194775
C=C(C)NC,Frag_21,-212.202107
CNC,Frag_22,-134.915251
COC,Frag_23,-154.776106
C=C(C)CC,Frag_24,-196.166353
NC(N)[N+](=O)[O-],Frag_25,-355.295344
NC(N)N,Frag_26,-206.249748
C1NCNCN1,Frag_27,-283.532641
CN(C)[N+](=O)[O-],Frag_28,-339.225241
CC[N+](=O)[O-],Frag_29,-283.968770
CCCN,Frag_30,-174.165440
CCN,Frag_31,-134.926686
CC(C)[N+](=O)[O-],Frag_32,-323.212206
CO[N+](=O)[O-],Frag_33,-319.834071
CCON,Frag_34,-210.012250
CCCO,Frag_35,-194.033038
CON,Frag_36,-170.772559
CCO,Frag_37,-154.794000
CC(C)ON,Frag_38,-249.261944
c1ccoc1,Frag_39,-229.710743
C=C(O)[N+](=O)[O-],Frag_40,-357.915956
C=CO,Frag_41,-153.590793
C1NCNCNCN1,Frag_42,-378.035283
CCCC,Frag_43,-158.129622
CC(C)(C)[N+](=O)[O-],Frag_44,-362.454558
CCN(C)N,Frag_45,-229.407508
CN(C)N,Frag_46,-190.160852
NC[N+](=O)[O-],Frag_47,-300.010562
NCN,Frag_48,-150.966419
CC(C)(C)CO,Frag_49,-272.515704
CC(C)(C)C,Frag_50,-197.374666
C1CCNCC1,Frag_51,-251.463888
CN(C)N=O,Frag_52,-264.108287
C=C(C)O,Frag_53,-192.842007
C=C(C)[N+](=O)[O-],Frag_54,-322.003310
C=C(C)C,Frag_55,-156.928801
C[N+](=O)[O-],Frag_56,-244.725371
C=C(C)CN,Frag_57,-212.201447
C=C[N+](=O)[O-],Frag_58,-282.755651
CC(O)CO,Frag_59,-269.179559
CC(C)O,Frag_60,-194.039157
CC(N)[N+](=O)[O-],Frag_61,-339.255546
CCC(N)N,Frag_62,-229.450647
CC(N)N,Frag_63,-190.211583
C1CCNC1,Frag_64,-212.217224
CC(N)C(=O)O,Frag_65,-323.313310
COC(C)=O,Frag_66,-268.022459
CC(=O)O,Frag_67,-228.790115
C1CCC1,Frag_68,-156.918468
CC(C)C(=O)O,Frag_69,-307.276423
C1OCOCO1,Frag_70,-343.132042
CC(O)O,Frag_71,-229.951114
OCO,Frag_72,-190.707847
CC(C)=C(C)C,Frag_73,-235.409623
C/N=[N+](/C)[O-],Frag_74,-264.102742
C=C(C)N=N,Frag_75,-227.020894
C=C(C)[N+](=N)[O-],Frag_76,-302.129261
C[N+](=N)[O-],Frag_77,-224.853320
CN=N,Frag_78,-149.731255
CC(=O)N(C)C,Frag_79,-287.389208
CN(C)C,Frag_80,-174.149837
C=CCC,Frag_81,-156.921963
CC=C(C)C,Frag_82,-196.170339
C=NC,Frag_83,-133.717787
CC=N,Frag_84,-133.732107
C=CC(=C)C,Frag_85,-194.959414
C/C=C\C,Frag_86,-156.925596
C=CC=C,Frag_87,-155.719810
C/C(N)=C(\C)N,Frag_88,-267.498869
C=CC(=C)N,Frag_89,-211.008836
C/C=C(\C)N,Frag_90,-212.213925
C/C(O)=C(\C)O,Frag_91,-307.234379
C=CC(=C)O,Frag_92,-230.873413
C=C(N)C(=C)O,Frag_93,-286.162056
C/C=C(\C)O,Frag_94,-232.079152
C=C(N)O,Frag_95,-208.885710
CC(C)=C(C)N,Frag_96,-251.455312
COC(C)O,Frag_97,-269.180305
CN(N)CN,Frag_98,-245.441410
CC(C)C,Frag_99,-158.132928
CNC(C)C,Frag_100,-213.398707
CCNC,Frag_101,-174.157656
CCC(C)N,Frag_102,-213.408892
C/C=N\C,Frag_103,-172.961631
C=CN=C,Frag_104,-171.753465
C=C(C)C=N,Frag_105,-211.010301
C/C=C\N,Frag_106,-172.970005
C=C(N)OC,Frag_107,-248.112147
C=COC,Frag_108,-192.815427
C/C=C(/N)O,Frag_109,-248.127481
C/C=C\O,Frag_110,-192.835211
CC(C)N,Frag_111,-174.170056
C/C=C(/C)N,Frag_112,-212.216566
CCC(C)C,Frag_113,-197.370881
CC1CCC1,Frag_114,-196.161929
CN=[N+](C)[O-],Frag_115,-264.102742
C1CNC1,Frag_116,-172.947913
CC(C)(N)[N+](=O)[O-],Frag_117,-378.492801
CN(C)C=O,Frag_118,-248.144620
C1C2CC3CC2CC13,Frag_119,-311.509193
CNC(C)=O,Frag_120,-248.156618
CCC(N)=O,Frag_121,-248.167373
CC(N)=O,Frag_122,-208.928025
C=C(C)N(C)C,Frag_123,-251.433917
CC(=N)N,Frag_124,-189.036413
c1c[nH]cn1,Frag_125,-225.908858
C=C(N)[N+](=O)[O-],Frag_126,-338.048235
CCN(C)C,Frag_127,-213.389966
N=CN,Frag_128,-149.785784
N=C1NCCN1,Frag_129,-282.375267
C=N[N+](=O)[O-],Frag_130,-298.776183
C=N,Frag_131,-94.480497
CC(=O)NN,Frag_132,-264.165877
N=C(N)[N+](=O)[O-],Frag_133,-354.100945
c1cn[nH]c1,Frag_134,-225.892362
c1nnn[nH]1,Frag_135,-257.947302
CC(=N)N(C)N,Frag_136,-283.508046
CNN,Frag_137,-150.930380
C=C1NCCN1,Frag_138,-266.308067
CC(N)O,Frag_139,-210.083606
C12C3C4C1C1C2C3C41,Frag_140,-309.004060
c1nc[nH]n1,Frag_141,-241.943621
C=C(N)C#N,Frag_142,-225.871238
c1cnccn1,Frag_143,-263.953651
CC(=N)[N+](=O)[O-],Frag_144,-338.046177
C=C(N)N,Frag_145,-189.021266
C=C1CCCN1,Frag_146,-250.269106
C=C,Frag_147,-78.437600
C=NNC,Frag_148,-188.977251
CC(C)=NN,Frag_149,-228.237346
C=C(C)NN,Frag_150,-228.216376
C=NN,Frag_151,-149.743385
CC(C)(N)CO,Frag_152,-288.559475
CN(C)C(C)(C)C,Frag_153,-291.866411
[O-][n+]1ccccc1,Frag_154,-323.017627
C1=C\C=C/C=C\C=C/1,Frag_155,-309.098730
CC(C)C(=N)N,Frag_156,-267.513770
C1COC1,Frag_157,-192.813387
C=C(C)N(C)N,Frag_158,-267.448196
O=c1cccc[nH]1,Frag_159,-323.089951
COC(N)=O,Frag_160,-284.081247
CNC(=O)O,Frag_161,-284.077853
NC(=O)O,Frag_162,-244.858212
c1ccc2c(c1)CN2,Frag_163,-325.180642
CNC(=N)N,Frag_164,-244.314666
N=C1NCNCN1,Frag_165,-337.649423
C=C(C)C(C)=N,Frag_166,-250.255931
O=[N+]([O-])C1CC1,Frag_167,-321.997702
C/C=C/N,Frag_168,-172.969853
C=CN(C)C,Frag_169,-212.192336
C1Cn2nnnc2N1,Frag_170,-390.517737
N=C1CCCC1,Frag_171,-250.278941
C=NO,Frag_172,-169.587691
N=c1cccc[nH]1,Frag_173,-303.197384
CN(C)O,Frag_174,-210.015464
CN[N+](=O)[O-],Frag_175,-299.992023
CC(=N)NN,Frag_176,-244.276422
C1CN1,Frag_177,-133.704834
C=C(C)C1CN1,Frag_178,-250.224296
OCC1CN1,Frag_179,-248.090900
CC(C)=N,Frag_180,-172.980277
c1cn2c(n1)OCC2,Frag_181,-378.338489
NN=C(N)N,Frag_182,-260.336537
CN(N)C(=N)N,Frag_183,-299.566402
N=C(N)N,Frag_184,-205.087198
c1cn[nH]n1,Frag_185,-241.923895
NN(N)N,Frag_186,-222.200155
NNN,Frag_187,-166.948263
CC(=O)N=N,Frag_188,-262.945971
CN=[N+]=[N-],Frag_189,-203.825719
C=C1C=CC=CC1=O,Frag_190,-345.051622
C=CNC,Frag_191,-172.958076
CN(N)[N+](=O)[O-],Frag_192,-355.235232
O=C1NCCN1,Frag_193,-302.273093
C1=CC2CC1C1CC21,Frag_194,-310.289991
N#CC1(N)CC1,Frag_195,-265.102646
CC1([N+](=O)[O-])CC1,Frag_196,-361.242598
NC1CC1,Frag_197,-172.953046
CC1CC1,Frag_198,-156.919026
C1CC12CC2,Frag_199,-194.937634
C/N=N/N,Frag_200,-205.017053
CN(C)N=N,Frag_201,-244.249056
N=NN,Frag_202,-165.779354
CNC(C)=N,Frag_203,-228.262300
CN(N)C#N,Frag_204,-243.064016
CCOC,Frag_205,-194.018280
CC(N)CO,Frag_206,-249.311032
C/C(N)=C\N,Frag_207,-228.251291
NCCN,Frag_208,-190.200509
c1ncon1,Frag_209,-261.776789
c1cnon1,Frag_210,-261.736466
CC(=N)C(=N)N,Frag_211,-282.357798
N=C(N)O,Frag_212,-224.946847
N=CO,Frag_213,-169.651579
C=C(N)NN,Frag_214,-244.262972
O=c1cc[nH][nH]1,Frag_215,-301.038906
C1CNCNC1,Frag_216,-267.496380
C1CCNCNC1,Frag_217,-306.729957
C=C1NCCCCN1,Frag_218,-344.787202
NCC(=O)O,Frag_219,-284.072740
O=c1cc[nH]c(=O)[nH]1,Frag_220,-414.324462
CCC#N,Frag_221,-171.794374
CC(N)C(C)O,Frag_222,-288.555517
C=C(C)C(C)O,Frag_223,-271.310922
CC(O)C(C)(C)N,Frag_224,-327.796755
CC(C)(C)N,Frag_225,-213.413322
[O-][n+]1ccno1,Frag_226,-336.830013
N=C1NCCCCN1,Frag_227,-360.846515
NCCO,Frag_228,-210.069665
O=[N+]1C=CC(=[N+]([O-])[O-])C=C1,Frag_229,-527.333942
C1CNCN1,Frag_230,-228.249798
N=c1[nH]cn[nH]1,Frag_231,-297.216506
N=NC(=N)N,Frag_232,-259.116919
C/C=N/O,Frag_233,-208.843424
C=C(C)CO,Frag_234,-232.067577
C/C=[N+](/C)[O-],Frag_235,-248.071833
C1COCOC1,Frag_236,-307.219585
CC(C)(N)N=O,Frag_237,-303.347578
CC(C)(O)O,Frag_238,-269.198252
C#CCN,Frag_239,-171.727254
C=CN(C)N,Frag_240,-228.206017
C/C=N/N,Frag_241,-188.991160
CC(C)(C)ON,Frag_242,-288.505170
CCC(C)(C)O,Frag_243,-272.521115
