Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.936319
C=C(C)OC,Frag_2,-232.124796
C=CC,Frag_3,-117.711334
C1=CCCC1,Frag_4,-195.030151
C=C(C)C#N,Frag_5,-209.880299
c1cc[nH]c1,Frag_6,-209.910135
C=C(C)N,Frag_7,-173.018752
C=CN,Frag_8,-133.763373
C=C(C)C(=C)C,Frag_9,-234.260744
c1ccncc1,Frag_10,-247.977856
C=C(C)C(=O)O,Frag_11,-306.150314
C=C(C)C(N)=O,Frag_12,-286.273642
C=C(C)C(C)=O,Frag_13,-270.200180
CC(=O)C(C)=O,Frag_14,-306.139483
CC(C)=O,Frag_15,-192.910198
C1CCCC1,Frag_16,-196.232124
CC(C)C#N,Frag_17,-211.086150
CCC,Frag_18,-118.919693
C1CC1,Frag_19,-117.704156
C=C(C)C1CC1,Frag_20,-234.248569
C=C(C)NC,Frag_21,-212.253933
CNC,Frag_22,-134.949410
COC,Frag_23,-154.816643
C=C(C)CC,Frag_24,-196.212002
NC(N)[N+](=O)[O-],Frag_25,-355.392044
NC(N)N,Frag_26,-206.306882
C1NCNCN1,Frag_27,-283.603589
CN(C)[N+](=O)[O-],Frag_28,-339.314251
CC[N+](=O)[O-],Frag_29,-284.043644
CCCN,Frag_30,-174.209251
CCN,Frag_31,-134.961657
CC(C)[N+](=O)[O-],Frag_32,-323.295743
CO[N+](=O)[O-],Frag_33,-319.921691
CCON,Frag_34,-210.069120
CCCO,Frag_35,-194.083194
CON,Frag_36,-170.820301
CCO,Frag_37,-154.835357
CC(C)ON,Frag_38,-249.327091
c1ccoc1,Frag_39,-229.766538
C=C(O)[N+](=O)[O-],Frag_40,-358.011835
C=CO,Frag_41,-153.632295
C1NCNCNCN1,Frag_42,-378.129161
CCCC,Frag_43,-158.166619
CC(C)(C)[N+](=O)[O-],Frag_44,-362.546658
CCN(C)N,Frag_45,-229.465313
CN(C)N,Frag_46,-190.210127
NC[N+](=O)[O-],Frag_47,-300.092166
NCN,Frag_48,-151.008067
CC(C)(C)CO,Frag_49,-272.583172
CC(C)(C)C,Frag_50,-197.420162
C1CCNCC1,Frag_51,-251.522928
CN(C)N=O,Frag_52,-264.176580
C=C(C)O,Frag_53,-192.891972
C=C(C)[N+](=O)[O-],Frag_54,-322.086367
C=C(C)C,Frag_55,-156.965727
C[N+](=O)[O-],Frag_56,-244.791569
C=C(C)CN,Frag_57,-212.253905
C=C[N+](=O)[O-],Frag_58,-282.830063
CC(O)CO,Frag_59,-269.251492
CC(C)O,Frag_60,-194.089215
CC(N)[N+](=O)[O-],Frag_61,-339.345747
CCC(N)N,Frag_62,-229.509631
CC(N)N,Frag_63,-190.261670
C1CCNC1,Frag_64,-212.267711
CC(N)C(=O)O,Frag_65,-323.398157
COC(C)=O,Frag_66,-268.091466
CC(=O)O,Frag_67,-228.851387
C1CCC1,Frag_68,-156.954064
CC(C)C(=O)O,Frag_69,-307.354525
C1OCOCO1,Frag_70,-343.221767
CC(O)O,Frag_71,-230.014112
OCO,Frag_72,-190.762019
CC(C)=C(C)C,Frag_73,-235.464216
C/N=[N+](/C)[O-],Frag_74,-264.170998
C=C(C)N=N,Frag_75,-227.077618
C=C(C)[N+](=N)[O-],Frag_76,-302.207395
C[N+](=N)[O-],Frag_77,-224.914457
CN=N,Frag_78,-149.771399
CC(=O)N(C)C,Frag_79,-287.460141
CN(C)C,Frag_80,-174.192020
C=CCC,Frag_81,-156.958895
CC=C(C)C,Frag_82,-196.216118
C=NC,Frag_83,-133.751047
CC=N,Frag_84,-133.766259
C=CC(=C)C,Frag_85,-195.004787
C/C=C\C,Frag_86,-156.962709
C=CC=C,Frag_87,-155.756562
C/C(N)=C(\C)N,Frag_88,-267.567202
