Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.878881
C=C(C)OC,Frag_2,-232.054332
C=CC,Frag_3,-117.675537
C1=CCCC1,Frag_4,-194.979531
C=C(C)C#N,Frag_5,-209.823266
c1cc[nH]c1,Frag_6,-209.853120
C=C(C)N,Frag_7,-172.963543
C=CN,Frag_8,-133.717902
C=C(C)C(=C)C,Frag_9,-234.197796
c1ccncc1,Frag_10,-247.915438
C=C(C)C(=O)O,Frag_11,-306.060512
C=C(C)C(N)=O,Frag_12,-286.189261
C=C(C)C(C)=O,Frag_13,-270.125583
CC(=O)C(C)=O,Frag_14,-306.052239
CC(C)=O,Frag_15,-192.851351
C1CCCC1,Frag_16,-196.180859
CC(C)C#N,Frag_17,-211.027978
CCC,Frag_18,-118.883131
C1CC1,Frag_19,-117.668795
C=C(C)C1CC1,Frag_20,-234.186191
C=C(C)NC,Frag_21,-212.191327
CNC,Frag_22,-134.904412
COC,Frag_23,-154.763553
C=C(C)CC,Frag_24,-196.157427
NC(N)[N+](=O)[O-],Frag_25,-355.279493
NC(N)N,Frag_26,-206.232579
C1NCNCN1,Frag_27,-283.521340
CN(C)[N+](=O)[O-],Frag_28,-339.213534
CC[N+](=O)[O-],Frag_29,-283.956868
CCCN,Frag_30,-174.154258
CCN,Frag_31,-134.915448
CC(C)[N+](=O)[O-],Frag_32,-323.200535
CO[N+](=O)[O-],Frag_33,-319.821071
CCON,Frag_34,-209.999454
CCCO,Frag_35,-194.019672
CON,Frag_36,-170.759275
CCO,Frag_37,-154.780087
CC(C)ON,Frag_38,-249.248419
c1ccoc1,Frag_39,-229.702662
C=C(O)[N+](=O)[O-],Frag_40,-357.902588
C=CO,Frag_41,-153.578721
C1NCNCNCN1,Frag_42,-378.023485
CCCC,Frag_43,-158.120886
CC(C)(C)[N+](=O)[O-],Frag_44,-362.444437
CCN(C)N,Frag_45,-229.395959
CN(C)N,Frag_46,-190.148647
NC[N+](=O)[O-],Frag_47,-299.996887
NCN,Frag_48,-150.951676
CC(C)(C)CO,Frag_49,-272.503163
CC(C)(C)C,Frag_50,-197.365872
C1CCNCC1,Frag_51,-251.456215
CN(C)N=O,Frag_52,-264.098857
C=C(C)O,Frag_53,-192.829849
C=C(C)[N+](=O)[O-],Frag_54,-321.992486
C=C(C)C,Frag_55,-156.920310
C[N+](=O)[O-],Frag_56,-244.712925
C=C(C)CN,Frag_57,-212.190278
C=C[N+](=O)[O-],Frag_58,-282.744553
CC(O)CO,Frag_59,-269.159990
CC(C)O,Frag_60,-194.025623
CC(N)[N+](=O)[O-],Frag_61,-339.242256
CCC(N)N,Frag_62,-229.436273
CC(N)N,Frag_63,-190.196351
C1CCNC1,Frag_64,-212.208203
CC(N)C(=O)O,Frag_65,-323.296875
COC(C)=O,Frag_66,-268.008136
CC(=O)O,Frag_67,-228.775600
C1CCC1,Frag_68,-156.911741
CC(C)C(=O)O,Frag_69,-307.262837
C1OCOCO1,Frag_70,-343.114006
CC(O)O,Frag_71,-229.932687
OCO,Frag_72,-190.689047
CC(C)=C(C)C,Frag_73,-235.400444
C/N=[N+](/C)[O-],Frag_74,-264.091765
C=C(C)N=N,Frag_75,-227.013104
C=C(C)[N+](=N)[O-],Frag_76,-302.118039
C[N+](=N)[O-],Frag_77,-224.840927
CN=N,Frag_78,-149.725000
CC(=O)N(C)C,Frag_79,-287.376562
CN(C)C,Frag_80,-174.139402
C=CCC,Frag_81,-156.913454
CC=C(C)C,Frag_82,-196.161429
C=NC,Frag_83,-133.709805
CC=N,Frag_84,-133.723224
C=CC(=C)C,Frag_85,-194.951072
C/C=C\C,Frag_86,-156.917420
C=CC=C,Frag_87,-155.712328
C/C(N)=C(\C)N,Frag_88,-267.484634
C=CC(=C)N,Frag_89,-210.998334
C/C=C(\C)N,Frag_90,-212.202549
C/C(O)=C(\C)O,Frag_91,-307.217445
C=CC(=C)O,Frag_92,-230.861712
C=C(N)C(=C)O,Frag_93,-286.148476
C/C=C(\C)O,Frag_94,-232.066153
C=C(N)O,Frag_95,-208.871043
CC(C)=C(C)N,Frag_96,-251.443354
COC(C)O,Frag_97,-269.163593
CN(N)CN,Frag_98,-245.425397
CC(C)C,Frag_99,-158.124188
CNC(C)C,Frag_100,-213.387776
CCNC,Frag_101,-174.146100
CCC(C)N,Frag_102,-213.397825
C/C=N\C,Frag_103,-172.953105
C=CN=C,Frag_104,-171.745993
C=C(C)C=N,Frag_105,-211.001778
C/C=C\N,Frag_106,-172.959024
C=C(N)OC,Frag_107,-248.097225
C=COC,Frag_108,-192.803262
C/C=C(/N)O,Frag_109,-248.112907
C/C=C\O,Frag_110,-192.823618
CC(C)N,Frag_111,-174.158522
C/C=C(/C)N,Frag_112,-212.204615
CCC(C)C,Frag_113,-197.361923
CC1CCC1,Frag_114,-196.154985
CN=[N+](C)[O-],Frag_115,-264.091765
