Smiles,MolName,Enthalpy(Hartree)
c1ccccc1,Frag_1,-231.937496
C=C(C)OC,Frag_2,-232.125834
C=CC,Frag_3,-117.711905
C1=CCCC1,Frag_4,-195.032577
C=C(C)C#N,Frag_5,-209.880772
c1cc[nH]c1,Frag_6,-209.909359
C=C(C)N,Frag_7,-173.018275
C=CN,Frag_8,-133.761555
C=C(C)C(=C)C,Frag_9,-234.264736
c1ccncc1,Frag_10,-247.977857
C=C(C)C(=O)O,Frag_11,-306.150145
C=C(C)C(N)=O,Frag_12,-286.273768
C=C(C)C(C)=O,Frag_13,-270.202362
CC(=O)C(C)=O,Frag_14,-306.139514
CC(C)=O,Frag_15,-192.909968
C1CCCC1,Frag_16,-196.236112
CC(C)C#N,Frag_17,-211.087806
CCC,Frag_18,-118.921557
C1CC1,Frag_19,-117.704876
C=C(C)C1CC1,Frag_20,-234.252496
C=C(C)NC,Frag_21,-212.255550
CNC,Frag_22,-134.948824
COC,Frag_23,-154.815517
C=C(C)CC,Frag_24,-196.215636
NC(N)[N+](=O)[O-],Frag_25,-355.387765
NC(N)N,Frag_26,-206.302845
C1NCNCN1,Frag_27,-283.603775
CN(C)[N+](=O)[O-],Frag_28,-339.312797
CC[N+](=O)[O-],Frag_29,-284.041583
CCCN,Frag_30,-174.210402
CCN,Frag_31,-134.960942
CC(C)[N+](=O)[O-],Frag_32,-323.295904
CO[N+](=O)[O-],Frag_33,-319.917873
CCON,Frag_34,-210.068019
CCCO,Frag_35,-194.083339
CON,Frag_36,-170.817123
CCO,Frag_37,-154.833555
CC(C)ON,Frag_38,-249.327545
c1ccoc1,Frag_39,-229.765524
C=C(O)[N+](=O)[O-],Frag_40,-358.007783
C=CO,Frag_41,-153.629713
C1NCNCNCN1,Frag_42,-378.132261
CCCC,Frag_43,-158.170066
CC(C)(C)[N+](=O)[O-],Frag_44,-362.549566
CCN(C)N,Frag_45,-229.466784
CN(C)N,Frag_46,-190.209098
NC[N+](=O)[O-],Frag_47,-300.088092
NCN,Frag_48,-151.004560
CC(C)(C)CO,Frag_49,-272.588150
CC(C)(C)C,Frag_50,-197.426119
C1CCNCC1,Frag_51,-251.527058
CN(C)N=O,Frag_52,-264.175260
C=C(C)O,Frag_53,-192.891100
C=C(C)[N+](=O)[O-],Frag_54,-322.084918
C=C(C)C,Frag_55,-156.967686
C[N+](=O)[O-],Frag_56,-244.787726
C=C(C)CN,Frag_57,-212.255373
C=C[N+](=O)[O-],Frag_58,-282.826880
CC(O)CO,Frag_59,-269.249675
CC(C)O,Frag_60,-194.089354
CC(N)[N+](=O)[O-],Frag_61,-339.343799
CCC(N)N,Frag_62,-229.509981
CC(N)N,Frag_63,-190.259980
C1CCNC1,Frag_64,-212.269398
CC(N)C(=O)O,Frag_65,-323.396652
COC(C)=O,Frag_66,-268.090511
CC(=O)O,Frag_67,-228.848425
C1CCC1,Frag_68,-156.956377
CC(C)C(=O)O,Frag_69,-307.355710
C1OCOCO1,Frag_70,-343.219598
CC(O)O,Frag_71,-230.010833
OCO,Frag_72,-190.756948
CC(C)=C(C)C,Frag_73,-235.469365
C/N=[N+](/C)[O-],Frag_74,-264.169221
C=C(C)N=N,Frag_75,-227.076843
C=C(C)[N+](=N)[O-],Frag_76,-302.205909
C[N+](=N)[O-],Frag_77,-224.910565
CN=N,Frag_78,-149.769059
CC(=O)N(C)C,Frag_79,-287.461809
CN(C)C,Frag_80,-174.193584
C=CCC,Frag_81,-156.960755
CC=C(C)C,Frag_82,-196.219426
C=NC,Frag_83,-133.750105
CC=N,Frag_84,-133.764882
C=CC(=C)C,Frag_85,-195.007040
C/C=C\C,Frag_86,-156.964485
C=CC=C,Frag_87,-155.757261
C/C(N)=C(\C)N,Frag_88,-267.567328
C=CC(=C)N,Frag_89,-211.061272
C/C=C(\C)N,Frag_90,-212.267612
C/C(O)=C(\C)O,Frag_91,-307.313657
C=CC(=C)O,Frag_92,-230.931491
C=C(N)C(=C)O,Frag_93,-286.235112
C/C=C(\C)O,Frag_94,-232.138442
C=C(N)O,Frag_95,-208.939341
CC(C)=C(C)N,Frag_96,-251.519453
COC(C)O,Frag_97,-269.250717
CN(N)CN,Frag_98,-245.504276
CC(C)C,Frag_99,-158.173446
CNC(C)C,Frag_100,-213.453560
CCNC,Frag_101,-174.201411
CCC(C)N,Frag_102,-213.464331
C/C=N\C,Frag_103,-173.003861
C=CN=C,Frag_104,-171.794862
C=C(C)C=N,Frag_105,-211.062654
C/C=C\N,Frag_106,-173.013460
C=C(N)OC,Frag_107,-248.175722
C=COC,Frag_108,-192.864005
C/C=C(/N)O,Frag_109,-248.191416
C/C=C\O,Frag_110,-192.884400
CC(C)N,Frag_111,-174.214743
C/C=C(/C)N,Frag_112,-212.270142
CCC(C)C,Frag_113,-197.421956
CC1CCC1,Frag_114,-196.210177
CN=[N+](C)[O-],Frag_115,-264.169221
